,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2027.388,2024.286,3.1019999999998618
1,ACCESS-CM2,r2i1p1f1,2028.935,2025.372,3.5629999999998745
2,ACCESS-ESM1-5,r1i1p1f1,2029.352,2027.189,2.163000000000011
3,ACCESS-ESM1-5,r2i1p1f1,2034.179,2031.482,2.6970000000001164
4,ACCESS-ESM1-5,r3i1p1f1,2027.405,2024.039,3.3659999999999854
5,BCC-CSM2-MR,r1i1p1f1,2031.076,2028.267,2.808999999999969
6,CAMS-CSM1-0,r1i1p1f1,2041.528,2036.878,4.650000000000091
7,CAS-ESM2-0,r1i1p1f1,2030.143,2025.829,4.314000000000078
8,CESM2,r4i1p1f1,2032.716,2028.791,3.9249999999999545
9,CESM2-WACCM,r1i1p1f1,2035.818,2031.073,4.744999999999891
10,CESM2-WACCM,r2i1p1f1,2040.749,2035.937,4.8120000000001255
11,CESM2-WACCM,r3i1p1f1,2037.507,2034.709,2.798000000000002
12,CIESM,r1i1p1f1,2036.849,2029.126,7.722999999999956
13,CMCC-CM2-SR5,r1i1p1f1,2038.879,2035.779,3.099999999999909
14,CMCC-ESM2,r1i1p1f1,2035.932,2033.229,2.7029999999999745
15,CNRM-CM6-1,r10i1p1f2,,,
16,CNRM-CM6-1,r1i1p1f2,2034.627,2029.482,5.144999999999982
17,CNRM-CM6-1,r2i1p1f2,2030.171,2027.584,2.586999999999989
18,CNRM-CM6-1,r3i1p1f2,2034.65,2030.143,4.507000000000062
19,CNRM-CM6-1,r4i1p1f2,2029.769,2026.934,2.8350000000000364
20,CNRM-CM6-1,r5i1p1f2,2033.364,2029.373,3.9909999999999854
21,CNRM-CM6-1,r6i1p1f2,2032.558,2029.186,3.372000000000071
22,CNRM-CM6-1,r7i1p1f2,,,
23,CNRM-CM6-1,r8i1p1f2,,,
24,CNRM-CM6-1,r9i1p1f2,,,
25,CNRM-CM6-1-HR,r1i1p1f2,2034.312,2030.037,4.274999999999864
26,CNRM-ESM2-1,r1i1p1f2,2033.313,2030.179,3.1340000000000146
27,CNRM-ESM2-1,r2i1p1f2,2031.69,2028.828,2.86200000000008
28,CNRM-ESM2-1,r3i1p1f2,2029.92,2025.324,4.596000000000004
29,CNRM-ESM2-1,r4i1p1f2,2024.425,2021.961,2.463999999999942
30,CNRM-ESM2-1,r5i1p1f2,2026.767,2024.297,2.4700000000000273
31,CanESM5,r10i1p1f1,2038.953,2034.504,4.449000000000069
32,CanESM5,r10i1p2f1,2041.075,2034.544,6.530999999999949
33,CanESM5,r11i1p1f1,2036.17,2030.366,5.804000000000087
34,CanESM5,r11i1p2f1,2043.867,2035.982,7.884999999999991
35,CanESM5,r12i1p1f1,2037.462,2031.269,6.192999999999984
36,CanESM5,r12i1p2f1,2037.694,2031.487,6.20699999999988
37,CanESM5,r13i1p1f1,2041.105,2035.302,5.803000000000111
38,CanESM5,r13i1p2f1,2040.924,2032.928,7.995999999999867
39,CanESM5,r14i1p1f1,2037.272,2031.886,5.385999999999967
40,CanESM5,r14i1p2f1,2037.6,2030.515,7.084999999999809
41,CanESM5,r15i1p1f1,2038.01,2031.695,6.315000000000055
42,CanESM5,r15i1p2f1,2035.225,2027.949,7.27599999999984
43,CanESM5,r16i1p1f1,2036.463,2029.396,7.067000000000007
44,CanESM5,r16i1p2f1,2040.01,2032.454,7.55600000000004
45,CanESM5,r17i1p1f1,2041.051,2034.542,6.5090000000000146
46,CanESM5,r17i1p2f1,2038.57,2032.536,6.033999999999878
47,CanESM5,r18i1p1f1,2039.649,2033.164,6.4849999999999
48,CanESM5,r18i1p2f1,2033.211,2029.072,4.139000000000124
49,CanESM5,r19i1p1f1,2039.664,2033.702,5.961999999999989
50,CanESM5,r19i1p2f1,2040.458,2033.545,6.913000000000011
51,CanESM5,r1i1p1f1,2037.196,2029.518,7.677999999999884
52,CanESM5,r1i1p2f1,2038.744,2031.048,7.695999999999913
53,CanESM5,r20i1p1f1,2037.011,2029.977,7.033999999999878
54,CanESM5,r20i1p2f1,2038.02,2031.605,6.414999999999964
55,CanESM5,r21i1p1f1,2036.257,2030.27,5.98700000000008
56,CanESM5,r21i1p2f1,2039.84,2033.253,6.586999999999989
57,CanESM5,r22i1p1f1,2039.916,2032.772,7.1440000000000055
58,CanESM5,r22i1p2f1,2040.661,2032.401,8.259999999999991
59,CanESM5,r23i1p1f1,2042.062,2035.468,6.593999999999824
60,CanESM5,r23i1p2f1,2037.829,2031.995,5.83400000000006
61,CanESM5,r24i1p1f1,2036.751,2029.006,7.744999999999891
62,CanESM5,r24i1p2f1,2037.476,2030.765,6.711000000000013
63,CanESM5,r25i1p1f1,2038.466,2033.444,5.0219999999999345
64,CanESM5,r25i1p2f1,2038.368,2032.639,5.729000000000042
65,CanESM5,r2i1p1f1,2036.958,2031.494,5.464000000000169
66,CanESM5,r2i1p2f1,2035.051,2028.955,6.096000000000004
67,CanESM5,r3i1p1f1,2035.929,2032.03,3.8990000000001146
68,CanESM5,r3i1p2f1,2039.066,2032.892,6.173999999999978
69,CanESM5,r4i1p1f1,2044.235,2036.981,7.253999999999905
70,CanESM5,r4i1p2f1,2038.952,2033.2,5.751999999999953
71,CanESM5,r5i1p1f1,2035.295,2030.884,4.411000000000058
72,CanESM5,r5i1p2f1,2041.205,2037.447,3.758000000000038
73,CanESM5,r6i1p1f1,2037.701,2031.551,6.150000000000091
74,CanESM5,r6i1p2f1,2036.913,2032.566,4.34699999999998
75,CanESM5,r7i1p1f1,2037.377,2031.411,5.9659999999998945
76,CanESM5,r7i1p2f1,2041.72,2036.028,5.692000000000007
77,CanESM5,r8i1p1f1,2041.039,2034.076,6.962999999999965
78,CanESM5,r8i1p2f1,2039.575,2032.393,7.182000000000016
79,CanESM5,r9i1p1f1,2034.542,2027.923,6.6189999999999145
80,CanESM5,r9i1p2f1,2040.504,2034.986,5.517999999999802
81,CanESM5-CanOE,r1i1p2f1,2038.744,2031.048,7.695999999999913
82,CanESM5-CanOE,r2i1p2f1,2035.051,2028.955,6.096000000000004
83,CanESM5-CanOE,r3i1p2f1,2039.066,2032.892,6.173999999999978
84,E3SM-1-1,r1i1p1f1,,,
85,EC-Earth3,r10i1p1f1,2029.153,2025.61,3.54300000000012
86,EC-Earth3,r12i1p1f1,2040.088,2036.126,3.961999999999989
87,EC-Earth3,r14i1p1f1,2042.496,2035.42,7.076000000000022
88,EC-Earth3,r16i1p1f1,2041.03,2035.959,5.070999999999913
89,EC-Earth3,r17i1p1f1,2044.23,2033.517,10.712999999999965
90,EC-Earth3,r18i1p1f1,2031.023,2027.873,3.1499999999998636
91,EC-Earth3,r19i1p1f1,2024.685,2021.48,3.2049999999999272
92,EC-Earth3,r1i1p1f1,2043.269,2039.079,4.190000000000055
93,EC-Earth3,r20i1p1f1,2031.423,2027.482,3.941000000000031
94,EC-Earth3,r21i1p1f1,2046.846,2044.064,2.7819999999999254
95,EC-Earth3,r22i1p1f1,2048.013,2044.175,3.8379999999999654
96,EC-Earth3,r23i1p1f1,2032.518,2028.438,4.079999999999927
97,EC-Earth3,r24i1p1f1,2039.794,2036.289,3.505000000000109
98,EC-Earth3,r25i1p1f1,2037.928,2033.394,4.5340000000001055
99,EC-Earth3,r4i1p1f1,2043.188,2039.405,3.783000000000129
100,EC-Earth3,r6i1p1f1,2038.969,2035.157,3.8120000000001255
101,EC-Earth3,r7i1p1f1,2030.404,2026.322,4.082000000000107
102,EC-Earth3,r9i1p1f1,2042.534,2035.875,6.6590000000001055
103,EC-Earth3-CC,r1i1p1f1,2053.086,2047.082,6.003999999999678
104,EC-Earth3-Veg,r5i1p1f1,2044.671,2038.906,5.7650000000001
105,EC-Earth3-Veg,r1i1p1f1,2046.888,2042.506,4.3819999999998345
106,EC-Earth3-Veg-LR,r1i1p1f1,2035.232,2028.344,6.88799999999992
