,Model,No_arctic_crossing_year,World_crossing_year,gap
0,AWI-CM-1-1-MR,2047.795,2043.645,4.150000000000091
1,CESM2,2038.764,2035.354,3.4099999999998545
2,CESM2-WACCM,2041.916,2038.558,3.3579999999999472
3,CIESM,2046.645,2044.204,2.441000000000031
4,EC-Earth3-Veg-LR,2052.391,2046.655,5.736000000000104
5,FIO-ESM-2-0,2045.985,2039.592,6.392999999999802
6,GFDL-CM4,2042.015,2037.673,4.342000000000098
7,GFDL-ESM4,2050.681,2047.487,3.19399999999996
8,GISS-E2-1-G,2033.445,2032.374,1.0709999999999127
9,HadGEM3-GC31-LL,2039.914,2035.732,4.182000000000016
10,INM-CM4-8,2043.82,2039.6,4.220000000000027
11,INM-CM5-0,2047.838,2039.837,8.000999999999976
12,IPSL-CM6A-LR,2047.271,2041.518,5.752999999999929
13,KACE-1-0-G,2045.304,2039.55,5.754000000000133
14,KIOST-ESM,2054.406,2044.837,9.56899999999996
15,MCM-UA-1-0,2049.764,2045.203,4.561000000000149
16,MIROC-ES2L,2041.494,2036.949,4.544999999999845
17,MIROC6,,,
18,MPI-ESM1-2-HR,2052.654,2046.373,6.280999999999949
19,MPI-ESM1-2-LR,2047.261,2040.76,6.500999999999976
20,MRI-ESM2-0,2043.794,2038.639,5.1550000000002
21,NESM3,2046.376,2041.323,5.052999999999884
22,NorESM2-LM,2039.168,2036.381,2.786999999999807
23,NorESM2-MM,2041.083,2038.418,2.665000000000191
24,TaiESM1,2033.492,2031.133,2.3589999999999236
25,UKESM1-0-LL,2037.318,2033.732,3.5860000000000127
