,Model,No_arctic_crossing_year,World_crossing_year,gap
0,AWI-CM-1-1-MR,2042.652,2036.983,5.669000000000096
1,CESM2,2033.439,2029.996,3.4429999999999836
2,CESM2-WACCM,2037.981,2033.01,4.971000000000004
3,CIESM,2041.739,2033.025,8.713999999999942
4,EC-Earth3-Veg-LR,2035.232,2028.344,6.88799999999992
5,FIO-ESM-2-0,2038.996,2032.843,6.15300000000002
6,GFDL-CM4,2031.599,2027.529,4.069999999999936
7,GFDL-ESM4,2049.736,2043.613,6.12299999999982
8,GISS-E2-1-G,2033.294,2029.676,3.6180000000001655
9,HadGEM3-GC31-LL,2026.164,2022.024,4.1400000000001
10,INM-CM4-8,2038.518,2030.8,7.718000000000075
11,INM-CM5-0,2032.649,2027.319,5.329999999999927
12,IPSL-CM6A-LR,2040.719,2036.168,4.551000000000158
13,KACE-1-0-G,2032.486,2027.63,4.8559999999999945
14,KIOST-ESM,2048.423,2036.127,12.295999999999822
15,MCM-UA-1-0,2045.478,2035.088,10.3900000000001
16,MIROC-ES2L,2034.668,2030.061,4.606999999999971
17,MIROC6,,2030.831,
18,MPI-ESM1-2-HR,2046.202,2042.031,4.171000000000049
19,MPI-ESM1-2-LR,2042.429,2035.814,6.615000000000009
20,MRI-ESM2-0,2037.494,2032.934,4.559999999999945
21,NESM3,2040.779,2035.941,4.837999999999965
22,NorESM2-LM,2033.265,2032.103,1.1620000000000346
23,NorESM2-MM,2036.893,2033.645,3.2480000000000473
24,TaiESM1,2025.748,2024.134,1.6140000000000327
25,UKESM1-0-LL,2027.0,2023.385,3.615000000000009
