,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2038.08,2033.709,4.370999999999867
1,ACCESS-CM2,r2i1p1f1,2041.603,2037.113,4.490000000000009
2,ACCESS-ESM1-5,r1i1p1f1,2047.225,2041.581,5.6440000000000055
3,ACCESS-ESM1-5,r2i1p1f1,2047.103,2043.625,3.4780000000000655
4,ACCESS-ESM1-5,r3i1p1f1,2044.64,2039.849,4.791000000000167
5,AWI-CM-1-1-MR,r1i1p1f1,2073.671,2061.401,12.269999999999982
6,BCC-CSM2-MR,r1i1p1f1,2053.348,2047.496,5.851999999999862
7,CAMS-CSM1-0,r1i1p1f1,2059.359,2054.15,5.208999999999833
8,CAS-ESM2-0,r1i1p1f1,2043.986,2041.002,2.984000000000151
9,CESM2,r4i1p1f1,2046.878,2042.726,4.151999999999816
10,CESM2-WACCM,r1i1p1f1,2050.284,2046.848,3.436000000000149
11,CESM2-WACCM,r2i1p1f1,2059.274,2055.785,3.4890000000000327
12,CESM2-WACCM,r3i1p1f1,2059.222,2053.558,5.664000000000215
13,CIESM,r1i1p1f1,2063.902,2054.708,9.19399999999996
14,CMCC-CM2-SR5,r1i1p1f1,2059.721,2053.578,6.143000000000029
15,CMCC-ESM2,r1i1p1f1,2049.612,2045.593,4.0190000000000055
16,CNRM-CM6-1,r1i1p1f2,2049.121,2045.623,3.4980000000000473
17,CNRM-CM6-1,r2i1p1f2,2040.399,2036.276,4.12299999999982
18,CNRM-CM6-1,r3i1p1f2,2048.115,2044.469,3.645999999999731
19,CNRM-CM6-1,r4i1p1f2,2044.729,2041.545,3.183999999999969
20,CNRM-CM6-1,r5i1p1f2,2049.313,2046.109,3.2040000000001783
21,CNRM-CM6-1,r6i1p1f2,2047.405,2044.691,2.713999999999942
22,CNRM-CM6-1-HR,r1i1p1f2,2051.675,2047.461,4.214000000000169
23,CNRM-ESM2-1,r1i1p1f2,2052.229,2051.173,1.05600000000004
24,CNRM-ESM2-1,r2i1p1f2,2046.614,2044.448,2.16599999999994
25,CNRM-ESM2-1,r3i1p1f2,2038.012,2034.488,3.5239999999998872
26,CNRM-ESM2-1,r4i1p1f2,2031.377,2028.389,2.9880000000000564
27,CNRM-ESM2-1,r5i1p1f2,2042.339,2040.023,2.316000000000031
28,CanESM5,r10i1p1f1,2066.457,2057.876,8.580999999999676
29,CanESM5,r10i1p2f1,2065.429,2052.659,12.769999999999982
30,CanESM5,r11i1p1f1,2059.377,2051.625,7.751999999999953
31,CanESM5,r11i1p2f1,2069.759,2059.568,10.190999999999804
32,CanESM5,r12i1p1f1,2061.526,2053.795,7.730999999999767
33,CanESM5,r12i1p2f1,2060.415,2051.814,8.601000000000113
34,CanESM5,r13i1p1f1,2069.651,2055.941,13.710000000000036
35,CanESM5,r13i1p2f1,2062.213,2055.81,6.403000000000247
36,CanESM5,r14i1p1f1,2063.932,2053.983,9.948999999999614
37,CanESM5,r14i1p2f1,2055.975,2047.983,7.991999999999962
38,CanESM5,r15i1p1f1,2063.38,2053.955,9.425000000000182
39,CanESM5,r15i1p2f1,2057.714,2049.408,8.30600000000004
40,CanESM5,r16i1p1f1,2058.421,2049.058,9.362999999999829
41,CanESM5,r16i1p2f1,2058.854,2050.034,8.819999999999709
42,CanESM5,r17i1p1f1,2068.157,2056.479,11.678000000000338
43,CanESM5,r17i1p2f1,2060.553,2050.644,9.909000000000106
44,CanESM5,r18i1p1f1,2065.284,2055.062,10.222000000000207
45,CanESM5,r18i1p2f1,2054.237,2046.736,7.500999999999976
46,CanESM5,r19i1p1f1,2064.913,2055.299,9.614000000000033
47,CanESM5,r19i1p2f1,2062.894,2054.452,8.441999999999553
48,CanESM5,r1i1p1f1,2061.99,2052.164,9.825999999999567
49,CanESM5,r1i1p2f1,2058.426,2049.127,9.298999999999978
50,CanESM5,r20i1p1f1,2059.499,2051.815,7.683999999999742
51,CanESM5,r20i1p2f1,2057.33,2049.098,8.231999999999971
52,CanESM5,r21i1p1f1,2061.161,2049.881,11.2800000000002
53,CanESM5,r21i1p2f1,2058.03,2048.722,9.307999999999993
54,CanESM5,r22i1p1f1,2061.989,2052.117,9.871999999999844
55,CanESM5,r22i1p2f1,2061.678,2051.948,9.730000000000018
56,CanESM5,r23i1p1f1,2067.219,2055.691,11.528000000000247
57,CanESM5,r23i1p2f1,2056.82,2049.333,7.48700000000008
