,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2032.226,2026.821,5.4050000000002
1,ACCESS-CM2,r2i1p1f1,2034.008,2031.43,2.5779999999999745
2,ACCESS-ESM1-5,r1i1p1f1,2026.209,2024.991,1.2180000000000746
3,ACCESS-ESM1-5,r2i1p1f1,2038.764,2036.852,1.9119999999998072
4,ACCESS-ESM1-5,r3i1p1f1,2036.276,2030.532,5.744000000000142
5,BCC-CSM2-MR,r1i1p1f1,2035.9,2034.074,1.8260000000000218
6,CAMS-CSM1-0,r1i1p1f1,2046.213,2040.152,6.060999999999922
7,CAS-ESM2-0,r1i1p1f1,2035.353,2023.519,11.83400000000006
8,CESM2,r4i1p1f1,2030.575,2026.72,3.855000000000018
9,CESM2-WACCM,r1i1p1f1,2032.945,2029.928,3.0169999999998254
10,CESM2-WACCM,r2i1p1f1,2040.808,2035.875,4.932999999999993
11,CESM2-WACCM,r3i1p1f1,2035.913,2035.188,0.724999999999909
12,CIESM,r1i1p1f1,2044.864,2036.366,8.498000000000047
13,CMCC-CM2-SR5,r1i1p1f1,2026.609,2024.013,2.5960000000000036
14,CMCC-ESM2,r1i1p1f1,2030.368,2028.547,1.8209999999999127
15,CNRM-CM6-1,r10i1p1f2,,,
16,CNRM-CM6-1,r1i1p1f2,2039.243,2032.24,7.002999999999929
17,CNRM-CM6-1,r2i1p1f2,2032.302,2026.527,5.774999999999864
18,CNRM-CM6-1,r3i1p1f2,2039.012,2036.729,2.2829999999999018
19,CNRM-CM6-1,r4i1p1f2,2027.816,2024.576,3.240000000000009
20,CNRM-CM6-1,r5i1p1f2,2039.083,2032.49,6.593000000000075
21,CNRM-CM6-1,r6i1p1f2,2033.569,2031.748,1.8209999999999127
22,CNRM-CM6-1,r7i1p1f2,,,
23,CNRM-CM6-1,r8i1p1f2,,,
24,CNRM-CM6-1,r9i1p1f2,,,
25,CNRM-CM6-1-HR,r1i1p1f2,2034.337,2031.647,2.6900000000000546
26,CNRM-ESM2-1,r1i1p1f2,2036.29,2033.452,2.8379999999999654
27,CNRM-ESM2-1,r2i1p1f2,2033.548,2030.737,2.810999999999922
28,CNRM-ESM2-1,r3i1p1f2,2038.074,2031.932,6.142000000000053
29,CNRM-ESM2-1,r4i1p1f2,2028.808,2024.03,4.77800000000002
30,CNRM-ESM2-1,r5i1p1f2,2033.492,2028.554,4.9379999999998745
31,CanESM5,r10i1p1f1,2038.057,2032.406,5.651000000000067
32,CanESM5,r10i1p2f1,2041.469,2035.136,6.333000000000084
33,CanESM5,r11i1p1f1,2032.721,2030.53,2.191000000000031
34,CanESM5,r11i1p2f1,2040.317,2034.252,6.065000000000055
35,CanESM5,r12i1p1f1,2040.227,2033.181,7.046000000000049
36,CanESM5,r12i1p2f1,2040.094,2034.716,5.378000000000156
37,CanESM5,r13i1p1f1,2043.572,2040.339,3.2329999999999472
38,CanESM5,r13i1p2f1,2046.531,2038.014,8.517000000000053
39,CanESM5,r14i1p1f1,2035.828,2033.472,2.3559999999999945
40,CanESM5,r14i1p2f1,2043.698,2036.311,7.387000000000171
41,CanESM5,r15i1p1f1,2040.684,2031.702,8.981999999999971
42,CanESM5,r15i1p2f1,2038.408,2031.378,7.029999999999973
43,CanESM5,r16i1p1f1,2040.393,2032.963,7.430000000000064
44,CanESM5,r16i1p2f1,2043.823,2036.62,7.203000000000202
45,CanESM5,r17i1p1f1,2043.459,2038.163,5.296000000000049
46,CanESM5,r17i1p2f1,2040.39,2034.888,5.50200000000018
47,CanESM5,r18i1p1f1,2041.616,2034.276,7.339999999999918
48,CanESM5,r18i1p2f1,2036.18,2028.959,7.221000000000004
49,CanESM5,r19i1p1f1,2037.776,2034.624,3.1520000000000437
50,CanESM5,r19i1p2f1,2038.169,2032.434,5.735000000000127
51,CanESM5,r1i1p1f1,2035.883,2031.802,4.081000000000131
52,CanESM5,r1i1p2f1,2043.2,2034.59,8.610000000000127
53,CanESM5,r20i1p1f1,2042.137,2034.942,7.194999999999936
54,CanESM5,r20i1p2f1,2040.614,2036.672,3.9420000000000073
55,CanESM5,r21i1p1f1,2037.607,2034.025,3.58199999999988
56,CanESM5,r21i1p2f1,2042.326,2035.456,6.870000000000118
57,CanESM5,r22i1p1f1,2040.813,2036.993,3.8200000000001637
58,CanESM5,r22i1p2f1,2044.955,2040.257,4.697999999999865
59,CanESM5,r23i1p1f1,2041.838,2038.086,3.7519999999999527
60,CanESM5,r23i1p2f1,2039.168,2036.2,2.967999999999847
61,CanESM5,r24i1p1f1,2038.837,2029.733,9.104000000000042
62,CanESM5,r24i1p2f1,2037.575,2035.294,2.280999999999949
63,CanESM5,r25i1p1f1,2041.843,2036.013,5.830000000000155
64,CanESM5,r25i1p2f1,2037.99,2034.95,3.0399999999999636
65,CanESM5,r2i1p1f1,2039.377,2035.21,4.166999999999916
66,CanESM5,r2i1p2f1,2035.559,2032.555,3.0039999999999054
67,CanESM5,r3i1p1f1,2034.013,2031.582,2.4309999999998126
68,CanESM5,r3i1p2f1,2041.224,2035.712,5.511999999999944
69,CanESM5,r4i1p1f1,2043.098,2035.51,7.587999999999965
70,CanESM5,r4i1p2f1,2037.473,2033.699,3.7739999999998872
71,CanESM5,r5i1p1f1,2037.012,2033.831,3.18100000000004
72,CanESM5,r5i1p2f1,2039.887,2037.171,2.7159999999998945
73,CanESM5,r6i1p1f1,2038.141,2032.965,5.176000000000158
74,CanESM5,r6i1p2f1,2037.418,2033.448,3.9699999999998
75,CanESM5,r7i1p1f1,2040.796,2034.382,6.413999999999987
76,CanESM5,r7i1p2f1,2042.938,2038.686,4.25200000000018
77,CanESM5,r8i1p1f1,2043.155,2036.333,6.821999999999889
78,CanESM5,r8i1p2f1,2044.678,2038.961,5.717000000000098
79,CanESM5,r9i1p1f1,2035.679,2032.247,3.4320000000000164
80,CanESM5,r9i1p2f1,2041.008,2037.188,3.8199999999999363
81,CanESM5-CanOE,r1i1p2f1,2043.2,2034.59,8.610000000000127
82,CanESM5-CanOE,r2i1p2f1,2035.559,2032.555,3.0039999999999054
83,CanESM5-CanOE,r3i1p2f1,2041.224,2035.712,5.511999999999944
84,E3SM-1-1,r1i1p1f1,,,
85,EC-Earth3,r10i1p1f1,2029.318,2026.663,2.6549999999999727
86,EC-Earth3,r12i1p1f1,2039.305,2033.418,5.887000000000171
87,EC-Earth3,r14i1p1f1,2046.192,2038.697,7.495000000000118
88,EC-Earth3,r16i1p1f1,2045.561,2040.697,4.864000000000033
89,EC-Earth3,r17i1p1f1,2046.428,2036.312,10.116000000000213
90,EC-Earth3,r18i1p1f1,2029.946,2025.614,4.33199999999988
91,EC-Earth3,r19i1p1f1,2029.627,2025.44,4.186999999999898
92,EC-Earth3,r1i1p1f1,2046.175,2039.813,6.361999999999853
93,EC-Earth3,r20i1p1f1,2030.954,2029.449,1.5049999999998818
94,EC-Earth3,r21i1p1f1,2047.797,2046.052,1.7450000000001182
95,EC-Earth3,r22i1p1f1,2044.296,2041.67,2.6259999999999764
96,EC-Earth3,r23i1p1f1,2032.658,2027.404,5.253999999999905
97,EC-Earth3,r24i1p1f1,2037.573,2033.878,3.6950000000001637
98,EC-Earth3,r25i1p1f1,2037.157,2035.131,2.02599999999984
99,EC-Earth3,r4i1p1f1,2040.069,2038.291,1.77800000000002
100,EC-Earth3,r6i1p1f1,2037.561,2034.824,2.7369999999998527
101,EC-Earth3,r7i1p1f1,2033.45,2028.622,4.8279999999999745
102,EC-Earth3,r9i1p1f1,2044.596,2035.58,9.016000000000076
103,EC-Earth3-CC,r1i1p1f1,2044.424,2037.768,6.655999999999949
104,EC-Earth3-Veg,r5i1p1f1,2043.11,2034.957,8.152999999999793
105,EC-Earth3-Veg,r1i1p1f1,2048.645,2043.628,5.017000000000053
106,EC-Earth3-Veg-LR,r1i1p1f1,2046.921,2045.174,1.747000000000071
107,FGOALS-f3-L,r1i1p1f1,2046.317,2036.294,10.02299999999991
108,FGOALS-g3,r1i1p1f1,2042.925,2035.842,7.082999999999856
