,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2044.093,2039.697,4.3960000000001855
1,ACCESS-CM2,r2i1p1f1,2044.673,2040.159,4.513999999999896
2,ACCESS-ESM1-5,r1i1p1f1,2050.035,2047.952,2.0829999999998563
3,ACCESS-ESM1-5,r2i1p1f1,2048.665,2046.661,2.0039999999999054
4,ACCESS-ESM1-5,r3i1p1f1,2045.331,2043.207,2.1239999999997963
5,AWI-CM-1-1-MR,r1i1p1f1,2051.626,2048.582,3.044000000000324
6,BCC-CSM2-MR,r1i1p1f1,2043.247,2039.482,3.7650000000001
7,CAMS-CSM1-0,r1i1p1f1,2051.339,2046.031,5.307999999999993
8,CAMS-CSM1-0,r2i1p1f1,2047.838,2045.605,2.2329999999999472
9,CAS-ESM2-0,r1i1p1f1,2045.146,2042.216,2.9300000000000637
10,CESM2,r4i1p1f1,2047.866,2045.457,2.408999999999878
11,CESM2-WACCM,r1i1p1f1,2051.784,2047.513,4.2710000000001855
12,CMCC-CM2-SR5,r1i1p1f1,2052.141,2048.04,4.101000000000113
13,CMCC-ESM2,r1i1p1f1,2044.968,2040.293,4.675000000000182
14,CNRM-CM6-1,r1i1p1f2,2046.47,2043.012,3.4580000000000837
15,CNRM-CM6-1,r2i1p1f2,2044.598,2040.16,4.4379999999998745
16,CNRM-CM6-1,r3i1p1f2,2049.092,2046.694,2.3980000000001382
17,CNRM-CM6-1,r4i1p1f2,2047.037,2040.691,6.346000000000004
18,CNRM-CM6-1,r5i1p1f2,2050.625,2046.463,4.162000000000035
19,CNRM-CM6-1,r6i1p1f2,2051.698,2047.48,4.217999999999847
20,CNRM-CM6-1-HR,r1i1p1f2,2050.411,2046.671,3.740000000000009
21,CNRM-ESM2-1,r1i1p1f2,2043.459,2042.937,0.5220000000001619
22,CNRM-ESM2-1,r2i1p1f2,2044.321,2041.125,3.1959999999999127
23,CNRM-ESM2-1,r3i1p1f2,2039.579,2037.968,1.6109999999998763
24,CNRM-ESM2-1,r4i1p1f2,2036.12,2034.258,1.8619999999998527
25,CNRM-ESM2-1,r5i1p1f2,2044.724,2043.861,0.862999999999829
26,CanESM5,r10i1p1f1,2051.876,2048.122,3.75400000000036
27,CanESM5,r10i1p2f1,2054.426,2047.823,6.602999999999838
28,CanESM5,r11i1p1f1,2046.911,2043.007,3.9039999999999964
29,CanESM5,r11i1p2f1,2053.29,2049.018,4.2719999999999345
30,CanESM5,r12i1p1f1,2048.44,2044.129,4.311000000000149
31,CanESM5,r12i1p2f1,2049.997,2045.669,4.327999999999747
32,CanESM5,r13i1p1f1,2052.514,2046.668,5.846000000000231
33,CanESM5,r13i1p2f1,2050.059,2044.664,5.395000000000209
34,CanESM5,r14i1p1f1,2051.442,2046.738,4.703999999999951
35,CanESM5,r14i1p2f1,2052.389,2047.13,5.2590000000000146
36,CanESM5,r15i1p1f1,2052.225,2047.998,4.226999999999862
37,CanESM5,r15i1p2f1,2053.511,2047.284,6.226999999999862
38,CanESM5,r16i1p1f1,2049.929,2044.91,5.0190000000000055
39,CanESM5,r16i1p2f1,2049.382,2043.947,5.435000000000173
40,CanESM5,r17i1p1f1,2053.32,2047.909,5.411000000000058
41,CanESM5,r17i1p2f1,2052.63,2046.309,6.32100000000014
42,CanESM5,r18i1p1f1,2053.148,2048.547,4.601000000000113
43,CanESM5,r18i1p2f1,2050.294,2043.968,6.3259999999997945
44,CanESM5,r19i1p1f1,2054.302,2048.291,6.010999999999967
45,CanESM5,r19i1p2f1,2053.439,2049.137,4.30199999999968
46,CanESM5,r1i1p1f1,2047.433,2044.109,3.324000000000069
47,CanESM5,r1i1p2f1,2053.7,2049.032,4.667999999999665
48,CanESM5,r20i1p1f1,2048.312,2042.505,5.806999999999789
49,CanESM5,r20i1p2f1,2047.975,2043.882,4.092999999999847
50,CanESM5,r21i1p1f1,2055.12,2048.703,6.416999999999916
51,CanESM5,r21i1p2f1,2052.695,2047.863,4.832000000000107
52,CanESM5,r22i1p1f1,2052.138,2048.324,3.813999999999851
53,CanESM5,r22i1p2f1,2053.776,2048.125,5.65099999999984
54,CanESM5,r23i1p1f1,2053.464,2048.45,5.014000000000124
55,CanESM5,r23i1p2f1,2045.614,2041.942,3.6720000000000255
56,CanESM5,r24i1p1f1,2049.138,2044.896,4.241999999999962
57,CanESM5,r24i1p2f1,2051.076,2044.827,6.249000000000024
58,CanESM5,r25i1p1f1,2051.502,2045.52,5.981999999999971
59,CanESM5,r25i1p2f1,2048.877,2043.993,4.8840000000000146
60,CanESM5,r2i1p1f1,2047.553,2043.252,4.301000000000158
61,CanESM5,r2i1p2f1,2047.569,2043.304,4.264999999999873
62,CanESM5,r3i1p1f1,2050.054,2045.58,4.47400000000016
63,CanESM5,r3i1p2f1,2050.455,2045.376,5.078999999999951
64,CanESM5,r4i1p1f1,2056.106,2050.037,6.069000000000415
65,CanESM5,r4i1p2f1,2051.264,2045.23,6.0340000000001055
66,CanESM5,r5i1p1f1,2049.401,2045.283,4.117999999999938
67,CanESM5,r5i1p2f1,2051.444,2047.253,4.191000000000031
68,CanESM5,r6i1p1f1,2050.939,2045.744,5.194999999999936
69,CanESM5,r6i1p2f1,2053.916,2050.087,3.8290000000001783
70,CanESM5,r7i1p1f1,2049.773,2045.746,4.027000000000044
71,CanESM5,r7i1p2f1,2055.893,2050.16,5.733000000000175
72,CanESM5,r8i1p1f1,2052.647,2047.2,5.446999999999889
