,year,no_arctic_tas,world_tas
0,1850,,
1,1851,,
2,1852,,
3,1853,,
4,1854,,
5,1855,,
6,1856,,
7,1857,,
8,1858,,
9,1859,,
10,1860,,
11,1861,,
12,1862,0.004632873182966837,0.006883589478298179
13,1863,0.007332572135975537,0.009536250445501354
14,1864,0.0014756634048236372,0.0027149036090068257
15,1865,0.009236945264041337,0.009834420711825314
16,1866,0.020218199035173714,0.020443537007951283
17,1867,0.020027827287696393,0.01968061176851549
18,1868,0.018990524203482448,0.019175305865683386
19,1869,0.02383062416082108,0.02341525509508158
20,1870,0.03167812039312298,0.030125621453324855
21,1871,0.03303853389108768,0.03139258676555921
22,1872,0.02473565570699824,0.022516118347035357
23,1873,0.021662378251279063,0.018462168611035133
24,1874,0.023203898849915534,0.01873928169785489
25,1875,0.023483711487665922,0.019271432598549198
26,1876,0.02342056447684513,0.018586729180183746
27,1877,0.029300227971322167,0.024498491808665177
28,1878,0.020526338689664154,0.016818724509411107
29,1879,0.018200726010174847,0.014978912353699338
30,1880,0.010387540938960948,0.007618798648975054
31,1881,0.000896333004696015,-0.0015572225848411291
32,1882,-0.006819862852707574,-0.008911147428946093
33,1883,-0.011552979696957925,-0.013631089612299354
34,1884,-0.00942326236755401,-0.010867280297495998
35,1885,-0.006972721288689057,-0.008109032019411147
36,1886,-0.013008600954874328,-0.013881255635670062
37,1887,-0.009726186993886124,-0.01177171000071619
38,1888,-0.004533371858631957,-0.00677037475526987
39,1889,-9.050382521163746e-05,-0.0023014142898743527
40,1890,-0.015944792485935517,-0.018571037608721596
41,1891,-0.038438131669402666,-0.04063028871732195
42,1892,-0.05083879075480993,-0.05230678599547563
43,1893,-0.05546357571964225,-0.05655188696611267
44,1894,-0.06071193795822609,-0.060129290500610874
45,1895,-0.07051561784606152,-0.06865556434967088
46,1896,-0.07731027611901657,-0.0754073893527934
47,1897,-0.08010988318634742,-0.07728167201918282
48,1898,-0.08453632948816585,-0.08035619018199008
49,1899,-0.09100489393585116,-0.08504234568322853
50,1900,-0.09069420059210404,-0.08488292875686641
51,1901,-0.09518899033976953,-0.08877412177281395
52,1902,-0.09641264366564388,-0.09028033863720675
53,1903,-0.08467983460956477,-0.07917943948767535
54,1904,-0.08744513117385164,-0.08138548353464474
55,1905,-0.08875212534415784,-0.08311606604215978
56,1906,-0.08662274943726846,-0.08159118858336217
57,1907,-0.08097734168817673,-0.07663080435374207
58,1908,-0.07916241989757483,-0.07409056706530691
59,1909,-0.07907680240300562,-0.07334222393298237
60,1910,-0.08301024095411748,-0.07710117243237638
61,1911,-0.07763707755546694,-0.07068280588768219
62,1912,-0.07892244690163118,-0.07005192041874471
63,1913,-0.08290253582576382,-0.07318189305804519
64,1914,-0.07793125601725472,-0.06706188281504603
65,1915,-0.07148729792221528,-0.05875484766405012
66,1916,-0.059619033354807345,-0.04588109126700247
67,1917,-0.051982577352411956,-0.03808145522740752
68,1918,-0.04450534021973665,-0.029551151100271705
69,1919,-0.03755189198273735,-0.021909438547337273
70,1920,-0.024885992239857272,-0.008181569265365108
71,1921,-0.01890872719432304,-0.0021421320142333768
72,1922,-0.0072872094512136335,0.011168701623192192
73,1923,0.004620381817834331,0.02409538250608235
74,1924,0.019191656528433895,0.03873113062644293
75,1925,0.03486003559033261,0.057546384678103774
76,1926,0.04989033172481548,0.07552737599217849
77,1927,0.057484303409806294,0.08470552654775736
78,1928,0.06648826236676958,0.09608268237594593
79,1929,0.08398633485652893,0.11382948399193703
80,1930,0.10330121049348147,0.13549533302111383
81,1931,0.11975557397797822,0.15510278016658893
82,1932,0.13635313684893086,0.17408071502430839
83,1933,0.1488050773796145,0.18744362120990637
84,1934,0.15362466118254742,0.19221749114867026
85,1935,0.1614257185077683,0.20201384568825187
86,1936,0.16894496136352394,0.20913128506843232
87,1937,0.17584545883968833,0.215867302581755
88,1938,0.17725651155054498,0.21802358241446052
89,1939,0.17958038634278342,0.22003427333534614
90,1940,0.1889494460742059,0.22946422467125
91,1941,0.1987174343874794,0.2395153197496542
92,1942,0.20851463693201414,0.2506632034081445
93,1943,0.209650744884409,0.2507947626446493
94,1944,0.20450554121561218,0.24531138482182854
95,1945,0.2099109656445106,0.2498928736424929
96,1946,0.22370637262462256,0.26302739424098376
97,1947,0.23013201004654532,0.2689207479967609
98,1948,0.23398784726941224,0.27278197271187765
99,1949,0.24088841687485144,0.2787003533640956
100,1950,0.23989749734995358,0.2763415761428966
101,1951,0.24156071785661762,0.27510243671150697
102,1952,0.23277016278125046,0.2644673329941488
103,1953,0.22331584930692344,0.2533175019529654
104,1954,0.21782314946763237,0.24684085352878796
105,1955,0.2135690176288786,0.24253863905781817
106,1956,0.20748803118745,0.23412119054592664
107,1957,0.2030515055565777,0.22790983018183217
108,1958,0.20157921580904298,0.22505274677491216
109,1959,0.19841581240536363,0.22188986283349707
110,1960,0.20077831183336975,0.22190297024703717
111,1961,0.20878043728095716,0.22955689661583115
112,1962,0.20862660073448416,0.2285667478045629
113,1963,0.21455573787099846,0.2337817824315676
114,1964,0.20911049946044688,0.2283295346335661
115,1965,0.21392101286210496,0.23248199228037772
116,1966,0.2143181379657662,0.23098740022423095
117,1967,0.2258927243142475,0.23925801216836887
118,1968,0.2411180424263572,0.2544910779480874
119,1969,0.2604468371419799,0.2745143093865727
120,1970,0.2645277452972074,0.27771143731252174
121,1971,0.2743487894032219,0.28745571195489994
122,1972,0.2791739878869317,0.2915093839688084
123,1973,0.2863194555039257,0.2983056764576051
124,1974,0.2913080208898785,0.30318343223518346
125,1975,0.30590489354587025,0.3157855542977005
126,1976,0.31807430288852623,0.32889432415089337
127,1977,0.3365165915933722,0.34822795352097174
128,1978,0.358338328147657,0.37073670332124287
129,1979,0.37606447637462664,0.3902544693181638
130,1980,0.38710352213197585,0.3999061128224241
131,1981,0.39941258396493096,0.41312070594372047
132,1982,0.409908780998755,0.42373897484141937
133,1983,0.42639230194878125,0.442169417252368
134,1984,0.44497468818685654,0.4614561897273385
135,1985,0.46508409209449425,0.4822720641770423
136,1986,0.4857394159401619,0.5033841065169026
137,1987,0.5052458543572544,0.5232794280026849
138,1988,0.5217520395948143,0.5407692981350879
139,1989,0.5492797339155642,0.5688262200063199
140,1990,0.5654003873328136,0.5862329702730893
141,1991,0.5850927836785788,0.6077950712877708
142,1992,0.5985672619163575,0.6228771248975601
143,1993,0.612561253432077,0.6392318028652615
144,1994,0.6245886863043273,0.652153298511828
145,1995,0.6433248742693175,0.6744309315240158
146,1996,0.6505859562828786,0.6839989315884667
147,1997,0.6712354376377282,0.70587305491831
148,1998,0.6941335111979116,0.7310486427009707
149,1999,0.7081051139491944,0.7486763791860334
150,2000,0.7172609406104751,0.7619972452662096
151,2001,0.729961520037964,0.7756893878771041
152,2002,0.7473533289438583,0.7953952123216448
153,2003,0.7643586010448122,0.8139861943543788
154,2004,0.7846805181079827,0.8376636233675384
155,2005,0.80992503396233,0.8663729803403661
156,2006,0.8318130209551221,0.8901429172683644
157,2007,0.8548319698821016,0.916334700253007
158,2008,0.8748077561690727,0.9381489873777134
159,2009,0.8927593453384156,0.9574790466969675
160,2010,0.906321297029205,0.9731539268113373
161,2011,,
162,2012,,
163,2013,,
164,2014,,
165,2015,,
166,2016,,
167,2017,,
168,2018,,
169,2019,,
170,2020,,
171,2021,,
172,2022,,
