,year,no_arctic_tas,world_tas
0,1850,,
1,1851,,
2,1852,,
3,1853,,
4,1854,,
5,1855,,
6,1856,,
7,1857,-0.009201928740342015,-0.002078915159472792
8,1858,-0.0006939306348764811,0.0052593006569913005
9,1859,-0.0047661650479826866,-0.0019448383507455313
10,1860,-0.010010751714749926,-0.009379433060617027
11,1861,-0.008968413977819377,-0.009942728958312901
12,1862,-0.00892641674254872,-0.010629316997608117
13,1863,-0.010428832268745533,-0.011424760731051883
14,1864,-0.010888446822550042,-0.012264582880644415
15,1865,-0.0012935128517573558,-0.002910012274728894
16,1866,0.0019448882722758484,-0.0012041217661059997
17,1867,-0.007115539259528912,-0.009350082666509567
18,1868,-0.005435719753767056,-0.00785238478648782
19,1869,-0.0018390539877574683,-0.005298992140588569
20,1870,0.029094001717766372,0.025947850900118936
21,1871,0.053381677220852075,0.05077239033499049
22,1872,0.05913120337627315,0.05617892785119094
23,1873,0.05786551327419354,0.056281657806195436
24,1874,0.06542126424863554,0.06383009572228189
25,1875,0.06730071560043155,0.06592677898803082
26,1876,0.06040420698381612,0.06080373810338692
27,1877,0.04843994166224895,0.04767991962881458
28,1878,0.038668760367757266,0.03635906192471942
29,1879,0.03292271230225508,0.030460718319602106
30,1880,0.022240842489693085,0.01913394005336178
31,1881,0.021033137172719537,0.016942143875531893
32,1882,0.031910329240250196,0.02727925539113888
33,1883,0.021295680287937876,0.01739675743017422
34,1884,0.023108939294269337,0.01849517622374199
35,1885,-0.008093092256550577,-0.013072136498700792
36,1886,-0.04117152402861555,-0.046610661612966925
37,1887,-0.053672566976555335,-0.058282248993377424
38,1888,-0.06133467210281283,-0.06610208652768979
39,1889,-0.06631159103650854,-0.06940214186827372
40,1890,-0.06571158232144408,-0.0666344347292889
41,1891,-0.07480033647099417,-0.0766605257681548
42,1892,-0.06455194376100286,-0.06649646324609547
43,1893,-0.049095303270285426,-0.049906623730329495
44,1894,-0.04066305844630276,-0.040366818786803975
45,1895,-0.03662017157156936,-0.03712293277866572
46,1896,-0.04971614968956092,-0.047922639494185654
47,1897,-0.07443382783394702,-0.07182986848904373
48,1898,-0.06878434407465045,-0.06600269465301084
49,1899,-0.06609984236536602,-0.06135024236823513
50,1900,-0.06753788237460588,-0.06119715934304573
51,1901,-0.06994014155570485,-0.06227987317653351
52,1902,-0.07371009222715079,-0.0662709546882466
53,1903,-0.08297015595092262,-0.07484943902476514
54,1904,-0.10304667364490684,-0.0931643906566188
55,1905,-0.11729495634933187,-0.10882255450906367
56,1906,-0.11593417846877249,-0.10787929968637457
57,1907,-0.11256709854601271,-0.10356845900301205
58,1908,-0.11228175763028346,-0.10328501712383491
59,1909,-0.12248210628679734,-0.11331160585087531
60,1910,-0.12943864702025445,-0.12064718388776444
61,1911,-0.12147922030839188,-0.11487882805636732
62,1912,-0.10390348519883334,-0.09882227959048814
63,1913,-0.10083274573270049,-0.09533322002634685
64,1914,-0.09691969844447443,-0.09142369758889288
65,1915,-0.08653595416820405,-0.08071044820046476
66,1916,-0.07534500553174477,-0.06878621999296947
67,1917,-0.06257288328647582,-0.05444687724536534
68,1918,-0.04637231383294869,-0.037949461857087995
69,1919,-0.018873661915308686,-0.010399380673166462
70,1920,-0.004608667121754798,0.006423869042694771
71,1921,0.009567111952042734,0.023565744682166774
72,1922,-0.0003837173118938479,0.015168270527288306
73,1923,-0.0018268534249369492,0.016711119325995234
74,1924,0.017055556286491143,0.03777649927727731
75,1925,0.038905672799228394,0.06369366861827871
76,1926,0.04291656218253752,0.07013522110534784
77,1927,0.04910679483445439,0.08006155527331048
78,1928,0.05666784690809265,0.08879381026088362
79,1929,0.06073409124082569,0.09362453360909005
80,1930,0.07915550455808495,0.11559004067506991
81,1931,0.09661150366503152,0.13580433678005993
82,1932,0.11477748530638308,0.1543606192744914
83,1933,0.1367029060239389,0.17882260859948362
84,1934,0.14738054516950874,0.18817400549409644
85,1935,0.1618755336725735,0.20310311725417543
86,1936,0.17747845857958405,0.22009429099961836
87,1937,0.20998937180340466,0.25478133749570503
88,1938,0.22135128359955142,0.26632473382394994
89,1939,0.22170789016433348,0.2654545185711197
90,1940,0.22398356374450523,0.2696152433888968
91,1941,0.2377444753980002,0.2833361418114733
92,1942,0.24264823053169415,0.28671745768557266
93,1943,0.24135456905490235,0.2852642046568756
94,1944,0.24844088777527387,0.2917725238416722
95,1945,0.2522070170180341,0.29295360236460516
96,1946,0.25761228305648265,0.2968789842779596
97,1947,0.25133350522511927,0.2917643986279335
98,1948,0.2367772841044621,0.2745645864405008
99,1949,0.21792090021829658,0.2569130006604298
100,1950,0.21658859805094355,0.25435623632057713
101,1951,0.21616789326027813,0.2500095778960059
102,1952,0.2054049168304785,0.23812827689406468
103,1953,0.19863913005775555,0.23102439609750242
104,1954,0.20617368406133238,0.23776263730146568
105,1955,0.20994180262839374,0.2394695914328112
106,1956,0.21763776448685437,0.24575625618518435
107,1957,0.20965199187565328,0.2353606699618145
108,1958,0.2134684689512363,0.23764580783032502
109,1959,0.21111848371092362,0.23285163914983284
110,1960,0.20290815293036124,0.22489380789845578
111,1961,0.1920961199128683,0.21110407566007247
112,1962,0.20088415284434386,0.21685904878518442
113,1963,0.20789873514060808,0.22342137404105475
114,1964,0.21155834214725258,0.22641864859056723
115,1965,0.20876247405927054,0.22296540439647075
116,1966,0.21286791649189116,0.22755197910288563
117,1967,0.2068058816782589,0.21946079069857605
118,1968,0.2089677200575461,0.2202638875230255
119,1969,0.19547769208459964,0.20782115929078968
120,1970,0.20891287620495314,0.21985429592707367
121,1971,0.21220798323839693,0.2233539234658329
122,1972,0.23987110778011425,0.24974886391830023
123,1973,0.266447605970185,0.27652054643237084
124,1974,0.28896037967554256,0.30303542709007103
125,1975,0.30151981083149154,0.31297756674508304
126,1976,0.32760249028656463,0.3389004469109614
127,1977,0.3322757207144019,0.34412753320569167
128,1978,0.3398728628825599,0.35311261223532386
129,1979,0.36099403153552384,0.3732519196376096
130,1980,0.3851527721492279,0.3959405648505834
131,1981,0.39979420716613606,0.41131863541028796
132,1982,0.42280197664046676,0.4347960128224958
133,1983,0.4531061194123339,0.4659040093131171
134,1984,0.4893751119012232,0.502726530290829
135,1985,0.49154566838014613,0.5039340088018666
136,1986,0.5005868632448096,0.5146595851925551
137,1987,0.5075775806518564,0.5243273199069353
138,1988,0.5166891676779815,0.536218606214856
139,1989,0.5191047605553802,0.5379884491585103
140,1990,0.5430230520547485,0.5638997825040051
141,1991,0.5651856273867912,0.5874326367062233
142,1992,0.5835923257954634,0.6057441974217037
143,1993,0.6013553602090274,0.6243699236521637
144,1994,0.6254305471274091,0.6505591389093502
145,1995,0.6414053658498585,0.6705999892193882
146,1996,0.6572387845551512,0.6881885020272952
147,1997,0.6766222249850896,0.7074974828792808
148,1998,0.6901524814442183,0.7240123790057352
149,1999,0.7031673962250438,0.739533475746178
150,2000,0.7285553977270607,0.7705189312477356
151,2001,0.7462247774831441,0.7903641563188717
152,2002,0.7678201484460238,0.8143510000005096
153,2003,0.7861082116311108,0.8345779879829949
154,2004,0.7995447411394204,0.8519522354021011
155,2005,0.8054475196758625,0.8621491999991957
156,2006,0.8068310473291392,0.8651607710106238
157,2007,0.8263144342848066,0.8883223200207623
158,2008,0.8574503884956637,0.9212655030119351
159,2009,0.8817097522219207,0.9507888692261935
160,2010,0.8990867460960066,0.9708340255806613
161,2011,0.9117872587057152,0.9852393284935442
162,2012,0.9346854272614302,1.01342327883268
163,2013,0.9537666722396408,1.034413913735609
164,2014,0.9660558589455275,1.046864696133743
165,2015,0.981350423321228,1.0617714413162076
166,2016,,
167,2017,,
168,2018,,
169,2019,,
170,2020,,
171,2021,,
172,2022,,
