,Model,No_arctic_crossing_year,World_crossing_year,gap
0,AWI-CM-1-1-MR,2024.756,2020.749,4.007000000000062
1,CESM2,2035.948,2032.346,3.602000000000089
2,CESM2-WACCM,2030.276,2027.185,3.091000000000122
3,CIESM,2014.369,2012.688,1.6809999999998126
4,EC-Earth3-Veg-LR,2035.088,2026.847,8.240999999999985
5,FIO-ESM-2-0,2021.695,2017.905,3.7899999999999636
6,GFDL-CM4,2036.238,2031.187,5.051000000000158
7,GFDL-ESM4,2050.632,2047.418,3.214000000000169
8,GISS-E2-1-G,2058.446,2054.56,3.8859999999999673
9,HadGEM3-GC31-LL,2025.191,2023.397,1.7940000000000964
10,INM-CM4-8,2039.429,2035.631,3.798000000000002
11,INM-CM5-0,2038.707,2033.537,5.170000000000073
12,IPSL-CM6A-LR,2019.85,2014.601,5.248999999999796
13,KACE-1-0-G,2016.089,2013.454,2.634999999999991
14,KIOST-ESM,2025.599,2020.826,4.772999999999911
15,MCM-UA-1-0,2025.928,2023.932,1.9960000000000946
16,MIROC-ES2L,2045.624,2040.832,4.791999999999916
17,MIROC6,,,
18,MPI-ESM1-2-HR,2039.553,2035.648,3.9050000000002
19,MPI-ESM1-2-LR,2041.149,2035.191,5.957999999999856
20,MRI-ESM2-0,2037.923,2031.967,5.955999999999904
21,NESM3,2037.28,2030.473,6.807000000000016
22,NorESM2-LM,2064.773,2058.072,6.701000000000022
23,NorESM2-MM,2051.385,2046.678,4.707000000000107
24,TaiESM1,2033.887,2031.35,2.5370000000000346
25,UKESM1-0-LL,2021.39,2019.917,1.4730000000001837
