,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2044.108,2040.328,3.7799999999999727
1,ACCESS-ESM1-5,,2065.821,
2,AWI-CM-1-1-MR,,,
3,BCC-CSM2-MR,,,
4,CAMS-CSM1-0,,,
5,CAS-ESM2-0,2042.809,2039.802,3.007000000000062
6,CESM2,2062.936,2045.52,17.416000000000167
7,CESM2-WACCM,,2288.802,
8,CIESM,,,
9,CMCC-CM2-SR5,2087.677,2054.088,33.58899999999994
10,CMCC-ESM2,2046.608,2043.05,3.5579999999999927
11,CNRM-CM6-1,,2060.273,
12,CNRM-CM6-1-HR,2092.242,2060.081,32.16100000000006
13,CNRM-ESM2-1,2088.91,2072.531,16.378999999999905
14,CanESM5,,2064.177,
15,CanESM5-CanOE,,,
16,EC-Earth3,,,
17,EC-Earth3-Veg,,,
18,EC-Earth3-Veg-LR,,,
19,FGOALS-f3-L,,,
20,FGOALS-g3,,,
21,FIO-ESM-2-0,,,
22,GFDL-ESM4,,,
23,GISS-E2-1-G,,2044.767,
24,HadGEM3-GC31-LL,2093.119,2061.349,31.769999999999982
25,HadGEM3-GC31-MM,2040.355,2036.233,4.122000000000071
26,IITM-ESM,,,
27,INM-CM4-8,,,
28,INM-CM5-0,,,
29,IPSL-CM5A2-INCA,2061.721,2054.183,7.538000000000011
30,IPSL-CM6A-LR,,,
31,KACE-1-0-G,,2077.35,
32,KIOST-ESM,,,
33,MCM-UA-1-0,,,
34,MIROC-ES2L,,2050.878,
35,MIROC6,,2057.053,
36,MPI-ESM1-2-HR,,,
37,MPI-ESM1-2-LR,,,
38,MRI-ESM2-0,,,
39,NESM3,,,
40,NorESM2-LM,,,
41,NorESM2-MM,,,
42,TaiESM1,2034.129,2030.686,3.4429999999999836
43,UKESM1-0-LL,2054.942,2043.636,11.30600000000004
44,UKESM1-1-LL,2081.799,2051.435,30.364000000000033
