,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2044.108,2040.328,3.7799999999999727
1,ACCESS-ESM1-5,1881.855,2065.821,-183.9659999999999
2,AWI-CM-1-1-MR,2041.014,,
3,BCC-CSM2-MR,2064.374,,
4,CAMS-CSM1-0,2064.878,,
5,CAS-ESM2-0,2042.809,2039.802,3.007000000000062
6,CESM2,2062.936,2045.52,17.416000000000167
7,CESM2-WACCM,6525.736,2288.802,4236.933999999999
8,CIESM,596.343,,
9,CMCC-CM2-SR5,2087.677,2054.088,33.58899999999994
10,CMCC-ESM2,2046.608,2043.05,3.5579999999999927
11,CNRM-CM6-1,2077.145,2060.273,16.871999999999844
12,CNRM-CM6-1-HR,2092.242,2060.081,32.16100000000006
13,CNRM-ESM2-1,2088.91,2072.531,16.378999999999905
14,CanESM5,1929.874,2064.177,-134.3030000000001
15,CanESM5-CanOE,2025.046,,
16,EC-Earth3,1880.017,,
17,EC-Earth3-Veg,2197.125,,
18,EC-Earth3-Veg-LR,2215.343,,
19,FGOALS-f3-L,1894.89,,
20,FGOALS-g3,1994.471,,
21,FIO-ESM-2-0,2021.195,,
22,GFDL-ESM4,2042.292,,
23,GISS-E2-1-G,1962.511,2044.767,-82.25600000000009
24,HadGEM3-GC31-LL,2093.119,2061.349,31.769999999999982
25,HadGEM3-GC31-MM,2040.355,2036.233,4.122000000000071
26,IITM-ESM,1935.258,,
27,INM-CM4-8,1976.406,,
28,INM-CM5-0,2035.711,,
29,IPSL-CM5A2-INCA,2061.721,2054.183,7.538000000000011
30,IPSL-CM6A-LR,1866.488,,
31,KACE-1-0-G,2071.901,2077.35,-5.449000000000069
32,KIOST-ESM,1773.881,,
33,MCM-UA-1-0,1993.835,,
34,MIROC-ES2L,1939.173,2050.878,-111.70500000000015
35,MIROC6,2075.75,2057.053,18.697000000000116
36,MPI-ESM1-2-HR,1680.013,,
37,MPI-ESM1-2-LR,1922.509,,
38,MRI-ESM2-0,1718.997,,
39,NESM3,2048.527,,
40,NorESM2-LM,2278.749,,
41,NorESM2-MM,2229.244,,
42,TaiESM1,2034.129,2030.686,3.4429999999999836
43,UKESM1-0-LL,2054.942,2043.636,11.30600000000004
44,UKESM1-1-LL,2081.799,2051.435,30.364000000000033
