,year,Experiment,Model,adjusted_world_tas_anom,adjusted_no_arctic_tas_anom
0,1850,historical,AWI-CM-1-1-MR,,
1,1851,historical,AWI-CM-1-1-MR,,
2,1852,historical,AWI-CM-1-1-MR,0.03100699338861308,0.006251362767159508
3,1853,historical,AWI-CM-1-1-MR,0.06304985298920406,0.03929767141884706
4,1854,historical,AWI-CM-1-1-MR,0.07534166209767056,0.04960394407903973
5,1855,historical,AWI-CM-1-1-MR,0.06647345075826423,0.04379746104782366
6,1856,historical,AWI-CM-1-1-MR,0.06591746817702686,0.044898256378855986
7,1857,historical,AWI-CM-1-1-MR,0.04115740947883941,0.025690276839325975
8,1858,historical,AWI-CM-1-1-MR,0.0077027255428055216,-0.006999158570735205
9,1859,historical,AWI-CM-1-1-MR,0.036860740287626384,0.022359544686568967
10,1860,historical,AWI-CM-1-1-MR,0.033080028666879334,0.02313074305235301
11,1861,historical,AWI-CM-1-1-MR,0.026759743882772257,0.01836804880874604
12,1862,historical,AWI-CM-1-1-MR,0.02755168749149122,0.018674656948402108
13,1863,historical,AWI-CM-1-1-MR,0.027668321988079215,0.024253628970916145
14,1864,historical,AWI-CM-1-1-MR,0.006010942610066297,0.008662209426219463
15,1865,historical,AWI-CM-1-1-MR,0.02597625268262014,0.02510607912145523
16,1866,historical,AWI-CM-1-1-MR,0.03171610838894896,0.03279361654595149
17,1867,historical,AWI-CM-1-1-MR,0.05324697863193306,0.05051475280284563
18,1868,historical,AWI-CM-1-1-MR,0.07614682333727514,0.07433389145732186
19,1869,historical,AWI-CM-1-1-MR,0.04581444323675862,0.04476030037438757
20,1870,historical,AWI-CM-1-1-MR,0.029176998514163978,0.034961212559100466
21,1871,historical,AWI-CM-1-1-MR,0.023609648591745434,0.03252670840245776
22,1872,historical,AWI-CM-1-1-MR,-0.012462444074873204,0.005930602523759261
23,1873,historical,AWI-CM-1-1-MR,-0.030815832668886333,-0.010069388944999896
24,1874,historical,AWI-CM-1-1-MR,-0.0010507724158084041,0.01738697039295098
25,1875,historical,AWI-CM-1-1-MR,-0.004120167998275701,0.017588066450040074
26,1876,historical,AWI-CM-1-1-MR,-0.035158861119297585,-0.016381301424224795
27,1877,historical,AWI-CM-1-1-MR,-0.04711588349822308,-0.03086650089960341
28,1878,historical,AWI-CM-1-1-MR,-0.03729166692172165,-0.03032073636219836
29,1879,historical,AWI-CM-1-1-MR,-0.05265668731929977,-0.052674387357598974
30,1880,historical,AWI-CM-1-1-MR,-0.05408744031434343,-0.06278295697080208
31,1881,historical,AWI-CM-1-1-MR,-0.033179677535571786,-0.043645036892283426
32,1882,historical,AWI-CM-1-1-MR,-0.06846496330935313,-0.07917463531738286
33,1883,historical,AWI-CM-1-1-MR,-0.1216850895535561,-0.12704824455573735
34,1884,historical,AWI-CM-1-1-MR,-0.13466960335910388,-0.12756344194305602
35,1885,historical,AWI-CM-1-1-MR,-0.1384722757105111,-0.1297432333763178
36,1886,historical,AWI-CM-1-1-MR,-0.13552162556057495,-0.12944709379888591
37,1887,historical,AWI-CM-1-1-MR,-0.06748631168548416,-0.06024174966853555
