,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,288.45226873447956,286.64227770096323,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
1,Feb,2015,288.9305797234964,287.14528112810456,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
2,Mar,2015,289.3351601535709,287.6680813305436,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
3,Apr,2015,289.95877623274964,288.6124813071486,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
4,May,2015,290.4639519745817,289.5609583004847,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
5,Jun,2015,290.891732754012,290.21656549243124,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
6,Jul,2015,291.12063946954703,290.493708865401,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
7,Aug,2015,290.88590790104183,290.20204159293763,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
8,Sep,2015,290.563964709716,289.7243222438833,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
9,Oct,2015,289.718596799267,288.6973572442814,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
10,Nov,2015,289.25555060856846,287.97470256082073,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
11,Dec,2015,288.6414369706616,287.04413197338965,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
12,Jan,2016,288.5632256633213,286.86202165183994,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
13,Feb,2016,288.9508251869474,287.17933933898763,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
14,Mar,2016,289.6546603045411,287.95763167803574,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
15,Apr,2016,290.1586749510466,288.83401781232624,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
16,May,2016,290.69134394889363,289.76791853559234,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
17,Jun,2016,291.15828096822884,290.4723774653646,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
18,Jul,2016,291.18643901952953,290.5378358393274,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
19,Aug,2016,291.08817632132207,290.3638601611188,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
20,Sep,2016,290.55922972492004,289.70048533888956,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
21,Oct,2016,289.80069580687774,288.7953563116369,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
22,Nov,2016,289.2077043830668,287.95793747478695,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
23,Dec,2016,288.6881868364663,287.1770631292026,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
24,Jan,2017,288.6814693079895,286.97284679566326,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
25,Feb,2017,289.1483955087811,287.3461215719077,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
26,Mar,2017,289.4814956660296,287.82651190767865,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
27,Apr,2017,290.2141212190426,288.8038679291545,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
28,May,2017,290.6503734332571,289.6878492452323,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
29,Jun,2017,291.0716741603427,290.3958145822177,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
30,Jul,2017,291.2561759609718,290.6260708088353,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
31,Aug,2017,291.1346317688639,290.45307122241655,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
32,Sep,2017,290.54554106555054,289.7210088731337,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
33,Oct,2017,289.71023892582195,288.6543544100349,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
34,Nov,2017,289.18988179848344,287.9078331119257,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
35,Dec,2017,288.63273726019594,287.15904439226097,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
36,Jan,2018,288.5564060144453,286.9025993435707,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
37,Feb,2018,288.89275911273035,287.1681667711565,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
38,Mar,2018,289.47714360558575,287.7483814912593,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
39,Apr,2018,289.9695309518644,288.57822331777214,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
40,May,2018,290.4748744233366,289.4987436004187,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
41,Jun,2018,290.9829276771714,290.29016411073707,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
42,Jul,2018,291.0983507409417,290.45475875052836,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
43,Aug,2018,290.98156055156073,290.29017482348075,K,ssp370,ACCESS-ESM1-5,r2i1p1f1
