,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,287.9215599618221,286.2851468516529,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
1,Feb,2015,288.0808776080851,286.3637230922217,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
2,Mar,2015,288.7095708335149,287.0961911671667,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
3,Apr,2015,289.57575225607184,288.2388801843301,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
4,May,2015,290.08259461666114,289.1421318687001,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
5,Jun,2015,290.3271670413609,289.6859206985898,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
6,Jul,2015,290.5147677658936,289.9552609762549,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
7,Aug,2015,290.5162016953849,289.8860926724425,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
8,Sep,2015,289.9418866313177,289.1464360445906,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
9,Oct,2015,289.27107778787155,288.28500478524995,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
10,Nov,2015,288.5761294484579,287.3238125512587,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
11,Dec,2015,288.0407389281777,286.4505778160681,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
12,Jan,2016,287.67337992388883,286.07843668754964,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
13,Feb,2016,288.05114553164094,286.3594923837104,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
14,Mar,2016,288.6638396384174,287.086979631181,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
15,Apr,2016,289.3789196014144,288.0744532055529,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
16,May,2016,290.09895654401777,289.13482741550337,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
17,Jun,2016,290.57111990044575,289.9231171487435,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
18,Jul,2016,290.602336297612,290.02557142925326,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
19,Aug,2016,290.4004046105384,289.76552668506105,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
20,Sep,2016,290.05862180754616,289.23928309459666,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
21,Oct,2016,289.3464011364801,288.30580748953383,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
22,Nov,2016,288.6518689186618,287.3305084997432,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
23,Dec,2016,288.05463715907575,286.5707464036558,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
24,Jan,2017,287.8230896066629,286.3172120163501,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
25,Feb,2017,288.276090783817,286.5641168382148,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
26,Mar,2017,288.7113208583074,287.1740041941665,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
27,Apr,2017,289.50095335673495,288.185226018611,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
28,May,2017,290.20961144450393,289.36264110478606,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
29,Jun,2017,290.62087263913907,289.9981924708598,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
30,Jul,2017,290.8473819348929,290.28467067680504,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
31,Aug,2017,290.5660437548199,289.96389338339736,K,ssp370,AWI-CM-1-1-MR,r2i1p1f1
