,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,285.6920365432732,283.78222012765923,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
1,Feb,1850,286.12737149753985,284.21366537081195,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
2,Mar,1850,286.7573628343947,285.0023884372756,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
3,Apr,1850,287.4801846857921,286.0683601615964,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
4,May,1850,287.9958368283627,287.0553400412858,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
5,Jun,1850,288.397961956867,287.7838879955842,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
6,Jul,1850,288.5603208730609,288.0255309210751,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
7,Aug,1850,288.4805083936973,287.8602525090731,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
8,Sep,1850,288.05051678659555,287.22315085946934,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
9,Oct,1850,287.2530429337763,286.1482447642717,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
10,Nov,1850,286.59539451959307,285.09059360511293,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
11,Dec,1850,286.0372653964247,284.3608317889203,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
12,Jan,1851,285.8898867897135,284.06234483049,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
13,Feb,1851,286.12670331974306,284.2463892018631,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
14,Mar,1851,286.926713549111,285.0590016005183,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
15,Apr,1851,287.6064963984813,286.18348623058665,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
16,May,1851,288.0999005758388,287.10547032620417,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
17,Jun,1851,288.5848116952425,287.97519248934157,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
18,Jul,1851,288.9065470059852,288.3880186806537,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
19,Aug,1851,288.6951387544674,288.09912308589014,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
20,Sep,1851,288.1922084529751,287.35853880494574,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
21,Oct,1851,287.4132186583144,286.2768719525592,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
22,Nov,1851,286.6367677338218,285.2288175144245,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
23,Dec,1851,286.20945312041255,284.50705677463617,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
24,Jan,1852,286.01027532624096,284.2368351114759,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
25,Feb,1852,286.6273822928595,284.80723201961644,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
26,Mar,1852,286.894099061418,285.23159446708047,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
27,Apr,1852,287.73654482439025,286.3532851106372,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
28,May,1852,288.17486300272776,287.2214871615745,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
29,Jun,1852,288.6158890668173,287.9942509286443,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
30,Jul,1852,288.88083156451285,288.34789232548763,K,historical,AWI-ESM-1-1-LR,r1i1p1f1
