,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.61011182754424,285.64229338237095,K,historical,BCC-CSM2-MR,r1i1p1f1
1,Feb,1850,287.7583498601043,285.85690584077827,K,historical,BCC-CSM2-MR,r1i1p1f1
2,Mar,1850,288.165115389637,286.2763788405288,K,historical,BCC-CSM2-MR,r1i1p1f1
3,Apr,1850,289.105592754554,287.70552871601814,K,historical,BCC-CSM2-MR,r1i1p1f1
4,May,1850,289.65791622251646,288.5932494923375,K,historical,BCC-CSM2-MR,r1i1p1f1
5,Jun,1850,289.951142015458,289.1594219179487,K,historical,BCC-CSM2-MR,r1i1p1f1
6,Jul,1850,290.1078931884567,289.4023129646737,K,historical,BCC-CSM2-MR,r1i1p1f1
7,Aug,1850,290.06725818230416,289.28975508939146,K,historical,BCC-CSM2-MR,r1i1p1f1
8,Sep,1850,289.5109670208258,288.62601494762424,K,historical,BCC-CSM2-MR,r1i1p1f1
9,Oct,1850,288.7279473612048,287.5367496645435,K,historical,BCC-CSM2-MR,r1i1p1f1
10,Nov,1850,288.291968878671,286.5835572776612,K,historical,BCC-CSM2-MR,r1i1p1f1
11,Dec,1850,287.65631709055947,285.7265868686273,K,historical,BCC-CSM2-MR,r1i1p1f1
12,Jan,1851,287.7272379229604,285.69065647744816,K,historical,BCC-CSM2-MR,r1i1p1f1
13,Feb,1851,287.73511339875256,285.66435885790787,K,historical,BCC-CSM2-MR,r1i1p1f1
14,Mar,1851,288.51782325345494,286.67744774989995,K,historical,BCC-CSM2-MR,r1i1p1f1
15,Apr,1851,289.11404400505364,287.5846187598723,K,historical,BCC-CSM2-MR,r1i1p1f1
16,May,1851,289.59119404177574,288.557219556323,K,historical,BCC-CSM2-MR,r1i1p1f1
17,Jun,1851,290.02058605792456,289.2388713803121,K,historical,BCC-CSM2-MR,r1i1p1f1
18,Jul,1851,290.1898544040021,289.4739363847476,K,historical,BCC-CSM2-MR,r1i1p1f1
19,Aug,1851,289.93908816882436,289.14784409505364,K,historical,BCC-CSM2-MR,r1i1p1f1
20,Sep,1851,289.66567976515165,288.6901105996117,K,historical,BCC-CSM2-MR,r1i1p1f1
21,Oct,1851,289.0414898674448,287.6919938027718,K,historical,BCC-CSM2-MR,r1i1p1f1
22,Nov,1851,288.3107984519075,286.62655829803805,K,historical,BCC-CSM2-MR,r1i1p1f1
