,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,288.48315564367715,286.2818530317831,K,historical,BCC-ESM1,r2i1p1f1
1,Feb,1850,288.67517431493576,286.5415045556452,K,historical,BCC-ESM1,r2i1p1f1
2,Mar,1850,288.98790887218325,286.9092626392786,K,historical,BCC-ESM1,r2i1p1f1
3,Apr,1850,289.66268377491366,287.9977909875912,K,historical,BCC-ESM1,r2i1p1f1
4,May,1850,290.11578099373173,288.9599390368636,K,historical,BCC-ESM1,r2i1p1f1
5,Jun,1850,290.52142490194666,289.65215874969414,K,historical,BCC-ESM1,r2i1p1f1
6,Jul,1850,290.95629868638594,290.15482702832,K,historical,BCC-ESM1,r2i1p1f1
7,Aug,1850,290.8930727132065,290.00373824634516,K,historical,BCC-ESM1,r2i1p1f1
8,Sep,1850,290.45096408704114,289.43673351476446,K,historical,BCC-ESM1,r2i1p1f1
9,Oct,1850,289.8385719897378,288.4634506052146,K,historical,BCC-ESM1,r2i1p1f1
10,Nov,1850,289.05463187329826,287.2295910878254,K,historical,BCC-ESM1,r2i1p1f1
11,Dec,1850,288.85437662159075,286.6408242140623,K,historical,BCC-ESM1,r2i1p1f1
12,Jan,1851,288.4282371020911,286.09805520590476,K,historical,BCC-ESM1,r2i1p1f1
13,Feb,1851,288.54662612116124,286.138671153438,K,historical,BCC-ESM1,r2i1p1f1
14,Mar,1851,289.05341138715545,286.86236075662845,K,historical,BCC-ESM1,r2i1p1f1
15,Apr,1851,289.677442879972,287.92837427692683,K,historical,BCC-ESM1,r2i1p1f1
16,May,1851,290.1324869649313,288.97421003478564,K,historical,BCC-ESM1,r2i1p1f1
17,Jun,1851,290.4924959475784,289.5968950024879,K,historical,BCC-ESM1,r2i1p1f1
18,Jul,1851,290.707543307517,289.9035992449025,K,historical,BCC-ESM1,r2i1p1f1
19,Aug,1851,290.6630628638863,289.80400747305947,K,historical,BCC-ESM1,r2i1p1f1
20,Sep,1851,290.14848579135213,289.1182247989155,K,historical,BCC-ESM1,r2i1p1f1
21,Oct,1851,289.5635757844389,288.1400438769385,K,historical,BCC-ESM1,r2i1p1f1
22,Nov,1851,288.85351030013373,287.0876021226176,K,historical,BCC-ESM1,r2i1p1f1
23,Dec,1851,288.503797456426,286.3324686465547,K,historical,BCC-ESM1,r2i1p1f1
24,Jan,1852,288.43106718893904,286.1390101892229,K,historical,BCC-ESM1,r2i1p1f1
25,Feb,1852,288.83174947696347,286.38677210568073,K,historical,BCC-ESM1,r2i1p1f1
26,Mar,1852,289.26113537131084,287.2423228656623,K,historical,BCC-ESM1,r2i1p1f1
27,Apr,1852,289.54935813054936,287.9878398706841,K,historical,BCC-ESM1,r2i1p1f1
28,May,1852,290.2010212654367,289.0349364336108,K,historical,BCC-ESM1,r2i1p1f1
29,Jun,1852,290.68338581206905,289.803647735289,K,historical,BCC-ESM1,r2i1p1f1
30,Jul,1852,291.06508008004045,290.2410632671215,K,historical,BCC-ESM1,r2i1p1f1
31,Aug,1852,290.8608033125503,289.98817036360805,K,historical,BCC-ESM1,r2i1p1f1
32,Sep,1852,290.2758447879706,289.24111965212006,K,historical,BCC-ESM1,r2i1p1f1
33,Oct,1852,289.74876503233963,288.42300335974403,K,historical,BCC-ESM1,r2i1p1f1
34,Nov,1852,288.9742036592679,287.12233361089267,K,historical,BCC-ESM1,r2i1p1f1
35,Dec,1852,288.50132719859175,286.30721177811245,K,historical,BCC-ESM1,r2i1p1f1
36,Jan,1853,288.1739065615023,285.8962637946752,K,historical,BCC-ESM1,r2i1p1f1
37,Feb,1853,288.75419267689836,286.5487038329176,K,historical,BCC-ESM1,r2i1p1f1
38,Mar,1853,289.0046045920025,286.8969922309151,K,historical,BCC-ESM1,r2i1p1f1
39,Apr,1853,289.65435764673714,287.9723803774894,K,historical,BCC-ESM1,r2i1p1f1
40,May,1853,290.20492730585596,288.97631526110086,K,historical,BCC-ESM1,r2i1p1f1
41,Jun,1853,290.60160531553646,289.6807853646256,K,historical,BCC-ESM1,r2i1p1f1
42,Jul,1853,290.8849071918367,290.0591977985794,K,historical,BCC-ESM1,r2i1p1f1
43,Aug,1853,290.7206269994383,289.84039782470495,K,historical,BCC-ESM1,r2i1p1f1
44,Sep,1853,290.06363017847855,289.0209136449619,K,historical,BCC-ESM1,r2i1p1f1
45,Oct,1853,289.58600260303416,288.16389188077926,K,historical,BCC-ESM1,r2i1p1f1
46,Nov,1853,288.917293134521,287.1031179971727,K,historical,BCC-ESM1,r2i1p1f1
47,Dec,1853,288.371742959152,286.35619664221497,K,historical,BCC-ESM1,r2i1p1f1
48,Jan,1854,288.1502902815236,285.8661963197372,K,historical,BCC-ESM1,r2i1p1f1
49,Feb,1854,288.4654373058883,286.1883653097,K,historical,BCC-ESM1,r2i1p1f1
50,Mar,1854,288.90954125580043,286.7230723422921,K,historical,BCC-ESM1,r2i1p1f1
51,Apr,1854,289.68766166089074,288.0144826263963,K,historical,BCC-ESM1,r2i1p1f1
52,May,1854,290.1628046783182,289.0243415687857,K,historical,BCC-ESM1,r2i1p1f1
53,Jun,1854,290.5037233065527,289.644710363721,K,historical,BCC-ESM1,r2i1p1f1
54,Jul,1854,290.78878638027646,290.01185331347256,K,historical,BCC-ESM1,r2i1p1f1
55,Aug,1854,290.83683003269584,289.96153736929307,K,historical,BCC-ESM1,r2i1p1f1
56,Sep,1854,290.2547017470165,289.24733029975465,K,historical,BCC-ESM1,r2i1p1f1
57,Oct,1854,289.67873861802366,288.29204668748883,K,historical,BCC-ESM1,r2i1p1f1
58,Nov,1854,289.14470463091686,287.475012399837,K,historical,BCC-ESM1,r2i1p1f1
59,Dec,1854,288.70180423238133,286.7557800524738,K,historical,BCC-ESM1,r2i1p1f1
60,Jan,1855,288.3435093620547,286.19487443229235,K,historical,BCC-ESM1,r2i1p1f1
61,Feb,1855,288.730655477748,286.54253749736984,K,historical,BCC-ESM1,r2i1p1f1
62,Mar,1855,289.25127558549445,287.2289628268185,K,historical,BCC-ESM1,r2i1p1f1
63,Apr,1855,289.63329639000574,287.96050682837836,K,historical,BCC-ESM1,r2i1p1f1
64,May,1855,290.1892090165718,288.9865177853921,K,historical,BCC-ESM1,r2i1p1f1
65,Jun,1855,290.54548475772526,289.6357008541514,K,historical,BCC-ESM1,r2i1p1f1
66,Jul,1855,290.82657842858674,289.99622217399417,K,historical,BCC-ESM1,r2i1p1f1
67,Aug,1855,290.7812070759057,289.92371687858036,K,historical,BCC-ESM1,r2i1p1f1
68,Sep,1855,290.3320234792284,289.2878471832196,K,historical,BCC-ESM1,r2i1p1f1
69,Oct,1855,289.756854680956,288.33771767230974,K,historical,BCC-ESM1,r2i1p1f1
70,Nov,1855,289.09077841374005,287.25413620229114,K,historical,BCC-ESM1,r2i1p1f1
71,Dec,1855,288.6595083317119,286.4524508494223,K,historical,BCC-ESM1,r2i1p1f1
72,Jan,1856,288.1403540526379,285.9923944137845,K,historical,BCC-ESM1,r2i1p1f1
73,Feb,1856,288.71325332061474,286.3964660267017,K,historical,BCC-ESM1,r2i1p1f1
74,Mar,1856,289.0387852467144,286.9093756094822,K,historical,BCC-ESM1,r2i1p1f1
75,Apr,1856,289.8023907210462,288.1210480755061,K,historical,BCC-ESM1,r2i1p1f1
76,May,1856,290.39026232509815,289.17906710939474,K,historical,BCC-ESM1,r2i1p1f1
77,Jun,1856,290.8038729746532,289.8982996819397,K,historical,BCC-ESM1,r2i1p1f1
78,Jul,1856,290.9222718531019,290.10262132112547,K,historical,BCC-ESM1,r2i1p1f1
79,Aug,1856,290.71807086978055,289.86310308329877,K,historical,BCC-ESM1,r2i1p1f1
80,Sep,1856,290.1485377958088,289.13901319479817,K,historical,BCC-ESM1,r2i1p1f1
81,Oct,1856,289.70738728223864,288.2929130816313,K,historical,BCC-ESM1,r2i1p1f1
82,Nov,1856,289.03219423242933,287.2034925906704,K,historical,BCC-ESM1,r2i1p1f1
83,Dec,1856,288.6152062100946,286.36349264919994,K,historical,BCC-ESM1,r2i1p1f1
84,Jan,1857,288.31076265833707,286.04986842789447,K,historical,BCC-ESM1,r2i1p1f1
85,Feb,1857,288.716442925864,286.56870077497524,K,historical,BCC-ESM1,r2i1p1f1
86,Mar,1857,289.11115937613613,287.05645259265344,K,historical,BCC-ESM1,r2i1p1f1
87,Apr,1857,289.5771613574234,287.8895529643952,K,historical,BCC-ESM1,r2i1p1f1
88,May,1857,290.142867370417,288.90164234209385,K,historical,BCC-ESM1,r2i1p1f1
89,Jun,1857,290.5447134779165,289.61364336059364,K,historical,BCC-ESM1,r2i1p1f1
90,Jul,1857,290.85926144194235,290.0425259405241,K,historical,BCC-ESM1,r2i1p1f1
91,Aug,1857,290.76883916393007,289.8818944403775,K,historical,BCC-ESM1,r2i1p1f1
92,Sep,1857,290.2397892068028,289.1947934753297,K,historical,BCC-ESM1,r2i1p1f1
93,Oct,1857,289.7121922356224,288.1862924751285,K,historical,BCC-ESM1,r2i1p1f1
94,Nov,1857,289.1057961216776,287.1726314094218,K,historical,BCC-ESM1,r2i1p1f1
95,Dec,1857,288.6489917443662,286.39862119758294,K,historical,BCC-ESM1,r2i1p1f1
96,Jan,1858,288.3270617197183,286.0500891050512,K,historical,BCC-ESM1,r2i1p1f1
97,Feb,1858,288.6700595743364,286.20766602227735,K,historical,BCC-ESM1,r2i1p1f1
98,Mar,1858,289.0934443557363,286.8526354155545,K,historical,BCC-ESM1,r2i1p1f1
99,Apr,1858,289.6096792682572,287.95899272132414,K,historical,BCC-ESM1,r2i1p1f1
100,May,1858,290.10276027785613,288.96669566395894,K,historical,BCC-ESM1,r2i1p1f1
101,Jun,1858,290.46448161887076,289.56479186848765,K,historical,BCC-ESM1,r2i1p1f1
102,Jul,1858,290.82747416817057,290.0727702180722,K,historical,BCC-ESM1,r2i1p1f1
103,Aug,1858,290.6517008042011,289.8071541369869,K,historical,BCC-ESM1,r2i1p1f1
104,Sep,1858,290.01662081745724,289.00495025209705,K,historical,BCC-ESM1,r2i1p1f1
105,Oct,1858,289.52414710482464,288.1497355168867,K,historical,BCC-ESM1,r2i1p1f1
106,Nov,1858,289.07641031017835,287.24026039227914,K,historical,BCC-ESM1,r2i1p1f1
107,Dec,1858,288.5378453354602,286.38181108330605,K,historical,BCC-ESM1,r2i1p1f1
108,Jan,1859,288.5235618656281,286.2083683514086,K,historical,BCC-ESM1,r2i1p1f1
109,Feb,1859,288.7759262256639,286.34083531049663,K,historical,BCC-ESM1,r2i1p1f1
110,Mar,1859,289.30393909014396,287.1524269655207,K,historical,BCC-ESM1,r2i1p1f1
111,Apr,1859,289.646688011455,288.0007209533601,K,historical,BCC-ESM1,r2i1p1f1
112,May,1859,290.1687461671994,288.9860012194114,K,historical,BCC-ESM1,r2i1p1f1
113,Jun,1859,290.5459720099634,289.71038436670807,K,historical,BCC-ESM1,r2i1p1f1
114,Jul,1859,290.87000788249867,290.1103449748073,K,historical,BCC-ESM1,r2i1p1f1
115,Aug,1859,290.73340280616674,289.87206688850137,K,historical,BCC-ESM1,r2i1p1f1
116,Sep,1859,290.38101853209014,289.3376965591393,K,historical,BCC-ESM1,r2i1p1f1
117,Oct,1859,289.5049115413986,288.1044911786324,K,historical,BCC-ESM1,r2i1p1f1
