,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.7312366412387,285.72418352801776,K,historical,CAMS-CSM1-0,r2i1p1f1
1,Feb,1850,288.1085101669844,285.95786624422084,K,historical,CAMS-CSM1-0,r2i1p1f1
2,Mar,1850,288.5197108258487,286.6315830664672,K,historical,CAMS-CSM1-0,r2i1p1f1
3,Apr,1850,289.098849776329,287.672886171634,K,historical,CAMS-CSM1-0,r2i1p1f1
4,May,1850,289.3112639242551,288.3876855802883,K,historical,CAMS-CSM1-0,r2i1p1f1
5,Jun,1850,289.6028180617616,288.90165051506966,K,historical,CAMS-CSM1-0,r2i1p1f1
6,Jul,1850,289.49711232242464,288.8351986788936,K,historical,CAMS-CSM1-0,r2i1p1f1
7,Aug,1850,289.1426386354871,288.40851041411224,K,historical,CAMS-CSM1-0,r2i1p1f1
8,Sep,1850,288.7279408818511,287.7997130602532,K,historical,CAMS-CSM1-0,r2i1p1f1
9,Oct,1850,288.32910450459315,286.92521673716084,K,historical,CAMS-CSM1-0,r2i1p1f1
10,Nov,1850,287.75312741305953,286.078995088228,K,historical,CAMS-CSM1-0,r2i1p1f1
11,Dec,1850,287.54314938468787,285.5370905797405,K,historical,CAMS-CSM1-0,r2i1p1f1
12,Jan,1851,287.56938062948143,285.4588159163133,K,historical,CAMS-CSM1-0,r2i1p1f1
13,Feb,1851,287.90122423444217,285.73376947585353,K,historical,CAMS-CSM1-0,r2i1p1f1
14,Mar,1851,288.4251646884614,286.48122551508857,K,historical,CAMS-CSM1-0,r2i1p1f1
15,Apr,1851,289.14302983007155,287.75587487739443,K,historical,CAMS-CSM1-0,r2i1p1f1
16,May,1851,289.531606819872,288.5783755800167,K,historical,CAMS-CSM1-0,r2i1p1f1
17,Jun,1851,289.6869356508202,288.98044958521575,K,historical,CAMS-CSM1-0,r2i1p1f1
18,Jul,1851,289.5577108432413,288.89994558836634,K,historical,CAMS-CSM1-0,r2i1p1f1
19,Aug,1851,289.2734729628596,288.5396821701958,K,historical,CAMS-CSM1-0,r2i1p1f1
20,Sep,1851,288.70626223824365,287.7659793306243,K,historical,CAMS-CSM1-0,r2i1p1f1
21,Oct,1851,288.33281759980724,287.02137748057675,K,historical,CAMS-CSM1-0,r2i1p1f1
