,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.6427780420368,285.5360331181298,K,historical,CESM2-FV2,r2i1p1f1
1,Feb,1850,287.5738225597921,285.6395822464021,K,historical,CESM2-FV2,r2i1p1f1
2,Mar,1850,288.1262739954497,286.2732408618424,K,historical,CESM2-FV2,r2i1p1f1
3,Apr,1850,288.5913392755057,287.16025989063405,K,historical,CESM2-FV2,r2i1p1f1
4,May,1850,289.1207559389396,288.0889605314243,K,historical,CESM2-FV2,r2i1p1f1
5,Jun,1850,289.45328090869236,288.69299122045237,K,historical,CESM2-FV2,r2i1p1f1
6,Jul,1850,289.3598748593733,288.7242452226807,K,historical,CESM2-FV2,r2i1p1f1
7,Aug,1850,289.41528386988347,288.68650581221056,K,historical,CESM2-FV2,r2i1p1f1
8,Sep,1850,288.9713164307963,288.06432205308147,K,historical,CESM2-FV2,r2i1p1f1
9,Oct,1850,288.6123463477473,287.4108420926768,K,historical,CESM2-FV2,r2i1p1f1
10,Nov,1850,288.06849620496473,286.5044887533696,K,historical,CESM2-FV2,r2i1p1f1
11,Dec,1850,287.72607510011807,285.78411779497213,K,historical,CESM2-FV2,r2i1p1f1
12,Jan,1851,287.5271849379527,285.4402660475339,K,historical,CESM2-FV2,r2i1p1f1
13,Feb,1851,287.6413192685014,285.61487186078625,K,historical,CESM2-FV2,r2i1p1f1
14,Mar,1851,288.02520595206653,286.18130607176596,K,historical,CESM2-FV2,r2i1p1f1
15,Apr,1851,288.60240815421423,287.07207251645474,K,historical,CESM2-FV2,r2i1p1f1
16,May,1851,289.0218178087319,287.96411876621625,K,historical,CESM2-FV2,r2i1p1f1
17,Jun,1851,289.25157137743844,288.4965057694661,K,historical,CESM2-FV2,r2i1p1f1
18,Jul,1851,289.40169153912564,288.7285095736291,K,historical,CESM2-FV2,r2i1p1f1
19,Aug,1851,289.38881958021136,288.66820074124774,K,historical,CESM2-FV2,r2i1p1f1
20,Sep,1851,288.98924210461666,288.1182675879538,K,historical,CESM2-FV2,r2i1p1f1
21,Oct,1851,288.5407329841412,287.2452810027677,K,historical,CESM2-FV2,r2i1p1f1
22,Nov,1851,288.12424606417795,286.36408321401956,K,historical,CESM2-FV2,r2i1p1f1
23,Dec,1851,287.6254027329427,285.672201273942,K,historical,CESM2-FV2,r2i1p1f1
24,Jan,1852,287.6719115296827,285.5037028036521,K,historical,CESM2-FV2,r2i1p1f1
25,Feb,1852,287.7074029228348,285.5609196238206,K,historical,CESM2-FV2,r2i1p1f1
26,Mar,1852,288.29327236397955,286.40480103418616,K,historical,CESM2-FV2,r2i1p1f1
27,Apr,1852,288.6556729434454,287.2032565295261,K,historical,CESM2-FV2,r2i1p1f1
28,May,1852,289.0307356423059,287.99528851312124,K,historical,CESM2-FV2,r2i1p1f1
29,Jun,1852,289.35755234643096,288.6072955984066,K,historical,CESM2-FV2,r2i1p1f1
30,Jul,1852,289.39730575426967,288.7115122693787,K,historical,CESM2-FV2,r2i1p1f1
31,Aug,1852,289.40340894813767,288.7027226537655,K,historical,CESM2-FV2,r2i1p1f1
32,Sep,1852,289.03182974594483,288.126750888566,K,historical,CESM2-FV2,r2i1p1f1
33,Oct,1852,288.4619783135714,287.2410702704273,K,historical,CESM2-FV2,r2i1p1f1
34,Nov,1852,287.9729384558227,286.37865774944515,K,historical,CESM2-FV2,r2i1p1f1
35,Dec,1852,287.49229036618675,285.6655193589762,K,historical,CESM2-FV2,r2i1p1f1
36,Jan,1853,287.25766760134434,285.2663238205986,K,historical,CESM2-FV2,r2i1p1f1
37,Feb,1853,287.61142443576995,285.61081588014423,K,historical,CESM2-FV2,r2i1p1f1
38,Mar,1853,288.07462029253855,286.14638644095254,K,historical,CESM2-FV2,r2i1p1f1
39,Apr,1853,288.6365604016009,287.1008298610909,K,historical,CESM2-FV2,r2i1p1f1
40,May,1853,289.11239787633633,288.05902553439455,K,historical,CESM2-FV2,r2i1p1f1
41,Jun,1853,289.2008143867172,288.460675657079,K,historical,CESM2-FV2,r2i1p1f1
42,Jul,1853,289.4420500003563,288.74592882376595,K,historical,CESM2-FV2,r2i1p1f1
43,Aug,1853,289.29120013633747,288.6153008043156,K,historical,CESM2-FV2,r2i1p1f1
44,Sep,1853,288.96913998192935,288.1077222381303,K,historical,CESM2-FV2,r2i1p1f1
45,Oct,1853,288.33109257888526,287.15761950993544,K,historical,CESM2-FV2,r2i1p1f1
