,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.90524493827996,285.9085204720769,K,historical,CESM2-WACCM-FV2,r3i1p1f1
1,Feb,1850,287.85848580394156,285.78781387422674,K,historical,CESM2-WACCM-FV2,r3i1p1f1
2,Mar,1850,288.2610610849516,286.3410234795499,K,historical,CESM2-WACCM-FV2,r3i1p1f1
3,Apr,1850,288.7893862640519,287.16331270789914,K,historical,CESM2-WACCM-FV2,r3i1p1f1
4,May,1850,289.22600224747464,288.1915044761549,K,historical,CESM2-WACCM-FV2,r3i1p1f1
5,Jun,1850,289.4617077286705,288.6975388403864,K,historical,CESM2-WACCM-FV2,r3i1p1f1
6,Jul,1850,289.7194552468619,288.9970717749836,K,historical,CESM2-WACCM-FV2,r3i1p1f1
7,Aug,1850,289.4649811838665,288.7428956141967,K,historical,CESM2-WACCM-FV2,r3i1p1f1
8,Sep,1850,289.3326043547319,288.4010186126182,K,historical,CESM2-WACCM-FV2,r3i1p1f1
9,Oct,1850,288.7155965603868,287.5299128805694,K,historical,CESM2-WACCM-FV2,r3i1p1f1
10,Nov,1850,288.11603639597996,286.5509059720519,K,historical,CESM2-WACCM-FV2,r3i1p1f1
11,Dec,1850,287.7037005233759,285.7834213401773,K,historical,CESM2-WACCM-FV2,r3i1p1f1
12,Jan,1851,287.6092637705387,285.4676289694142,K,historical,CESM2-WACCM-FV2,r3i1p1f1
13,Feb,1851,287.77157798019323,285.6830394110909,K,historical,CESM2-WACCM-FV2,r3i1p1f1
14,Mar,1851,288.23051900349714,286.3279011126327,K,historical,CESM2-WACCM-FV2,r3i1p1f1
15,Apr,1851,288.8528235089054,287.30825303508004,K,historical,CESM2-WACCM-FV2,r3i1p1f1
16,May,1851,289.37981797782237,288.32017479884473,K,historical,CESM2-WACCM-FV2,r3i1p1f1
17,Jun,1851,289.623872251854,288.8295848060794,K,historical,CESM2-WACCM-FV2,r3i1p1f1
18,Jul,1851,289.73521499618477,289.0365034140422,K,historical,CESM2-WACCM-FV2,r3i1p1f1
19,Aug,1851,289.5746225805189,288.88615086478984,K,historical,CESM2-WACCM-FV2,r3i1p1f1
20,Sep,1851,289.2679061645546,288.36106379712817,K,historical,CESM2-WACCM-FV2,r3i1p1f1
21,Oct,1851,288.7927243916426,287.6055136468474,K,historical,CESM2-WACCM-FV2,r3i1p1f1
22,Nov,1851,288.21997022670615,286.5020061112055,K,historical,CESM2-WACCM-FV2,r3i1p1f1
23,Dec,1851,287.71703630823333,285.69192083128064,K,historical,CESM2-WACCM-FV2,r3i1p1f1
24,Jan,1852,287.3806271570221,285.37969831028596,K,historical,CESM2-WACCM-FV2,r3i1p1f1
25,Feb,1852,287.8694959960102,285.7096337443327,K,historical,CESM2-WACCM-FV2,r3i1p1f1
26,Mar,1852,288.3616200551624,286.47980616777716,K,historical,CESM2-WACCM-FV2,r3i1p1f1
27,Apr,1852,289.0583613245241,287.5606772083305,K,historical,CESM2-WACCM-FV2,r3i1p1f1
28,May,1852,289.4447650826137,288.38872514153525,K,historical,CESM2-WACCM-FV2,r3i1p1f1
29,Jun,1852,289.722055138792,288.9782565447164,K,historical,CESM2-WACCM-FV2,r3i1p1f1
30,Jul,1852,289.76251526937153,289.0915640580095,K,historical,CESM2-WACCM-FV2,r3i1p1f1
31,Aug,1852,289.56166121557914,288.85926382617424,K,historical,CESM2-WACCM-FV2,r3i1p1f1
32,Sep,1852,289.1398079231487,288.2852937482503,K,historical,CESM2-WACCM-FV2,r3i1p1f1
33,Oct,1852,288.6494000975649,287.4469263109362,K,historical,CESM2-WACCM-FV2,r3i1p1f1
34,Nov,1852,288.19257719200954,286.63028349950173,K,historical,CESM2-WACCM-FV2,r3i1p1f1
35,Dec,1852,287.65091124310607,285.8022404450426,K,historical,CESM2-WACCM-FV2,r3i1p1f1
36,Jan,1853,287.4569576482738,285.37244199134733,K,historical,CESM2-WACCM-FV2,r3i1p1f1
37,Feb,1853,287.7527244633773,285.73143430086253,K,historical,CESM2-WACCM-FV2,r3i1p1f1
38,Mar,1853,288.03558410281244,286.06338366338184,K,historical,CESM2-WACCM-FV2,r3i1p1f1
39,Apr,1853,288.72180657465253,287.1444117294028,K,historical,CESM2-WACCM-FV2,r3i1p1f1
40,May,1853,289.06514860138157,288.0317652952653,K,historical,CESM2-WACCM-FV2,r3i1p1f1
41,Jun,1853,289.324318842167,288.5818623817322,K,historical,CESM2-WACCM-FV2,r3i1p1f1
42,Jul,1853,289.5384546902881,288.8660429043729,K,historical,CESM2-WACCM-FV2,r3i1p1f1
43,Aug,1853,289.42385530767314,288.7306087721012,K,historical,CESM2-WACCM-FV2,r3i1p1f1
44,Sep,1853,289.0837295244705,288.2297826416991,K,historical,CESM2-WACCM-FV2,r3i1p1f1
45,Oct,1853,288.6431026466375,287.45579672377715,K,historical,CESM2-WACCM-FV2,r3i1p1f1
46,Nov,1853,288.0202326154685,286.3495824546629,K,historical,CESM2-WACCM-FV2,r3i1p1f1
47,Dec,1853,287.72616387713595,285.80150632033144,K,historical,CESM2-WACCM-FV2,r3i1p1f1
48,Jan,1854,287.5351263226597,285.64089887241096,K,historical,CESM2-WACCM-FV2,r3i1p1f1
49,Feb,1854,287.45958606293004,285.4219674230072,K,historical,CESM2-WACCM-FV2,r3i1p1f1
50,Mar,1854,288.1500967243112,286.2309787493875,K,historical,CESM2-WACCM-FV2,r3i1p1f1
51,Apr,1854,288.6388244813253,287.1394618517123,K,historical,CESM2-WACCM-FV2,r3i1p1f1
52,May,1854,289.114033385758,288.09653403485936,K,historical,CESM2-WACCM-FV2,r3i1p1f1
53,Jun,1854,289.358452463805,288.61755398278325,K,historical,CESM2-WACCM-FV2,r3i1p1f1
54,Jul,1854,289.5006748422733,288.8347867525919,K,historical,CESM2-WACCM-FV2,r3i1p1f1
55,Aug,1854,289.4345160727239,288.73910971765963,K,historical,CESM2-WACCM-FV2,r3i1p1f1
56,Sep,1854,289.13737356041077,288.2378696268651,K,historical,CESM2-WACCM-FV2,r3i1p1f1
57,Oct,1854,288.69968271913893,287.49143031981254,K,historical,CESM2-WACCM-FV2,r3i1p1f1
58,Nov,1854,288.2585043223961,286.68543442923703,K,historical,CESM2-WACCM-FV2,r3i1p1f1
59,Dec,1854,287.8728880396856,286.00183579736796,K,historical,CESM2-WACCM-FV2,r3i1p1f1
60,Jan,1855,287.65456124863516,285.61969173172696,K,historical,CESM2-WACCM-FV2,r3i1p1f1
61,Feb,1855,287.5991486867367,285.5716889370281,K,historical,CESM2-WACCM-FV2,r3i1p1f1
62,Mar,1855,288.1381178344436,286.2992187823018,K,historical,CESM2-WACCM-FV2,r3i1p1f1
63,Apr,1855,288.7582207146687,287.2371597127944,K,historical,CESM2-WACCM-FV2,r3i1p1f1
64,May,1855,289.1297885660336,288.05444692511486,K,historical,CESM2-WACCM-FV2,r3i1p1f1
65,Jun,1855,289.42917501406697,288.675111153705,K,historical,CESM2-WACCM-FV2,r3i1p1f1
66,Jul,1855,289.6713539763472,288.99951124280193,K,historical,CESM2-WACCM-FV2,r3i1p1f1
67,Aug,1855,289.4784758370374,288.7784262050407,K,historical,CESM2-WACCM-FV2,r3i1p1f1
68,Sep,1855,289.15822991281635,288.2751767734878,K,historical,CESM2-WACCM-FV2,r3i1p1f1
69,Oct,1855,288.61978582253965,287.4355900415218,K,historical,CESM2-WACCM-FV2,r3i1p1f1
70,Nov,1855,288.00048773625514,286.4783686484597,K,historical,CESM2-WACCM-FV2,r3i1p1f1
71,Dec,1855,287.73023089736694,285.8497964761326,K,historical,CESM2-WACCM-FV2,r3i1p1f1
72,Jan,1856,287.52972061457183,285.2682757360919,K,historical,CESM2-WACCM-FV2,r3i1p1f1
73,Feb,1856,287.73623240932017,285.5853132114071,K,historical,CESM2-WACCM-FV2,r3i1p1f1
74,Mar,1856,288.23270174946094,286.2183427468039,K,historical,CESM2-WACCM-FV2,r3i1p1f1
75,Apr,1856,288.7709412682054,287.20354581572565,K,historical,CESM2-WACCM-FV2,r3i1p1f1
