,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.9478209069623,285.2759428911861,K,historical,CESM2-WACCM,r2i1p1f1
1,Feb,1850,287.0683622027787,285.2488050626562,K,historical,CESM2-WACCM,r2i1p1f1
2,Mar,1850,287.5273617363397,285.7386072833642,K,historical,CESM2-WACCM,r2i1p1f1
3,Apr,1850,288.3281951415849,286.8307584135079,K,historical,CESM2-WACCM,r2i1p1f1
4,May,1850,288.9491671482316,287.9910242012956,K,historical,CESM2-WACCM,r2i1p1f1
5,Jun,1850,289.28210773709014,288.5879821699079,K,historical,CESM2-WACCM,r2i1p1f1
6,Jul,1850,289.38875794075244,288.780573274031,K,historical,CESM2-WACCM,r2i1p1f1
7,Aug,1850,289.33699072839715,288.6756742761438,K,historical,CESM2-WACCM,r2i1p1f1
8,Sep,1850,288.86409752673615,288.0686300963991,K,historical,CESM2-WACCM,r2i1p1f1
9,Oct,1850,288.3464177375363,287.273532598222,K,historical,CESM2-WACCM,r2i1p1f1
10,Nov,1850,287.6235090891148,286.08742966720433,K,historical,CESM2-WACCM,r2i1p1f1
11,Dec,1850,287.091794940155,285.47831766551803,K,historical,CESM2-WACCM,r2i1p1f1
12,Jan,1851,286.82913144094243,285.1176733451301,K,historical,CESM2-WACCM,r2i1p1f1
13,Feb,1851,287.12919637587794,285.2235817607364,K,historical,CESM2-WACCM,r2i1p1f1
14,Mar,1851,287.36320577314746,285.673362892399,K,historical,CESM2-WACCM,r2i1p1f1
15,Apr,1851,288.21514062829004,286.8315410149519,K,historical,CESM2-WACCM,r2i1p1f1
16,May,1851,288.73421640677253,287.7734794812361,K,historical,CESM2-WACCM,r2i1p1f1
17,Jun,1851,289.17379676523814,288.48337243409026,K,historical,CESM2-WACCM,r2i1p1f1
18,Jul,1851,289.2558567984761,288.6487997766435,K,historical,CESM2-WACCM,r2i1p1f1
19,Aug,1851,289.1830129483375,288.53766431580226,K,historical,CESM2-WACCM,r2i1p1f1
20,Sep,1851,288.9288122057143,288.12532941870535,K,historical,CESM2-WACCM,r2i1p1f1
21,Oct,1851,288.16507750470925,287.0649780424792,K,historical,CESM2-WACCM,r2i1p1f1
22,Nov,1851,287.7067893395882,286.33395722325025,K,historical,CESM2-WACCM,r2i1p1f1
23,Dec,1851,287.28401555532463,285.6518531234501,K,historical,CESM2-WACCM,r2i1p1f1
24,Jan,1852,287.03914339177396,285.31329154439413,K,historical,CESM2-WACCM,r2i1p1f1
25,Feb,1852,287.0136429576998,285.3434939977784,K,historical,CESM2-WACCM,r2i1p1f1
26,Mar,1852,287.5558505396843,285.86410631732144,K,historical,CESM2-WACCM,r2i1p1f1
27,Apr,1852,288.3222137626329,286.902669584363,K,historical,CESM2-WACCM,r2i1p1f1
28,May,1852,288.9321595426788,287.9949983374738,K,historical,CESM2-WACCM,r2i1p1f1
29,Jun,1852,289.2345287133496,288.5569116069579,K,historical,CESM2-WACCM,r2i1p1f1
