,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.9707826635674,285.2828133318295,K,historical,CESM2,r2i1p1f1
1,Feb,1850,287.2297210123634,285.43404388239287,K,historical,CESM2,r2i1p1f1
2,Mar,1850,287.69225388107657,285.9820661036026,K,historical,CESM2,r2i1p1f1
3,Apr,1850,288.3729910130519,286.9363859468078,K,historical,CESM2,r2i1p1f1
4,May,1850,289.185400727985,288.2420263640873,K,historical,CESM2,r2i1p1f1
5,Jun,1850,289.4267473036913,288.74754218630477,K,historical,CESM2,r2i1p1f1
6,Jul,1850,289.48512133260823,288.8642060929979,K,historical,CESM2,r2i1p1f1
7,Aug,1850,289.345856447714,288.6846776871931,K,historical,CESM2,r2i1p1f1
8,Sep,1850,288.9753388365024,288.1574835998091,K,historical,CESM2,r2i1p1f1
9,Oct,1850,288.42356672848064,287.3117933069695,K,historical,CESM2,r2i1p1f1
10,Nov,1850,287.94293921305825,286.5029555031409,K,historical,CESM2,r2i1p1f1
11,Dec,1850,287.3165273346674,285.65782283938296,K,historical,CESM2,r2i1p1f1
12,Jan,1851,287.2091153272936,285.4218862639218,K,historical,CESM2,r2i1p1f1
13,Feb,1851,287.29870668607856,285.507815978239,K,historical,CESM2,r2i1p1f1
14,Mar,1851,287.86148242014787,286.2946005925233,K,historical,CESM2,r2i1p1f1
15,Apr,1851,288.53445683314675,287.1523578934061,K,historical,CESM2,r2i1p1f1
16,May,1851,289.1670152920524,288.25821086554924,K,historical,CESM2,r2i1p1f1
17,Jun,1851,289.5151540480205,288.81113949117963,K,historical,CESM2,r2i1p1f1
18,Jul,1851,289.6533860560831,289.01410639568644,K,historical,CESM2,r2i1p1f1
19,Aug,1851,289.55917482091485,288.9110669043783,K,historical,CESM2,r2i1p1f1
20,Sep,1851,289.06818970986217,288.2952656558401,K,historical,CESM2,r2i1p1f1
21,Oct,1851,288.4961841185923,287.43875150671295,K,historical,CESM2,r2i1p1f1
22,Nov,1851,287.8127698803437,286.54480562065856,K,historical,CESM2,r2i1p1f1
23,Dec,1851,287.4388765880364,285.9233257963151,K,historical,CESM2,r2i1p1f1
24,Jan,1852,287.14940482354564,285.3829772767149,K,historical,CESM2,r2i1p1f1
25,Feb,1852,287.43610666939134,285.7596388992732,K,historical,CESM2,r2i1p1f1
26,Mar,1852,287.8452555779548,286.1681597388934,K,historical,CESM2,r2i1p1f1
27,Apr,1852,288.69024325286364,287.33459247576286,K,historical,CESM2,r2i1p1f1
28,May,1852,289.27155463233845,288.266096338606,K,historical,CESM2,r2i1p1f1
29,Jun,1852,289.44364541374154,288.7467721174968,K,historical,CESM2,r2i1p1f1
30,Jul,1852,289.7979337859507,289.16851175040955,K,historical,CESM2,r2i1p1f1
31,Aug,1852,289.40266143844144,288.7491397397663,K,historical,CESM2,r2i1p1f1
32,Sep,1852,289.0328362360263,288.2317272477818,K,historical,CESM2,r2i1p1f1
33,Oct,1852,288.5126621893888,287.4627837712878,K,historical,CESM2,r2i1p1f1
34,Nov,1852,287.9416129259961,286.57670963143477,K,historical,CESM2,r2i1p1f1
35,Dec,1852,287.46608469301617,285.9042477729117,K,historical,CESM2,r2i1p1f1
36,Jan,1853,287.3307741609195,285.474995545404,K,historical,CESM2,r2i1p1f1
