,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.9417435551467,285.0965324441616,K,historical,CIESM,r3i1p1f1
1,Feb,1850,287.2107854283531,285.3605189692165,K,historical,CIESM,r3i1p1f1
2,Mar,1850,287.8671072989169,286.07933184359547,K,historical,CIESM,r3i1p1f1
3,Apr,1850,288.51830572465104,287.097110117109,K,historical,CIESM,r3i1p1f1
4,May,1850,289.1986089704307,288.18279899355696,K,historical,CIESM,r3i1p1f1
5,Jun,1850,289.7120656275308,289.0820038326007,K,historical,CIESM,r3i1p1f1
6,Jul,1850,289.99709369558263,289.4421172524893,K,historical,CIESM,r3i1p1f1
7,Aug,1850,289.83887881752577,289.2823612130893,K,historical,CIESM,r3i1p1f1
8,Sep,1850,289.2529422656934,288.5663608334465,K,historical,CIESM,r3i1p1f1
9,Oct,1850,288.4806261432319,287.5015044197672,K,historical,CIESM,r3i1p1f1
10,Nov,1850,287.7534935626639,286.42515323808635,K,historical,CIESM,r3i1p1f1
11,Dec,1850,287.1987343530433,285.56225832599756,K,historical,CIESM,r3i1p1f1
12,Jan,1851,287.0882107585663,285.3583406067722,K,historical,CIESM,r3i1p1f1
13,Feb,1851,287.216057213898,285.46403207217384,K,historical,CIESM,r3i1p1f1
14,Mar,1851,288.0219307176312,286.3683590298166,K,historical,CIESM,r3i1p1f1
15,Apr,1851,288.7338164057585,287.39054871957126,K,historical,CIESM,r3i1p1f1
16,May,1851,289.3091670794233,288.37091516171154,K,historical,CIESM,r3i1p1f1
17,Jun,1851,289.9134892929111,289.2917333063232,K,historical,CIESM,r3i1p1f1
18,Jul,1851,290.01559542166376,289.5020702090613,K,historical,CIESM,r3i1p1f1
19,Aug,1851,289.8655663628974,289.3473021407015,K,historical,CIESM,r3i1p1f1
20,Sep,1851,289.204303309515,288.58293153488984,K,historical,CIESM,r3i1p1f1
21,Oct,1851,288.51111873616424,287.6097147389656,K,historical,CIESM,r3i1p1f1
22,Nov,1851,287.76411902248856,286.5526821970491,K,historical,CIESM,r3i1p1f1
23,Dec,1851,287.2220334807272,285.7912533034975,K,historical,CIESM,r3i1p1f1
24,Jan,1852,287.30408194801913,285.5164113980717,K,historical,CIESM,r3i1p1f1
25,Feb,1852,287.6069168917276,285.870150367434,K,historical,CIESM,r3i1p1f1
26,Mar,1852,288.1304088269183,286.4926287968843,K,historical,CIESM,r3i1p1f1
27,Apr,1852,288.9223717683856,287.56840991236453,K,historical,CIESM,r3i1p1f1
28,May,1852,289.5245176229275,288.5799259691579,K,historical,CIESM,r3i1p1f1
29,Jun,1852,290.12393534018634,289.51927690862595,K,historical,CIESM,r3i1p1f1
30,Jul,1852,290.18601308350657,289.67569862681313,K,historical,CIESM,r3i1p1f1
31,Aug,1852,289.9824657713727,289.4789544618542,K,historical,CIESM,r3i1p1f1
32,Sep,1852,289.4260680576199,288.78125308964843,K,historical,CIESM,r3i1p1f1
33,Oct,1852,288.4920714700447,287.61882649869307,K,historical,CIESM,r3i1p1f1
34,Nov,1852,287.8877970246468,286.73129998917267,K,historical,CIESM,r3i1p1f1
35,Dec,1852,287.3985950382209,285.9445703086917,K,historical,CIESM,r3i1p1f1
36,Jan,1853,287.07269530812505,285.5369834759511,K,historical,CIESM,r3i1p1f1
37,Feb,1853,287.4693715370978,285.6625382694828,K,historical,CIESM,r3i1p1f1
38,Mar,1853,288.0351619392522,286.38502570180356,K,historical,CIESM,r3i1p1f1
39,Apr,1853,288.8332211503918,287.4704362101696,K,historical,CIESM,r3i1p1f1
40,May,1853,289.33957346130074,288.3531659464196,K,historical,CIESM,r3i1p1f1
41,Jun,1853,289.92243232493297,289.2985248933431,K,historical,CIESM,r3i1p1f1
42,Jul,1853,290.03478401988485,289.5331042140977,K,historical,CIESM,r3i1p1f1
43,Aug,1853,289.8882426380892,289.38009477939653,K,historical,CIESM,r3i1p1f1
44,Sep,1853,289.2875574705194,288.642708781604,K,historical,CIESM,r3i1p1f1
45,Oct,1853,288.4607303642251,287.57488951569053,K,historical,CIESM,r3i1p1f1
46,Nov,1853,287.6984215152068,286.5350069307954,K,historical,CIESM,r3i1p1f1
