,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.0954577526646,285.34365831004396,K,historical,CMCC-CM2-HR4,r1i1p1f1
1,Feb,1850,287.43394687520674,285.7902742778602,K,historical,CMCC-CM2-HR4,r1i1p1f1
2,Mar,1850,288.01175069969275,286.39032069796053,K,historical,CMCC-CM2-HR4,r1i1p1f1
3,Apr,1850,288.63375577162566,287.25031411592005,K,historical,CMCC-CM2-HR4,r1i1p1f1
4,May,1850,289.2617828966471,288.2753700248657,K,historical,CMCC-CM2-HR4,r1i1p1f1
5,Jun,1850,289.54769917704886,288.8156088928434,K,historical,CMCC-CM2-HR4,r1i1p1f1
6,Jul,1850,289.8135345203169,289.15879947818655,K,historical,CMCC-CM2-HR4,r1i1p1f1
7,Aug,1850,289.72902578933184,289.0114980421386,K,historical,CMCC-CM2-HR4,r1i1p1f1
8,Sep,1850,289.14838897783807,288.2371922920046,K,historical,CMCC-CM2-HR4,r1i1p1f1
9,Oct,1850,288.5110635139132,287.30258449023273,K,historical,CMCC-CM2-HR4,r1i1p1f1
10,Nov,1850,287.7626714021791,286.1847874070628,K,historical,CMCC-CM2-HR4,r1i1p1f1
11,Dec,1850,287.3022088486511,285.6634942539257,K,historical,CMCC-CM2-HR4,r1i1p1f1
12,Jan,1851,287.18004700509135,285.53216444316666,K,historical,CMCC-CM2-HR4,r1i1p1f1
13,Feb,1851,287.5616001608301,285.84165034820876,K,historical,CMCC-CM2-HR4,r1i1p1f1
14,Mar,1851,288.1226931639411,286.54770030473895,K,historical,CMCC-CM2-HR4,r1i1p1f1
15,Apr,1851,288.65338005680377,287.28499967414655,K,historical,CMCC-CM2-HR4,r1i1p1f1
16,May,1851,289.1888417198474,288.2198467257982,K,historical,CMCC-CM2-HR4,r1i1p1f1
17,Jun,1851,289.55301592664927,288.8533213174888,K,historical,CMCC-CM2-HR4,r1i1p1f1
18,Jul,1851,289.6574465043201,289.0413381810871,K,historical,CMCC-CM2-HR4,r1i1p1f1
19,Aug,1851,289.4570791643586,288.7742352230819,K,historical,CMCC-CM2-HR4,r1i1p1f1
20,Sep,1851,288.90447208953896,288.04997820776975,K,historical,CMCC-CM2-HR4,r1i1p1f1
21,Oct,1851,288.3879405348696,287.2502258954,K,historical,CMCC-CM2-HR4,r1i1p1f1
