,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.1036253281407,285.27756488984386,K,historical,CMCC-CM2-SR5,r1i1p1f1
1,Feb,1850,287.3264935460409,285.5598180036051,K,historical,CMCC-CM2-SR5,r1i1p1f1
2,Mar,1850,287.75976996859,286.14306850535746,K,historical,CMCC-CM2-SR5,r1i1p1f1
3,Apr,1850,288.3867308544225,287.07603046628486,K,historical,CMCC-CM2-SR5,r1i1p1f1
4,May,1850,288.9559645278711,288.0644166257692,K,historical,CMCC-CM2-SR5,r1i1p1f1
5,Jun,1850,289.33073839317683,288.6793603532416,K,historical,CMCC-CM2-SR5,r1i1p1f1
6,Jul,1850,289.43219443052,288.91065506921717,K,historical,CMCC-CM2-SR5,r1i1p1f1
7,Aug,1850,289.32193900370515,288.74788923687754,K,historical,CMCC-CM2-SR5,r1i1p1f1
8,Sep,1850,288.9580252868364,288.2487058638708,K,historical,CMCC-CM2-SR5,r1i1p1f1
9,Oct,1850,288.49937004563577,287.53965659060924,K,historical,CMCC-CM2-SR5,r1i1p1f1
10,Nov,1850,287.7729126398353,286.4873143580008,K,historical,CMCC-CM2-SR5,r1i1p1f1
11,Dec,1850,287.467653198002,285.77955582449033,K,historical,CMCC-CM2-SR5,r1i1p1f1
12,Jan,1851,287.33033023505067,285.6169087102293,K,historical,CMCC-CM2-SR5,r1i1p1f1
13,Feb,1851,287.2635323941416,285.42642995439996,K,historical,CMCC-CM2-SR5,r1i1p1f1
14,Mar,1851,287.80634125428503,286.16336584488477,K,historical,CMCC-CM2-SR5,r1i1p1f1
15,Apr,1851,288.647577306754,287.3796741121561,K,historical,CMCC-CM2-SR5,r1i1p1f1
16,May,1851,289.2152997046906,288.2935008836284,K,historical,CMCC-CM2-SR5,r1i1p1f1
17,Jun,1851,289.43767623216337,288.81078427095855,K,historical,CMCC-CM2-SR5,r1i1p1f1
18,Jul,1851,289.5248934957422,289.01911091217744,K,historical,CMCC-CM2-SR5,r1i1p1f1
19,Aug,1851,289.31794158748295,288.7598088720166,K,historical,CMCC-CM2-SR5,r1i1p1f1
20,Sep,1851,288.886440238785,288.1773941885218,K,historical,CMCC-CM2-SR5,r1i1p1f1
21,Oct,1851,288.16817629697863,287.2587910491086,K,historical,CMCC-CM2-SR5,r1i1p1f1
22,Nov,1851,287.6561688032856,286.41281763630366,K,historical,CMCC-CM2-SR5,r1i1p1f1
23,Dec,1851,287.4116263791901,285.85044274097635,K,historical,CMCC-CM2-SR5,r1i1p1f1
24,Jan,1852,287.076071075658,285.32442871594986,K,historical,CMCC-CM2-SR5,r1i1p1f1
25,Feb,1852,286.9922697172027,285.3329143568678,K,historical,CMCC-CM2-SR5,r1i1p1f1
26,Mar,1852,287.5428959841279,285.9950430697525,K,historical,CMCC-CM2-SR5,r1i1p1f1
27,Apr,1852,288.3273358051112,287.0661560415773,K,historical,CMCC-CM2-SR5,r1i1p1f1
28,May,1852,288.86482323845695,287.98694819346,K,historical,CMCC-CM2-SR5,r1i1p1f1
29,Jun,1852,289.2900273606577,288.6724466466734,K,historical,CMCC-CM2-SR5,r1i1p1f1
30,Jul,1852,289.40889875772723,288.89621210135,K,historical,CMCC-CM2-SR5,r1i1p1f1
31,Aug,1852,289.1610826828377,288.62403525811686,K,historical,CMCC-CM2-SR5,r1i1p1f1
32,Sep,1852,288.9389628132408,288.2527128329052,K,historical,CMCC-CM2-SR5,r1i1p1f1
33,Oct,1852,288.17680364129836,287.2861817164141,K,historical,CMCC-CM2-SR5,r1i1p1f1
34,Nov,1852,287.70895387719077,286.4394216905157,K,historical,CMCC-CM2-SR5,r1i1p1f1
35,Dec,1852,287.2885242688671,285.69116434276805,K,historical,CMCC-CM2-SR5,r1i1p1f1
36,Jan,1853,287.0315826861406,285.29929905391464,K,historical,CMCC-CM2-SR5,r1i1p1f1
37,Feb,1853,287.2567844012303,285.51418638746753,K,historical,CMCC-CM2-SR5,r1i1p1f1
38,Mar,1853,287.8998769734249,286.3525431500249,K,historical,CMCC-CM2-SR5,r1i1p1f1
39,Apr,1853,288.66853617931423,287.41971059267405,K,historical,CMCC-CM2-SR5,r1i1p1f1
40,May,1853,289.1349367715544,288.2562526964657,K,historical,CMCC-CM2-SR5,r1i1p1f1
41,Jun,1853,289.6303960683187,288.9893330600868,K,historical,CMCC-CM2-SR5,r1i1p1f1
42,Jul,1853,289.6381958033762,289.11675107260606,K,historical,CMCC-CM2-SR5,r1i1p1f1
43,Aug,1853,289.57333672073185,289.0241752654976,K,historical,CMCC-CM2-SR5,r1i1p1f1
44,Sep,1853,289.1204126033738,288.4215889878991,K,historical,CMCC-CM2-SR5,r1i1p1f1
45,Oct,1853,288.5827119311919,287.63488253309276,K,historical,CMCC-CM2-SR5,r1i1p1f1
46,Nov,1853,288.0857747479149,286.89024366702336,K,historical,CMCC-CM2-SR5,r1i1p1f1
47,Dec,1853,287.5455056008944,286.0271683378786,K,historical,CMCC-CM2-SR5,r1i1p1f1
48,Jan,1854,287.1582710591652,285.56861210730943,K,historical,CMCC-CM2-SR5,r1i1p1f1
49,Feb,1854,287.3178982320385,285.78066747932,K,historical,CMCC-CM2-SR5,r1i1p1f1
50,Mar,1854,287.9951900431935,286.5099521927574,K,historical,CMCC-CM2-SR5,r1i1p1f1
51,Apr,1854,288.5236582594831,287.26054397263835,K,historical,CMCC-CM2-SR5,r1i1p1f1
52,May,1854,289.17949656513116,288.29384849614786,K,historical,CMCC-CM2-SR5,r1i1p1f1
53,Jun,1854,289.49543102517714,288.8610489568078,K,historical,CMCC-CM2-SR5,r1i1p1f1
54,Jul,1854,289.64829464739165,289.14375518103714,K,historical,CMCC-CM2-SR5,r1i1p1f1
55,Aug,1854,289.4836801545196,288.9541278893495,K,historical,CMCC-CM2-SR5,r1i1p1f1
56,Sep,1854,288.9214477793779,288.2328402699346,K,historical,CMCC-CM2-SR5,r1i1p1f1
57,Oct,1854,288.355717558801,287.3996065542323,K,historical,CMCC-CM2-SR5,r1i1p1f1
58,Nov,1854,287.90569036048504,286.5750227476705,K,historical,CMCC-CM2-SR5,r1i1p1f1
59,Dec,1854,287.3613217912516,285.8044595755468,K,historical,CMCC-CM2-SR5,r1i1p1f1
60,Jan,1855,287.21026643542655,285.5185338162402,K,historical,CMCC-CM2-SR5,r1i1p1f1
61,Feb,1855,287.1977629354084,285.5333066525046,K,historical,CMCC-CM2-SR5,r1i1p1f1
62,Mar,1855,287.78815755071383,286.149790308945,K,historical,CMCC-CM2-SR5,r1i1p1f1
63,Apr,1855,288.65439569350394,287.3868647840791,K,historical,CMCC-CM2-SR5,r1i1p1f1
64,May,1855,289.22052638484615,288.2874827669827,K,historical,CMCC-CM2-SR5,r1i1p1f1
65,Jun,1855,289.6197356135162,288.96102538583875,K,historical,CMCC-CM2-SR5,r1i1p1f1
66,Jul,1855,289.7695628495705,289.2659246715757,K,historical,CMCC-CM2-SR5,r1i1p1f1
67,Aug,1855,289.52038275923,288.96090701098916,K,historical,CMCC-CM2-SR5,r1i1p1f1
68,Sep,1855,289.15960626660365,288.45278554559485,K,historical,CMCC-CM2-SR5,r1i1p1f1
69,Oct,1855,288.4388741664224,287.4972127905162,K,historical,CMCC-CM2-SR5,r1i1p1f1
70,Nov,1855,287.7959836428977,286.49545250596776,K,historical,CMCC-CM2-SR5,r1i1p1f1
71,Dec,1855,287.386353929937,285.87532491903005,K,historical,CMCC-CM2-SR5,r1i1p1f1
72,Jan,1856,287.1646899524878,285.5071082004448,K,historical,CMCC-CM2-SR5,r1i1p1f1
73,Feb,1856,287.51411620361944,285.6889268931786,K,historical,CMCC-CM2-SR5,r1i1p1f1
74,Mar,1856,288.09742402216693,286.59744109464276,K,historical,CMCC-CM2-SR5,r1i1p1f1
75,Apr,1856,288.6282188586617,287.36116450181555,K,historical,CMCC-CM2-SR5,r1i1p1f1
76,May,1856,289.16398163851875,288.2793833312154,K,historical,CMCC-CM2-SR5,r1i1p1f1
77,Jun,1856,289.46784965237,288.8380177721261,K,historical,CMCC-CM2-SR5,r1i1p1f1
78,Jul,1856,289.74586081941646,289.234009965236,K,historical,CMCC-CM2-SR5,r1i1p1f1
79,Aug,1856,289.48992483586363,288.93677883562094,K,historical,CMCC-CM2-SR5,r1i1p1f1
80,Sep,1856,289.114501373146,288.40782748425374,K,historical,CMCC-CM2-SR5,r1i1p1f1
