,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.991036486098,285.2353174962334,K,historical,CMCC-ESM2,r1i1p1f1
1,Feb,1850,287.2300348112899,285.41096556630146,K,historical,CMCC-ESM2,r1i1p1f1
2,Mar,1850,287.5494714237809,285.88849570008784,K,historical,CMCC-ESM2,r1i1p1f1
3,Apr,1850,288.27059324209546,286.9832066334621,K,historical,CMCC-ESM2,r1i1p1f1
4,May,1850,288.84703000737966,288.01434301321365,K,historical,CMCC-ESM2,r1i1p1f1
5,Jun,1850,289.305298133651,288.6772373537987,K,historical,CMCC-ESM2,r1i1p1f1
6,Jul,1850,289.5711904017309,289.0375006914866,K,historical,CMCC-ESM2,r1i1p1f1
7,Aug,1850,289.3098918363901,288.73108282632677,K,historical,CMCC-ESM2,r1i1p1f1
8,Sep,1850,288.85469152419154,288.13742019101153,K,historical,CMCC-ESM2,r1i1p1f1
9,Oct,1850,288.32110361040105,287.37708772394,K,historical,CMCC-ESM2,r1i1p1f1
10,Nov,1850,287.8160192217984,286.5716541639831,K,historical,CMCC-ESM2,r1i1p1f1
11,Dec,1850,287.3467339129738,285.78037763778883,K,historical,CMCC-ESM2,r1i1p1f1
12,Jan,1851,287.1031682131996,285.40592256446627,K,historical,CMCC-ESM2,r1i1p1f1
13,Feb,1851,287.1833916020508,285.48520439686837,K,historical,CMCC-ESM2,r1i1p1f1
14,Mar,1851,287.83918239045045,286.24315252975134,K,historical,CMCC-ESM2,r1i1p1f1
15,Apr,1851,288.48204568953594,287.2385579029413,K,historical,CMCC-ESM2,r1i1p1f1
16,May,1851,288.97037251121566,288.09307202849885,K,historical,CMCC-ESM2,r1i1p1f1
17,Jun,1851,289.4579093069054,288.830248695093,K,historical,CMCC-ESM2,r1i1p1f1
18,Jul,1851,289.50839343701233,288.9901547567648,K,historical,CMCC-ESM2,r1i1p1f1
19,Aug,1851,289.2750212538728,288.70515413676725,K,historical,CMCC-ESM2,r1i1p1f1
20,Sep,1851,288.8782475889837,288.17559451329083,K,historical,CMCC-ESM2,r1i1p1f1
21,Oct,1851,288.40456727913124,287.4572870444577,K,historical,CMCC-ESM2,r1i1p1f1
22,Nov,1851,287.98444779138924,286.6567752997336,K,historical,CMCC-ESM2,r1i1p1f1
23,Dec,1851,287.35060794204344,285.8054925654679,K,historical,CMCC-ESM2,r1i1p1f1
24,Jan,1852,286.9853117146059,285.33479507787234,K,historical,CMCC-ESM2,r1i1p1f1
25,Feb,1852,287.04618856401197,285.36508541998245,K,historical,CMCC-ESM2,r1i1p1f1
26,Mar,1852,287.5869714568706,285.9884228518368,K,historical,CMCC-ESM2,r1i1p1f1
27,Apr,1852,288.3844186628345,287.08273318011345,K,historical,CMCC-ESM2,r1i1p1f1
28,May,1852,288.98555811443384,288.1079375600911,K,historical,CMCC-ESM2,r1i1p1f1
29,Jun,1852,289.3236191134211,288.6896429395033,K,historical,CMCC-ESM2,r1i1p1f1
30,Jul,1852,289.4583774792683,288.9403243550349,K,historical,CMCC-ESM2,r1i1p1f1
31,Aug,1852,289.29878122137785,288.7487571385103,K,historical,CMCC-ESM2,r1i1p1f1
32,Sep,1852,288.766085549709,288.0735749003434,K,historical,CMCC-ESM2,r1i1p1f1
33,Oct,1852,288.2943956983685,287.3396319418747,K,historical,CMCC-ESM2,r1i1p1f1
34,Nov,1852,287.7724187556631,286.47173428316523,K,historical,CMCC-ESM2,r1i1p1f1
35,Dec,1852,287.3169071850933,285.7250522528799,K,historical,CMCC-ESM2,r1i1p1f1
36,Jan,1853,287.07820232734855,285.4454305933562,K,historical,CMCC-ESM2,r1i1p1f1
37,Feb,1853,287.3309855043522,285.5741327968681,K,historical,CMCC-ESM2,r1i1p1f1
38,Mar,1853,287.7573164770131,286.140060325666,K,historical,CMCC-ESM2,r1i1p1f1
