,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.0469563873531,284.0822790087772,K,historical,CNRM-CM6-1,r9i1p1f2
1,Feb,1850,286.439998582142,284.36574248999824,K,historical,CNRM-CM6-1,r9i1p1f2
2,Mar,1850,286.9257564091168,285.03581534556037,K,historical,CNRM-CM6-1,r9i1p1f2
3,Apr,1850,287.4069737621662,285.8497027874667,K,historical,CNRM-CM6-1,r9i1p1f2
4,May,1850,288.050116495492,286.920829755453,K,historical,CNRM-CM6-1,r9i1p1f2
5,Jun,1850,288.48685498821334,287.778069753365,K,historical,CNRM-CM6-1,r9i1p1f2
6,Jul,1850,288.7347584103135,288.18520385904253,K,historical,CNRM-CM6-1,r9i1p1f2
7,Aug,1850,288.60418270223335,287.9862005280668,K,historical,CNRM-CM6-1,r9i1p1f2
8,Sep,1850,287.976076705579,287.1697670334404,K,historical,CNRM-CM6-1,r9i1p1f2
9,Oct,1850,287.1287070644837,286.00205597409064,K,historical,CNRM-CM6-1,r9i1p1f2
10,Nov,1850,286.3391998737098,284.8310510329246,K,historical,CNRM-CM6-1,r9i1p1f2
11,Dec,1850,285.86938079417763,284.1149099417627,K,historical,CNRM-CM6-1,r9i1p1f2
12,Jan,1851,285.89622043031784,284.1043033004473,K,historical,CNRM-CM6-1,r9i1p1f2
13,Feb,1851,286.0598157193902,284.1282390849537,K,historical,CNRM-CM6-1,r9i1p1f2
14,Mar,1851,286.8741131147697,285.00285522445006,K,historical,CNRM-CM6-1,r9i1p1f2
15,Apr,1851,287.4401442512318,285.87363617050573,K,historical,CNRM-CM6-1,r9i1p1f2
16,May,1851,287.9141447569393,286.79322482005716,K,historical,CNRM-CM6-1,r9i1p1f2
17,Jun,1851,288.5932339953517,287.8331488491331,K,historical,CNRM-CM6-1,r9i1p1f2
18,Jul,1851,288.7658496149442,288.20018920813374,K,historical,CNRM-CM6-1,r9i1p1f2
19,Aug,1851,288.6317267275849,288.0432012455584,K,historical,CNRM-CM6-1,r9i1p1f2
20,Sep,1851,288.06053370433403,287.28961020553356,K,historical,CNRM-CM6-1,r9i1p1f2
21,Oct,1851,287.1725548175238,286.1099360863622,K,historical,CNRM-CM6-1,r9i1p1f2
22,Nov,1851,286.44746351266735,284.8724857136741,K,historical,CNRM-CM6-1,r9i1p1f2
23,Dec,1851,285.8932420754379,284.1249571854811,K,historical,CNRM-CM6-1,r9i1p1f2
24,Jan,1852,285.9479639976087,283.99379856769093,K,historical,CNRM-CM6-1,r9i1p1f2
25,Feb,1852,286.24459465802636,284.34438701944316,K,historical,CNRM-CM6-1,r9i1p1f2
26,Mar,1852,286.9783902104356,285.1795360172844,K,historical,CNRM-CM6-1,r9i1p1f2
27,Apr,1852,287.62183481876343,286.1460827191475,K,historical,CNRM-CM6-1,r9i1p1f2
28,May,1852,288.08323336454725,287.00460699489577,K,historical,CNRM-CM6-1,r9i1p1f2
29,Jun,1852,288.5564688606566,287.85719957051253,K,historical,CNRM-CM6-1,r9i1p1f2
30,Jul,1852,288.6462633145874,288.1212709202168,K,historical,CNRM-CM6-1,r9i1p1f2
31,Aug,1852,288.4657163516158,287.897913319425,K,historical,CNRM-CM6-1,r9i1p1f2
32,Sep,1852,287.9415975915754,287.22505773591587,K,historical,CNRM-CM6-1,r9i1p1f2
33,Oct,1852,286.9951404820166,285.8745195648263,K,historical,CNRM-CM6-1,r9i1p1f2
34,Nov,1852,286.3806428285124,284.8694225998422,K,historical,CNRM-CM6-1,r9i1p1f2
35,Dec,1852,285.61040119450996,283.92855274332936,K,historical,CNRM-CM6-1,r9i1p1f2
36,Jan,1853,285.86961880945177,283.98715238696116,K,historical,CNRM-CM6-1,r9i1p1f2
37,Feb,1853,286.0535346660325,284.1620035050918,K,historical,CNRM-CM6-1,r9i1p1f2
38,Mar,1853,286.69671353258065,285.0471389801061,K,historical,CNRM-CM6-1,r9i1p1f2
39,Apr,1853,287.47352237434416,285.9061004297372,K,historical,CNRM-CM6-1,r9i1p1f2
40,May,1853,287.74203089451856,286.62796344221294,K,historical,CNRM-CM6-1,r9i1p1f2
41,Jun,1853,288.23436608586,287.4824684734303,K,historical,CNRM-CM6-1,r9i1p1f2
42,Jul,1853,288.46247511151773,287.9244117433924,K,historical,CNRM-CM6-1,r9i1p1f2
43,Aug,1853,288.4834821349636,287.90866028481935,K,historical,CNRM-CM6-1,r9i1p1f2
44,Sep,1853,287.84915568371713,287.08254450981354,K,historical,CNRM-CM6-1,r9i1p1f2
45,Oct,1853,287.22493851467726,286.09682231505985,K,historical,CNRM-CM6-1,r9i1p1f2
46,Nov,1853,286.23158615200094,284.837884080853,K,historical,CNRM-CM6-1,r9i1p1f2
47,Dec,1853,285.8318534749994,284.0803358249934,K,historical,CNRM-CM6-1,r9i1p1f2
48,Jan,1854,285.9860739093752,284.11617953060596,K,historical,CNRM-CM6-1,r9i1p1f2
49,Feb,1854,286.3089400791378,284.2168679136234,K,historical,CNRM-CM6-1,r9i1p1f2
50,Mar,1854,286.8395291344529,284.9878857419504,K,historical,CNRM-CM6-1,r9i1p1f2
51,Apr,1854,287.50423348140475,285.9971624574861,K,historical,CNRM-CM6-1,r9i1p1f2
52,May,1854,287.837743897319,286.7624980894897,K,historical,CNRM-CM6-1,r9i1p1f2
53,Jun,1854,288.239927282118,287.51757133839635,K,historical,CNRM-CM6-1,r9i1p1f2
54,Jul,1854,288.6585634937982,288.112652481181,K,historical,CNRM-CM6-1,r9i1p1f2
55,Aug,1854,288.4570275722315,287.91233921212887,K,historical,CNRM-CM6-1,r9i1p1f2
56,Sep,1854,287.993965523484,287.23922529177014,K,historical,CNRM-CM6-1,r9i1p1f2
57,Oct,1854,287.2103156212272,286.10150005047973,K,historical,CNRM-CM6-1,r9i1p1f2
58,Nov,1854,286.5318997935484,285.0675178373938,K,historical,CNRM-CM6-1,r9i1p1f2
59,Dec,1854,285.91783971163875,284.089732153119,K,historical,CNRM-CM6-1,r9i1p1f2
60,Jan,1855,285.9938988885111,284.09422447676275,K,historical,CNRM-CM6-1,r9i1p1f2
61,Feb,1855,286.32736579198416,284.52612614371316,K,historical,CNRM-CM6-1,r9i1p1f2
62,Mar,1855,286.7236163301804,285.06096427525154,K,historical,CNRM-CM6-1,r9i1p1f2
63,Apr,1855,287.6396084817376,286.0941015094369,K,historical,CNRM-CM6-1,r9i1p1f2
64,May,1855,288.20699949370487,287.1573839302689,K,historical,CNRM-CM6-1,r9i1p1f2
65,Jun,1855,288.51272549406735,287.784704083074,K,historical,CNRM-CM6-1,r9i1p1f2
66,Jul,1855,288.84942059240495,288.28614469761015,K,historical,CNRM-CM6-1,r9i1p1f2
67,Aug,1855,288.7175683080904,288.13855018250274,K,historical,CNRM-CM6-1,r9i1p1f2
68,Sep,1855,288.06664818510274,287.3163901595827,K,historical,CNRM-CM6-1,r9i1p1f2
69,Oct,1855,287.23166156081544,286.2080009774782,K,historical,CNRM-CM6-1,r9i1p1f2
70,Nov,1855,286.41009884681574,285.00703216280743,K,historical,CNRM-CM6-1,r9i1p1f2
71,Dec,1855,285.8609274144825,284.05870063813126,K,historical,CNRM-CM6-1,r9i1p1f2
72,Jan,1856,285.73917819857905,283.9036258762906,K,historical,CNRM-CM6-1,r9i1p1f2
73,Feb,1856,286.3176639440155,284.2752183225739,K,historical,CNRM-CM6-1,r9i1p1f2
74,Mar,1856,286.88350810261636,285.00507457664185,K,historical,CNRM-CM6-1,r9i1p1f2
75,Apr,1856,287.56321611553426,286.0163098964143,K,historical,CNRM-CM6-1,r9i1p1f2
76,May,1856,287.96342488262644,286.8394853766373,K,historical,CNRM-CM6-1,r9i1p1f2
77,Jun,1856,288.454880311733,287.73841385906115,K,historical,CNRM-CM6-1,r9i1p1f2
78,Jul,1856,288.67900887415726,288.1237362460291,K,historical,CNRM-CM6-1,r9i1p1f2
79,Aug,1856,288.4922890093461,287.8716492647133,K,historical,CNRM-CM6-1,r9i1p1f2
80,Sep,1856,288.05220699704427,287.20124422966364,K,historical,CNRM-CM6-1,r9i1p1f2
81,Oct,1856,287.0104975711001,285.8106615718815,K,historical,CNRM-CM6-1,r9i1p1f2
82,Nov,1856,286.39275642904306,284.77963488669843,K,historical,CNRM-CM6-1,r9i1p1f2
83,Dec,1856,285.69813961880817,283.9898983874334,K,historical,CNRM-CM6-1,r9i1p1f2
84,Jan,1857,285.8971858351239,284.0892287906878,K,historical,CNRM-CM6-1,r9i1p1f2
85,Feb,1857,286.1799082242024,284.202131633907,K,historical,CNRM-CM6-1,r9i1p1f2
86,Mar,1857,286.96005299177483,285.21487184973176,K,historical,CNRM-CM6-1,r9i1p1f2
87,Apr,1857,287.6518954216342,286.17863627288364,K,historical,CNRM-CM6-1,r9i1p1f2
88,May,1857,288.1040605170429,287.0605376677363,K,historical,CNRM-CM6-1,r9i1p1f2
89,Jun,1857,288.710110980638,287.971052824931,K,historical,CNRM-CM6-1,r9i1p1f2
90,Jul,1857,288.85261080538584,288.27796776147403,K,historical,CNRM-CM6-1,r9i1p1f2
91,Aug,1857,288.6716327242755,288.0824822209806,K,historical,CNRM-CM6-1,r9i1p1f2
92,Sep,1857,288.0317755609108,287.303819845889,K,historical,CNRM-CM6-1,r9i1p1f2
93,Oct,1857,287.23980453552593,286.18461280416705,K,historical,CNRM-CM6-1,r9i1p1f2
94,Nov,1857,286.39631053468315,284.9909566457991,K,historical,CNRM-CM6-1,r9i1p1f2
95,Dec,1857,286.0904405078296,284.40552481720954,K,historical,CNRM-CM6-1,r9i1p1f2
96,Jan,1858,286.0773406975547,284.2138375747877,K,historical,CNRM-CM6-1,r9i1p1f2
97,Feb,1858,286.25366341029473,284.33317626628667,K,historical,CNRM-CM6-1,r9i1p1f2
98,Mar,1858,286.69334092759317,284.9875456508003,K,historical,CNRM-CM6-1,r9i1p1f2
99,Apr,1858,287.4541567510614,286.03357901180414,K,historical,CNRM-CM6-1,r9i1p1f2
