,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.3899565741887,284.42266154798205,K,historical,CNRM-ESM2-1,r3i1p1f2
1,Feb,1850,286.6927506018022,284.6485910041817,K,historical,CNRM-ESM2-1,r3i1p1f2
2,Mar,1850,287.1682602803659,285.30474274398574,K,historical,CNRM-ESM2-1,r3i1p1f2
3,Apr,1850,287.80405595547774,286.1716376810776,K,historical,CNRM-ESM2-1,r3i1p1f2
4,May,1850,288.2942061884348,287.1211060737673,K,historical,CNRM-ESM2-1,r3i1p1f2
5,Jun,1850,288.83521516767223,288.0320702702436,K,historical,CNRM-ESM2-1,r3i1p1f2
6,Jul,1850,289.14000427569584,288.58570706283894,K,historical,CNRM-ESM2-1,r3i1p1f2
7,Aug,1850,288.8632185790802,288.2959370650597,K,historical,CNRM-ESM2-1,r3i1p1f2
8,Sep,1850,288.31832170947075,287.58140855630853,K,historical,CNRM-ESM2-1,r3i1p1f2
9,Oct,1850,287.4934157255092,286.4573770853619,K,historical,CNRM-ESM2-1,r3i1p1f2
10,Nov,1850,286.80008555270683,285.4015951325014,K,historical,CNRM-ESM2-1,r3i1p1f2
11,Dec,1850,286.31274440803924,284.58560993893826,K,historical,CNRM-ESM2-1,r3i1p1f2
12,Jan,1851,286.35247361612005,284.4509678520014,K,historical,CNRM-ESM2-1,r3i1p1f2
13,Feb,1851,286.6849002318552,284.71641582593065,K,historical,CNRM-ESM2-1,r3i1p1f2
14,Mar,1851,287.2988353925612,285.33987555961477,K,historical,CNRM-ESM2-1,r3i1p1f2
15,Apr,1851,287.88489528385304,286.41672590466237,K,historical,CNRM-ESM2-1,r3i1p1f2
16,May,1851,288.50725210450355,287.3932814509553,K,historical,CNRM-ESM2-1,r3i1p1f2
17,Jun,1851,289.0523536537225,288.3095869482372,K,historical,CNRM-ESM2-1,r3i1p1f2
18,Jul,1851,289.2529936310959,288.69677381585274,K,historical,CNRM-ESM2-1,r3i1p1f2
19,Aug,1851,289.2742497813236,288.6938665435494,K,historical,CNRM-ESM2-1,r3i1p1f2
20,Sep,1851,288.62712298407155,287.86021857693424,K,historical,CNRM-ESM2-1,r3i1p1f2
21,Oct,1851,287.8062071499561,286.6609533971182,K,historical,CNRM-ESM2-1,r3i1p1f2
22,Nov,1851,287.0391197492511,285.5600688699924,K,historical,CNRM-ESM2-1,r3i1p1f2
