,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.62408820720856,284.3458021930926,K,historical,CanESM5,r24i1p2f1
1,Feb,1850,286.7529444915294,284.45031354050394,K,historical,CanESM5,r24i1p2f1
2,Mar,1850,287.37672161557526,285.3377177219361,K,historical,CanESM5,r24i1p2f1
3,Apr,1850,287.94183305844325,286.4250131097339,K,historical,CanESM5,r24i1p2f1
4,May,1850,288.5641760802777,287.4387778313553,K,historical,CanESM5,r24i1p2f1
5,Jun,1850,288.9029074332697,288.12798860284653,K,historical,CanESM5,r24i1p2f1
6,Jul,1850,289.03182507332184,288.38117698961634,K,historical,CanESM5,r24i1p2f1
7,Aug,1850,289.0560025058654,288.3188338580079,K,historical,CanESM5,r24i1p2f1
8,Sep,1850,288.5415010189252,287.5219088223735,K,historical,CanESM5,r24i1p2f1
9,Oct,1850,288.131404194999,286.5940895291838,K,historical,CanESM5,r24i1p2f1
10,Nov,1850,287.3370106983892,285.3736479251563,K,historical,CanESM5,r24i1p2f1
11,Dec,1850,286.968316967351,284.9442458710463,K,historical,CanESM5,r24i1p2f1
12,Jan,1851,286.58390139699713,284.5213700459736,K,historical,CanESM5,r24i1p2f1
13,Feb,1851,286.7553292621759,284.59461354666854,K,historical,CanESM5,r24i1p2f1
14,Mar,1851,287.1503973971502,285.2199694794329,K,historical,CanESM5,r24i1p2f1
15,Apr,1851,287.7726154276165,286.2615721904883,K,historical,CanESM5,r24i1p2f1
16,May,1851,288.3413388241343,287.21401396087055,K,historical,CanESM5,r24i1p2f1
17,Jun,1851,288.90180456020045,288.0756481521991,K,historical,CanESM5,r24i1p2f1
18,Jul,1851,289.09870467306007,288.39118297253896,K,historical,CanESM5,r24i1p2f1
19,Aug,1851,288.7717008058792,288.05502294812754,K,historical,CanESM5,r24i1p2f1
20,Sep,1851,288.35605653217516,287.26327671867944,K,historical,CanESM5,r24i1p2f1
21,Oct,1851,287.8714164321584,286.3243112830202,K,historical,CanESM5,r24i1p2f1
22,Nov,1851,287.34156931062574,285.32323742470095,K,historical,CanESM5,r24i1p2f1
23,Dec,1851,286.50454918181026,284.4155168241646,K,historical,CanESM5,r24i1p2f1
24,Jan,1852,286.2557999500585,284.0497016006818,K,historical,CanESM5,r24i1p2f1
25,Feb,1852,286.4358878329244,284.2812036616874,K,historical,CanESM5,r24i1p2f1
26,Mar,1852,287.06260506016866,284.9743752779378,K,historical,CanESM5,r24i1p2f1
