,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.94255433327015,285.1863484224792,K,historical,EC-Earth3-CC,r1i1p1f1
1,Feb,1850,287.54372811743883,285.73587059462386,K,historical,EC-Earth3-CC,r1i1p1f1
2,Mar,1850,287.95023046595946,286.23082800667885,K,historical,EC-Earth3-CC,r1i1p1f1
3,Apr,1850,288.6752542859949,287.21300417703276,K,historical,EC-Earth3-CC,r1i1p1f1
4,May,1850,289.08144715485463,288.01227080468243,K,historical,EC-Earth3-CC,r1i1p1f1
5,Jun,1850,289.7012747115369,288.9440541355002,K,historical,EC-Earth3-CC,r1i1p1f1
6,Jul,1850,290.2126357789382,289.57331631669547,K,historical,EC-Earth3-CC,r1i1p1f1
7,Aug,1850,290.10271978297976,289.41782136805244,K,historical,EC-Earth3-CC,r1i1p1f1
8,Sep,1850,289.5548265138521,288.6510922815897,K,historical,EC-Earth3-CC,r1i1p1f1
9,Oct,1850,288.67483581332624,287.3748665131556,K,historical,EC-Earth3-CC,r1i1p1f1
10,Nov,1850,287.5646511094588,286.10619423134307,K,historical,EC-Earth3-CC,r1i1p1f1
11,Dec,1850,287.08648707012117,285.40691386536014,K,historical,EC-Earth3-CC,r1i1p1f1
12,Jan,1851,287.09196625140135,285.3826553500978,K,historical,EC-Earth3-CC,r1i1p1f1
13,Feb,1851,287.39618179912935,285.6743123657691,K,historical,EC-Earth3-CC,r1i1p1f1
14,Mar,1851,288.16714942633445,286.48269379276684,K,historical,EC-Earth3-CC,r1i1p1f1
15,Apr,1851,288.7500161334529,287.3843807137771,K,historical,EC-Earth3-CC,r1i1p1f1
16,May,1851,289.25400880406903,288.2050125829435,K,historical,EC-Earth3-CC,r1i1p1f1
17,Jun,1851,289.72991638374697,288.9757846288821,K,historical,EC-Earth3-CC,r1i1p1f1
18,Jul,1851,290.1693257285121,289.56734800993326,K,historical,EC-Earth3-CC,r1i1p1f1
19,Aug,1851,290.2876645823818,289.62894266562176,K,historical,EC-Earth3-CC,r1i1p1f1
20,Sep,1851,289.6825858786429,288.81980564260533,K,historical,EC-Earth3-CC,r1i1p1f1
21,Oct,1851,288.7866962612738,287.56743989471164,K,historical,EC-Earth3-CC,r1i1p1f1
22,Nov,1851,287.8067289175132,286.202217689636,K,historical,EC-Earth3-CC,r1i1p1f1
23,Dec,1851,287.1426863978002,285.5018855139988,K,historical,EC-Earth3-CC,r1i1p1f1
24,Jan,1852,287.2533740421922,285.5119708441721,K,historical,EC-Earth3-CC,r1i1p1f1
25,Feb,1852,287.5926031100454,285.8095653326853,K,historical,EC-Earth3-CC,r1i1p1f1
26,Mar,1852,288.102008360862,286.4514334118815,K,historical,EC-Earth3-CC,r1i1p1f1
27,Apr,1852,288.62786966740754,287.25487098648034,K,historical,EC-Earth3-CC,r1i1p1f1
28,May,1852,289.1336265511882,288.0366768601686,K,historical,EC-Earth3-CC,r1i1p1f1
29,Jun,1852,289.6793625941703,288.90783603677835,K,historical,EC-Earth3-CC,r1i1p1f1
30,Jul,1852,290.02398539200783,289.4035660466667,K,historical,EC-Earth3-CC,r1i1p1f1
31,Aug,1852,289.94597765659887,289.2710956477147,K,historical,EC-Earth3-CC,r1i1p1f1
32,Sep,1852,289.4836058661962,288.6189626280056,K,historical,EC-Earth3-CC,r1i1p1f1
33,Oct,1852,288.5589586600768,287.3129043714592,K,historical,EC-Earth3-CC,r1i1p1f1
34,Nov,1852,287.5065053906723,285.9568462822191,K,historical,EC-Earth3-CC,r1i1p1f1
35,Dec,1852,286.94966514671347,285.3949754302217,K,historical,EC-Earth3-CC,r1i1p1f1
36,Jan,1853,287.03929996468423,285.2648314868508,K,historical,EC-Earth3-CC,r1i1p1f1
37,Feb,1853,287.35851134396125,285.6450989839284,K,historical,EC-Earth3-CC,r1i1p1f1
38,Mar,1853,288.07991710239435,286.41116767936916,K,historical,EC-Earth3-CC,r1i1p1f1
39,Apr,1853,288.59980768260414,287.18865989000915,K,historical,EC-Earth3-CC,r1i1p1f1
40,May,1853,289.24703715806515,288.15008238369194,K,historical,EC-Earth3-CC,r1i1p1f1
41,Jun,1853,289.7214034721502,288.92207944582515,K,historical,EC-Earth3-CC,r1i1p1f1
42,Jul,1853,290.21028374996575,289.6031618389883,K,historical,EC-Earth3-CC,r1i1p1f1
43,Aug,1853,290.1846522566533,289.5458488392062,K,historical,EC-Earth3-CC,r1i1p1f1
44,Sep,1853,289.7289292668375,288.82630669645135,K,historical,EC-Earth3-CC,r1i1p1f1
45,Oct,1853,288.6997891699562,287.5098893733905,K,historical,EC-Earth3-CC,r1i1p1f1
46,Nov,1853,287.6626756121137,286.1117800148953,K,historical,EC-Earth3-CC,r1i1p1f1
47,Dec,1853,287.1157185168825,285.46274495159156,K,historical,EC-Earth3-CC,r1i1p1f1
48,Jan,1854,287.13847299419535,285.4260323560841,K,historical,EC-Earth3-CC,r1i1p1f1
49,Feb,1854,287.40623668139455,285.5915399879077,K,historical,EC-Earth3-CC,r1i1p1f1
50,Mar,1854,287.90965737234666,286.2738924082962,K,historical,EC-Earth3-CC,r1i1p1f1
51,Apr,1854,288.71527161385774,287.3519937709559,K,historical,EC-Earth3-CC,r1i1p1f1
52,May,1854,289.2432636542295,288.1672938649475,K,historical,EC-Earth3-CC,r1i1p1f1
53,Jun,1854,289.8614501524704,289.08982638591243,K,historical,EC-Earth3-CC,r1i1p1f1
