,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.2592448232121,283.91545877689055,K,historical,FGOALS-g3,r1i1p1f1
1,Feb,1850,286.7744677235943,284.63173732797105,K,historical,FGOALS-g3,r1i1p1f1
2,Mar,1850,287.32333772779225,285.2495120313489,K,historical,FGOALS-g3,r1i1p1f1
3,Apr,1850,287.9333597879668,286.1434955108834,K,historical,FGOALS-g3,r1i1p1f1
4,May,1850,288.56380100532743,287.27131885609396,K,historical,FGOALS-g3,r1i1p1f1
5,Jun,1850,288.95092027044694,288.07653788383624,K,historical,FGOALS-g3,r1i1p1f1
6,Jul,1850,289.01124974311847,288.3316202901682,K,historical,FGOALS-g3,r1i1p1f1
7,Aug,1850,288.80055858134625,287.9896956883341,K,historical,FGOALS-g3,r1i1p1f1
8,Sep,1850,288.25884052747296,287.1533487891963,K,historical,FGOALS-g3,r1i1p1f1
9,Oct,1850,287.63907226208653,286.085260242023,K,historical,FGOALS-g3,r1i1p1f1
10,Nov,1850,286.7527393849741,284.79229301162934,K,historical,FGOALS-g3,r1i1p1f1
11,Dec,1850,286.2610827413752,284.02744682177877,K,historical,FGOALS-g3,r1i1p1f1
12,Jan,1851,286.14261683666984,283.76092248844157,K,historical,FGOALS-g3,r1i1p1f1
13,Feb,1851,286.3398799689701,284.0120245651973,K,historical,FGOALS-g3,r1i1p1f1
14,Mar,1851,287.00630095088525,284.8491661991286,K,historical,FGOALS-g3,r1i1p1f1
15,Apr,1851,287.7135092192866,285.9613764803301,K,historical,FGOALS-g3,r1i1p1f1
16,May,1851,288.32529429234324,286.9763660464014,K,historical,FGOALS-g3,r1i1p1f1
17,Jun,1851,288.59260408462836,287.7731094108333,K,historical,FGOALS-g3,r1i1p1f1
18,Jul,1851,288.8349508694363,288.1468901968949,K,historical,FGOALS-g3,r1i1p1f1
19,Aug,1851,288.6108796395655,287.80949588032485,K,historical,FGOALS-g3,r1i1p1f1
20,Sep,1851,288.11011987774305,287.0402699244923,K,historical,FGOALS-g3,r1i1p1f1
21,Oct,1851,287.4022625821494,285.82306851257783,K,historical,FGOALS-g3,r1i1p1f1
22,Nov,1851,286.74920395216765,284.7977593883412,K,historical,FGOALS-g3,r1i1p1f1
23,Dec,1851,286.3292028877957,284.23394565922234,K,historical,FGOALS-g3,r1i1p1f1
24,Jan,1852,286.0564856770351,283.86412800291754,K,historical,FGOALS-g3,r1i1p1f1
25,Feb,1852,286.6442766546302,284.3694501575419,K,historical,FGOALS-g3,r1i1p1f1
