,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.3057193389654,284.4944404586526,K,historical,FIO-ESM-2-0,r1i1p1f1
1,Feb,1850,286.7212910019921,285.0218273645206,K,historical,FIO-ESM-2-0,r1i1p1f1
2,Mar,1850,287.087250170014,285.4079224104047,K,historical,FIO-ESM-2-0,r1i1p1f1
3,Apr,1850,287.8875492319202,286.534432893716,K,historical,FIO-ESM-2-0,r1i1p1f1
4,May,1850,288.43121851262634,287.42653945466793,K,historical,FIO-ESM-2-0,r1i1p1f1
5,Jun,1850,288.8385595228025,288.1724605284367,K,historical,FIO-ESM-2-0,r1i1p1f1
6,Jul,1850,288.84924436996124,288.33578031259117,K,historical,FIO-ESM-2-0,r1i1p1f1
7,Aug,1850,288.73627987336835,288.17670980853984,K,historical,FIO-ESM-2-0,r1i1p1f1
8,Sep,1850,288.3191656663729,287.5435448619164,K,historical,FIO-ESM-2-0,r1i1p1f1
9,Oct,1850,287.77810805982654,286.60498607646235,K,historical,FIO-ESM-2-0,r1i1p1f1
10,Nov,1850,287.18734589745617,285.5953629865909,K,historical,FIO-ESM-2-0,r1i1p1f1
11,Dec,1850,286.4351096837295,284.7879814968269,K,historical,FIO-ESM-2-0,r1i1p1f1
12,Jan,1851,286.43315998604965,284.6219805614066,K,historical,FIO-ESM-2-0,r1i1p1f1
13,Feb,1851,286.59055839680764,284.86501463086023,K,historical,FIO-ESM-2-0,r1i1p1f1
14,Mar,1851,287.35844472820315,285.7220145675098,K,historical,FIO-ESM-2-0,r1i1p1f1
15,Apr,1851,287.98316439408427,286.6403080056252,K,historical,FIO-ESM-2-0,r1i1p1f1
16,May,1851,288.6017822602286,287.6021693533134,K,historical,FIO-ESM-2-0,r1i1p1f1
17,Jun,1851,288.8961566236097,288.2501364666239,K,historical,FIO-ESM-2-0,r1i1p1f1
18,Jul,1851,289.073145753729,288.5355574201158,K,historical,FIO-ESM-2-0,r1i1p1f1
19,Aug,1851,288.8775041002672,288.2896673554392,K,historical,FIO-ESM-2-0,r1i1p1f1
20,Sep,1851,288.4470637107388,287.67238836972336,K,historical,FIO-ESM-2-0,r1i1p1f1
21,Oct,1851,287.84730423880325,286.79362111876344,K,historical,FIO-ESM-2-0,r1i1p1f1
22,Nov,1851,287.2618499545353,285.8296415403883,K,historical,FIO-ESM-2-0,r1i1p1f1
23,Dec,1851,286.75123351450463,285.00410334142094,K,historical,FIO-ESM-2-0,r1i1p1f1
24,Jan,1852,286.3447084483359,284.57882119681375,K,historical,FIO-ESM-2-0,r1i1p1f1
25,Feb,1852,286.73383244517333,284.9766222183962,K,historical,FIO-ESM-2-0,r1i1p1f1
26,Mar,1852,287.3582983964269,285.70792412251495,K,historical,FIO-ESM-2-0,r1i1p1f1
27,Apr,1852,288.21176271703763,286.9228163296009,K,historical,FIO-ESM-2-0,r1i1p1f1
28,May,1852,288.6233549283538,287.66926160145607,K,historical,FIO-ESM-2-0,r1i1p1f1
29,Jun,1852,288.91573553268825,288.26505606454674,K,historical,FIO-ESM-2-0,r1i1p1f1
30,Jul,1852,289.07534623640754,288.5298579212678,K,historical,FIO-ESM-2-0,r1i1p1f1
31,Aug,1852,288.8053811249791,288.19173554017954,K,historical,FIO-ESM-2-0,r1i1p1f1
32,Sep,1852,288.3464388625829,287.5739490466312,K,historical,FIO-ESM-2-0,r1i1p1f1
33,Oct,1852,287.6786280585524,286.54531939416745,K,historical,FIO-ESM-2-0,r1i1p1f1
34,Nov,1852,287.0093962219335,285.549119498799,K,historical,FIO-ESM-2-0,r1i1p1f1
35,Dec,1852,286.4102695518754,284.64800660021757,K,historical,FIO-ESM-2-0,r1i1p1f1
36,Jan,1853,286.3233850930087,284.5023850581175,K,historical,FIO-ESM-2-0,r1i1p1f1
37,Feb,1853,286.63244972503827,284.74128346044216,K,historical,FIO-ESM-2-0,r1i1p1f1
38,Mar,1853,287.2944791771132,285.56314679062456,K,historical,FIO-ESM-2-0,r1i1p1f1
39,Apr,1853,287.95086135116736,286.49298986377113,K,historical,FIO-ESM-2-0,r1i1p1f1
40,May,1853,288.47974073733144,287.482328017997,K,historical,FIO-ESM-2-0,r1i1p1f1
41,Jun,1853,288.88024367338073,288.18833124191383,K,historical,FIO-ESM-2-0,r1i1p1f1
42,Jul,1853,288.992262639014,288.441625465996,K,historical,FIO-ESM-2-0,r1i1p1f1
43,Aug,1853,288.80387897617857,288.1869967017566,K,historical,FIO-ESM-2-0,r1i1p1f1
44,Sep,1853,288.4221045838774,287.6235272108512,K,historical,FIO-ESM-2-0,r1i1p1f1
45,Oct,1853,287.6410787032752,286.4909413731915,K,historical,FIO-ESM-2-0,r1i1p1f1
46,Nov,1853,286.8322038316025,285.3642552920048,K,historical,FIO-ESM-2-0,r1i1p1f1
47,Dec,1853,286.47671180103225,284.7640089819945,K,historical,FIO-ESM-2-0,r1i1p1f1
48,Jan,1854,286.21189976806545,284.39830709919363,K,historical,FIO-ESM-2-0,r1i1p1f1
49,Feb,1854,286.74943981800624,284.8725849688009,K,historical,FIO-ESM-2-0,r1i1p1f1
50,Mar,1854,287.3702598577784,285.6034246307614,K,historical,FIO-ESM-2-0,r1i1p1f1
51,Apr,1854,287.98864140692046,286.5821698703571,K,historical,FIO-ESM-2-0,r1i1p1f1
52,May,1854,288.56083751813935,287.52800267210506,K,historical,FIO-ESM-2-0,r1i1p1f1
53,Jun,1854,288.9203102672541,288.21679835569927,K,historical,FIO-ESM-2-0,r1i1p1f1
54,Jul,1854,289.0495289502414,288.5190024627027,K,historical,FIO-ESM-2-0,r1i1p1f1
55,Aug,1854,288.7718872784266,288.16686252842095,K,historical,FIO-ESM-2-0,r1i1p1f1
56,Sep,1854,288.2964431702397,287.5026717794965,K,historical,FIO-ESM-2-0,r1i1p1f1
57,Oct,1854,287.7455598211701,286.53068054337035,K,historical,FIO-ESM-2-0,r1i1p1f1
58,Nov,1854,286.99540063374826,285.43647814042805,K,historical,FIO-ESM-2-0,r1i1p1f1
59,Dec,1854,286.5226948131384,284.8862502118366,K,historical,FIO-ESM-2-0,r1i1p1f1
60,Jan,1855,286.40311072129174,284.6574566942464,K,historical,FIO-ESM-2-0,r1i1p1f1
61,Feb,1855,286.6281696226435,284.87471969050443,K,historical,FIO-ESM-2-0,r1i1p1f1
62,Mar,1855,287.24811518986155,285.5980213443898,K,historical,FIO-ESM-2-0,r1i1p1f1
63,Apr,1855,288.0063990319129,286.59849192635437,K,historical,FIO-ESM-2-0,r1i1p1f1
64,May,1855,288.6275081619616,287.60997606798105,K,historical,FIO-ESM-2-0,r1i1p1f1
65,Jun,1855,288.96298877410186,288.28202783463365,K,historical,FIO-ESM-2-0,r1i1p1f1
66,Jul,1855,289.0728936433845,288.5303585631119,K,historical,FIO-ESM-2-0,r1i1p1f1
67,Aug,1855,288.8960067561477,288.27594989575766,K,historical,FIO-ESM-2-0,r1i1p1f1
68,Sep,1855,288.4472664619268,287.599620176988,K,historical,FIO-ESM-2-0,r1i1p1f1
69,Oct,1855,287.8548319210527,286.6821770343065,K,historical,FIO-ESM-2-0,r1i1p1f1
70,Nov,1855,287.10794038770985,285.6370017304304,K,historical,FIO-ESM-2-0,r1i1p1f1
71,Dec,1855,286.56791547754,284.86152843271594,K,historical,FIO-ESM-2-0,r1i1p1f1
72,Jan,1856,286.27799864330643,284.50724673452453,K,historical,FIO-ESM-2-0,r1i1p1f1
73,Feb,1856,286.70615626182564,284.8501442495759,K,historical,FIO-ESM-2-0,r1i1p1f1
74,Mar,1856,287.19576149354697,285.4701337051955,K,historical,FIO-ESM-2-0,r1i1p1f1
75,Apr,1856,288.1318307207656,286.8108658379646,K,historical,FIO-ESM-2-0,r1i1p1f1
76,May,1856,288.5804516362031,287.5633748888616,K,historical,FIO-ESM-2-0,r1i1p1f1
77,Jun,1856,288.96240114974296,288.2902389673101,K,historical,FIO-ESM-2-0,r1i1p1f1
78,Jul,1856,289.03607783286685,288.4885485367839,K,historical,FIO-ESM-2-0,r1i1p1f1
79,Aug,1856,288.85123760306243,288.2524631193935,K,historical,FIO-ESM-2-0,r1i1p1f1
80,Sep,1856,288.3632588509543,287.51341366244105,K,historical,FIO-ESM-2-0,r1i1p1f1
81,Oct,1856,287.6553726238985,286.494323033127,K,historical,FIO-ESM-2-0,r1i1p1f1
82,Nov,1856,286.9696067831445,285.4388061147061,K,historical,FIO-ESM-2-0,r1i1p1f1
83,Dec,1856,286.5264552153767,284.7435125042316,K,historical,FIO-ESM-2-0,r1i1p1f1
84,Jan,1857,286.28710855310163,284.548875065683,K,historical,FIO-ESM-2-0,r1i1p1f1
85,Feb,1857,286.6109543548248,284.7980018986769,K,historical,FIO-ESM-2-0,r1i1p1f1
86,Mar,1857,287.3772887502129,285.65340737762534,K,historical,FIO-ESM-2-0,r1i1p1f1
87,Apr,1857,287.86228408853674,286.50310126940303,K,historical,FIO-ESM-2-0,r1i1p1f1
88,May,1857,288.63873041723394,287.63438607402935,K,historical,FIO-ESM-2-0,r1i1p1f1
89,Jun,1857,288.9727752286107,288.30372755704127,K,historical,FIO-ESM-2-0,r1i1p1f1
