,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.8459558150985,284.6850288486397,K,historical,HadGEM3-GC31-LL,r3i1p1f3
1,Feb,1850,287.07868297513016,284.9660247852084,K,historical,HadGEM3-GC31-LL,r3i1p1f3
2,Mar,1850,287.5213431430433,285.64600950187463,K,historical,HadGEM3-GC31-LL,r3i1p1f3
3,Apr,1850,288.2890860965263,286.70734999731957,K,historical,HadGEM3-GC31-LL,r3i1p1f3
4,May,1850,288.7499945130411,287.70071318591977,K,historical,HadGEM3-GC31-LL,r3i1p1f3
5,Jun,1850,289.1812448479188,288.4669844641277,K,historical,HadGEM3-GC31-LL,r3i1p1f3
6,Jul,1850,289.59937444449184,288.9904335115396,K,historical,HadGEM3-GC31-LL,r3i1p1f3
7,Aug,1850,289.55825732585714,288.8955242595683,K,historical,HadGEM3-GC31-LL,r3i1p1f3
8,Sep,1850,289.1194003644765,288.22260563505813,K,historical,HadGEM3-GC31-LL,r3i1p1f3
9,Oct,1850,288.3992836809016,287.1046700209775,K,historical,HadGEM3-GC31-LL,r3i1p1f3
10,Nov,1850,287.5383890413897,285.8983023674467,K,historical,HadGEM3-GC31-LL,r3i1p1f3
11,Dec,1850,286.91430116002624,284.8989511386855,K,historical,HadGEM3-GC31-LL,r3i1p1f3
12,Jan,1851,286.5632434859183,284.5886060211863,K,historical,HadGEM3-GC31-LL,r3i1p1f3
13,Feb,1851,286.8236733813686,284.7747540900526,K,historical,HadGEM3-GC31-LL,r3i1p1f3
14,Mar,1851,287.3670472308017,285.4554914373492,K,historical,HadGEM3-GC31-LL,r3i1p1f3
15,Apr,1851,287.99898382474885,286.4824721243749,K,historical,HadGEM3-GC31-LL,r3i1p1f3
16,May,1851,288.52226160442325,287.48225362651266,K,historical,HadGEM3-GC31-LL,r3i1p1f3
17,Jun,1851,289.09144202974176,288.40622408483534,K,historical,HadGEM3-GC31-LL,r3i1p1f3
18,Jul,1851,289.6520958810098,289.02101127278354,K,historical,HadGEM3-GC31-LL,r3i1p1f3
19,Aug,1851,289.5377660111925,288.8537096780148,K,historical,HadGEM3-GC31-LL,r3i1p1f3
20,Sep,1851,289.0452756761003,288.16245796379906,K,historical,HadGEM3-GC31-LL,r3i1p1f3
21,Oct,1851,288.553706055215,287.28600511077457,K,historical,HadGEM3-GC31-LL,r3i1p1f3
22,Nov,1851,287.81457368375555,286.1332920942905,K,historical,HadGEM3-GC31-LL,r3i1p1f3
23,Dec,1851,287.0352976425781,285.10408767885343,K,historical,HadGEM3-GC31-LL,r3i1p1f3
24,Jan,1852,286.81257447580725,284.7906871543054,K,historical,HadGEM3-GC31-LL,r3i1p1f3
25,Feb,1852,286.90516353838325,284.91946381440846,K,historical,HadGEM3-GC31-LL,r3i1p1f3
26,Mar,1852,287.51086586358576,285.6225700135991,K,historical,HadGEM3-GC31-LL,r3i1p1f3
27,Apr,1852,288.2664749246985,286.77305893873256,K,historical,HadGEM3-GC31-LL,r3i1p1f3
28,May,1852,288.81897830372833,287.80156271588777,K,historical,HadGEM3-GC31-LL,r3i1p1f3
29,Jun,1852,289.2681170181087,288.5459155417136,K,historical,HadGEM3-GC31-LL,r3i1p1f3
30,Jul,1852,289.70913438430574,289.07889951427717,K,historical,HadGEM3-GC31-LL,r3i1p1f3
31,Aug,1852,289.74827412689143,289.07839867891084,K,historical,HadGEM3-GC31-LL,r3i1p1f3
32,Sep,1852,289.2125846456469,288.32758288185437,K,historical,HadGEM3-GC31-LL,r3i1p1f3
33,Oct,1852,288.57596193503946,287.30592706205783,K,historical,HadGEM3-GC31-LL,r3i1p1f3
34,Nov,1852,287.97630111943494,286.2250770575933,K,historical,HadGEM3-GC31-LL,r3i1p1f3
35,Dec,1852,287.3799502418768,285.46594450495786,K,historical,HadGEM3-GC31-LL,r3i1p1f3
36,Jan,1853,287.26964238347836,285.1870303655203,K,historical,HadGEM3-GC31-LL,r3i1p1f3
37,Feb,1853,287.1567603159936,285.1263282597125,K,historical,HadGEM3-GC31-LL,r3i1p1f3
38,Mar,1853,287.65325075443786,285.7512999676358,K,historical,HadGEM3-GC31-LL,r3i1p1f3
39,Apr,1853,288.42128695389954,286.92037172748365,K,historical,HadGEM3-GC31-LL,r3i1p1f3
40,May,1853,288.8414467259362,287.8263296499995,K,historical,HadGEM3-GC31-LL,r3i1p1f3
41,Jun,1853,289.3535840614976,288.65085971935156,K,historical,HadGEM3-GC31-LL,r3i1p1f3
