,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.84129014193394,284.8744592068456,K,historical,HadGEM3-GC31-MM,r3i1p1f3
1,Feb,1850,286.90022469481033,284.9665905502325,K,historical,HadGEM3-GC31-MM,r3i1p1f3
2,Mar,1850,287.532667036445,285.72884989469367,K,historical,HadGEM3-GC31-MM,r3i1p1f3
3,Apr,1850,288.1316923678901,286.6461450708211,K,historical,HadGEM3-GC31-MM,r3i1p1f3
4,May,1850,288.7010950404723,287.73209996136256,K,historical,HadGEM3-GC31-MM,r3i1p1f3
5,Jun,1850,289.30574827130073,288.61523351174645,K,historical,HadGEM3-GC31-MM,r3i1p1f3
6,Jul,1850,289.6655139649336,289.0531548410218,K,historical,HadGEM3-GC31-MM,r3i1p1f3
7,Aug,1850,289.6680171762253,289.015482528626,K,historical,HadGEM3-GC31-MM,r3i1p1f3
8,Sep,1850,289.04743150616105,288.16801383609214,K,historical,HadGEM3-GC31-MM,r3i1p1f3
9,Oct,1850,288.43906380979564,287.2376341143195,K,historical,HadGEM3-GC31-MM,r3i1p1f3
10,Nov,1850,287.757439210301,286.08111091779665,K,historical,HadGEM3-GC31-MM,r3i1p1f3
11,Dec,1850,287.01663500904755,285.1319263907356,K,historical,HadGEM3-GC31-MM,r3i1p1f3
12,Jan,1851,286.7825444714006,284.9172223344683,K,historical,HadGEM3-GC31-MM,r3i1p1f3
13,Feb,1851,287.0690717587379,285.1849715981073,K,historical,HadGEM3-GC31-MM,r3i1p1f3
14,Mar,1851,287.58308100315804,285.85124546232026,K,historical,HadGEM3-GC31-MM,r3i1p1f3
15,Apr,1851,288.29067519777783,286.8161550036273,K,historical,HadGEM3-GC31-MM,r3i1p1f3
16,May,1851,288.79975590057694,287.781799945438,K,historical,HadGEM3-GC31-MM,r3i1p1f3
17,Jun,1851,289.31208297229705,288.60442474709015,K,historical,HadGEM3-GC31-MM,r3i1p1f3
18,Jul,1851,289.79460328209865,289.17949944395474,K,historical,HadGEM3-GC31-MM,r3i1p1f3
19,Aug,1851,289.66893840249594,289.02288528557057,K,historical,HadGEM3-GC31-MM,r3i1p1f3
20,Sep,1851,289.12432665481333,288.28817098389453,K,historical,HadGEM3-GC31-MM,r3i1p1f3
21,Oct,1851,288.63907416698555,287.43167477120426,K,historical,HadGEM3-GC31-MM,r3i1p1f3
22,Nov,1851,287.8048397805709,286.23829199925683,K,historical,HadGEM3-GC31-MM,r3i1p1f3
23,Dec,1851,287.34551337174554,285.48227426543787,K,historical,HadGEM3-GC31-MM,r3i1p1f3
24,Jan,1852,286.9641911304943,285.1096736013506,K,historical,HadGEM3-GC31-MM,r3i1p1f3
25,Feb,1852,287.09933004905866,285.21120817710437,K,historical,HadGEM3-GC31-MM,r3i1p1f3
26,Mar,1852,287.6819029587069,285.902428058651,K,historical,HadGEM3-GC31-MM,r3i1p1f3
27,Apr,1852,288.43789439393544,286.9584595296245,K,historical,HadGEM3-GC31-MM,r3i1p1f3
28,May,1852,288.9329868875153,287.93191081082614,K,historical,HadGEM3-GC31-MM,r3i1p1f3
29,Jun,1852,289.55636564342245,288.8551218741387,K,historical,HadGEM3-GC31-MM,r3i1p1f3
30,Jul,1852,289.76115736013213,289.15199646069135,K,historical,HadGEM3-GC31-MM,r3i1p1f3
31,Aug,1852,289.8255407229741,289.16132417048107,K,historical,HadGEM3-GC31-MM,r3i1p1f3
32,Sep,1852,289.3606183158564,288.5130866696622,K,historical,HadGEM3-GC31-MM,r3i1p1f3
33,Oct,1852,288.62403502084743,287.4403653711152,K,historical,HadGEM3-GC31-MM,r3i1p1f3
34,Nov,1852,287.808149194613,286.2277956655485,K,historical,HadGEM3-GC31-MM,r3i1p1f3
35,Dec,1852,286.9725034964266,285.18381160493385,K,historical,HadGEM3-GC31-MM,r3i1p1f3
36,Jan,1853,286.8044244622662,284.8646490677655,K,historical,HadGEM3-GC31-MM,r3i1p1f3
37,Feb,1853,286.9054178009932,285.03115941388455,K,historical,HadGEM3-GC31-MM,r3i1p1f3
38,Mar,1853,287.61863365351206,285.87382440542865,K,historical,HadGEM3-GC31-MM,r3i1p1f3
39,Apr,1853,288.2579734393825,286.9026568600986,K,historical,HadGEM3-GC31-MM,r3i1p1f3
40,May,1853,288.87633435295044,287.9380087236453,K,historical,HadGEM3-GC31-MM,r3i1p1f3
41,Jun,1853,289.3779266703642,288.6851865259995,K,historical,HadGEM3-GC31-MM,r3i1p1f3
42,Jul,1853,289.8275232767929,289.22784335348575,K,historical,HadGEM3-GC31-MM,r3i1p1f3
43,Aug,1853,289.66836593664874,289.03100359176324,K,historical,HadGEM3-GC31-MM,r3i1p1f3
44,Sep,1853,289.14327009482054,288.3164968103163,K,historical,HadGEM3-GC31-MM,r3i1p1f3
45,Oct,1853,288.5063686774414,287.3298891036204,K,historical,HadGEM3-GC31-MM,r3i1p1f3
46,Nov,1853,287.6576046028832,286.0933624725135,K,historical,HadGEM3-GC31-MM,r3i1p1f3
47,Dec,1853,286.92366210652784,285.08802062785514,K,historical,HadGEM3-GC31-MM,r3i1p1f3
48,Jan,1854,286.87815607714543,285.008526143711,K,historical,HadGEM3-GC31-MM,r3i1p1f3
49,Feb,1854,286.95443459705155,285.06926432396136,K,historical,HadGEM3-GC31-MM,r3i1p1f3
50,Mar,1854,287.4971374504305,285.6917174461716,K,historical,HadGEM3-GC31-MM,r3i1p1f3
51,Apr,1854,288.0915992591855,286.66466417596035,K,historical,HadGEM3-GC31-MM,r3i1p1f3
52,May,1854,288.633773754333,287.6323971003207,K,historical,HadGEM3-GC31-MM,r3i1p1f3
53,Jun,1854,289.1582459438333,288.46153734334126,K,historical,HadGEM3-GC31-MM,r3i1p1f3
54,Jul,1854,289.47396823141594,288.8661546321405,K,historical,HadGEM3-GC31-MM,r3i1p1f3
55,Aug,1854,289.36110047459636,288.7019265254493,K,historical,HadGEM3-GC31-MM,r3i1p1f3
56,Sep,1854,288.9675889135029,288.08894035492676,K,historical,HadGEM3-GC31-MM,r3i1p1f3
57,Oct,1854,288.2931182584529,287.04917657154505,K,historical,HadGEM3-GC31-MM,r3i1p1f3
58,Nov,1854,287.68406352367884,286.1050115523692,K,historical,HadGEM3-GC31-MM,r3i1p1f3
59,Dec,1854,286.8786466239761,285.0484906378566,K,historical,HadGEM3-GC31-MM,r3i1p1f3
60,Jan,1855,286.77390969262865,284.92393198930847,K,historical,HadGEM3-GC31-MM,r3i1p1f3
61,Feb,1855,286.73148658685557,284.78679149774797,K,historical,HadGEM3-GC31-MM,r3i1p1f3
62,Mar,1855,287.34201829467986,285.56601708198076,K,historical,HadGEM3-GC31-MM,r3i1p1f3
63,Apr,1855,287.9206626603641,286.54007503699586,K,historical,HadGEM3-GC31-MM,r3i1p1f3
64,May,1855,288.68894941227325,287.68911441584464,K,historical,HadGEM3-GC31-MM,r3i1p1f3
65,Jun,1855,289.1538623150958,288.44782799310764,K,historical,HadGEM3-GC31-MM,r3i1p1f3
66,Jul,1855,289.6483688683578,289.0552210625038,K,historical,HadGEM3-GC31-MM,r3i1p1f3
67,Aug,1855,289.50669801100116,288.85256597002484,K,historical,HadGEM3-GC31-MM,r3i1p1f3
68,Sep,1855,289.25452669421924,288.38702433414466,K,historical,HadGEM3-GC31-MM,r3i1p1f3
69,Oct,1855,288.5049337065555,287.3168125506622,K,historical,HadGEM3-GC31-MM,r3i1p1f3
70,Nov,1855,287.71828962227585,286.11293900336534,K,historical,HadGEM3-GC31-MM,r3i1p1f3
71,Dec,1855,287.07727738967577,285.22698041638785,K,historical,HadGEM3-GC31-MM,r3i1p1f3
72,Jan,1856,286.7777068964846,284.83618458307205,K,historical,HadGEM3-GC31-MM,r3i1p1f3
73,Feb,1856,287.09212687489673,285.1569977236566,K,historical,HadGEM3-GC31-MM,r3i1p1f3
74,Mar,1856,287.47911937734085,285.72003500326593,K,historical,HadGEM3-GC31-MM,r3i1p1f3
75,Apr,1856,288.27840877192835,286.8186770885724,K,historical,HadGEM3-GC31-MM,r3i1p1f3
76,May,1856,288.833918708557,287.80125802439113,K,historical,HadGEM3-GC31-MM,r3i1p1f3
77,Jun,1856,289.4707028999862,288.7582459472624,K,historical,HadGEM3-GC31-MM,r3i1p1f3
78,Jul,1856,289.77928194976477,289.16484521936405,K,historical,HadGEM3-GC31-MM,r3i1p1f3
79,Aug,1856,289.76763321084434,289.1084487087255,K,historical,HadGEM3-GC31-MM,r3i1p1f3
80,Sep,1856,289.2623959388945,288.38470570482116,K,historical,HadGEM3-GC31-MM,r3i1p1f3
81,Oct,1856,288.58992609169917,287.37103274524884,K,historical,HadGEM3-GC31-MM,r3i1p1f3
82,Nov,1856,287.8037090363793,286.2169648804897,K,historical,HadGEM3-GC31-MM,r3i1p1f3
83,Dec,1856,286.97054446387637,285.1223598640184,K,historical,HadGEM3-GC31-MM,r3i1p1f3
84,Jan,1857,286.89215882712904,285.06712882533077,K,historical,HadGEM3-GC31-MM,r3i1p1f3
85,Feb,1857,286.98217650991114,285.052649991121,K,historical,HadGEM3-GC31-MM,r3i1p1f3
86,Mar,1857,287.49622170505614,285.76657194774515,K,historical,HadGEM3-GC31-MM,r3i1p1f3
87,Apr,1857,288.167268872188,286.80420039701534,K,historical,HadGEM3-GC31-MM,r3i1p1f3
88,May,1857,288.6834059214581,287.67317760225967,K,historical,HadGEM3-GC31-MM,r3i1p1f3
89,Jun,1857,289.2941889935017,288.60280525688916,K,historical,HadGEM3-GC31-MM,r3i1p1f3
90,Jul,1857,289.53276362320486,288.931849255833,K,historical,HadGEM3-GC31-MM,r3i1p1f3
