,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,287.3847520892864,285.3839608549672,K,ssp370,INM-CM5-0,r1i1p1f1
1,Feb,2015,287.60814486889313,285.62726247774793,K,ssp370,INM-CM5-0,r1i1p1f1
2,Mar,2015,288.02082783720704,286.3473520767595,K,ssp370,INM-CM5-0,r1i1p1f1
3,Apr,2015,288.877354720695,287.5233096177235,K,ssp370,INM-CM5-0,r1i1p1f1
4,May,2015,289.33954978176564,288.41122030478203,K,ssp370,INM-CM5-0,r1i1p1f1
5,Jun,2015,289.7345059014147,289.06705782964184,K,ssp370,INM-CM5-0,r1i1p1f1
6,Jul,2015,289.953433051402,289.37950615749565,K,ssp370,INM-CM5-0,r1i1p1f1
7,Aug,2015,289.7916507815623,289.15389024835554,K,ssp370,INM-CM5-0,r1i1p1f1
8,Sep,2015,289.07284924733716,288.2037190848678,K,ssp370,INM-CM5-0,r1i1p1f1
9,Oct,2015,288.47063342193223,287.2900596624209,K,ssp370,INM-CM5-0,r1i1p1f1
10,Nov,2015,287.7779586593486,286.2048846010307,K,ssp370,INM-CM5-0,r1i1p1f1
11,Dec,2015,287.31240880199874,285.472176959032,K,ssp370,INM-CM5-0,r1i1p1f1
12,Jan,2016,287.089092589374,285.209995014013,K,ssp370,INM-CM5-0,r1i1p1f1
13,Feb,2016,287.53072597556866,285.63393010402564,K,ssp370,INM-CM5-0,r1i1p1f1
14,Mar,2016,288.10194077543514,286.33450425522926,K,ssp370,INM-CM5-0,r1i1p1f1
15,Apr,2016,288.7770791275182,287.39010608500445,K,ssp370,INM-CM5-0,r1i1p1f1
16,May,2016,289.1687652260181,288.1715347637148,K,ssp370,INM-CM5-0,r1i1p1f1
17,Jun,2016,289.7964576886495,289.0622243697813,K,ssp370,INM-CM5-0,r1i1p1f1
18,Jul,2016,289.9782969569767,289.36654579374346,K,ssp370,INM-CM5-0,r1i1p1f1
19,Aug,2016,289.66913612266865,288.9860411250509,K,ssp370,INM-CM5-0,r1i1p1f1
20,Sep,2016,288.9870374402704,288.10846673413494,K,ssp370,INM-CM5-0,r1i1p1f1
21,Oct,2016,288.32822367810286,287.07013097100196,K,ssp370,INM-CM5-0,r1i1p1f1
22,Nov,2016,287.6889278575294,286.1848530427918,K,ssp370,INM-CM5-0,r1i1p1f1
23,Dec,2016,287.3421816975178,285.5513292694575,K,ssp370,INM-CM5-0,r1i1p1f1
24,Jan,2017,287.22454656398304,285.31909087971263,K,ssp370,INM-CM5-0,r1i1p1f1
25,Feb,2017,287.49085462026915,285.53739679993646,K,ssp370,INM-CM5-0,r1i1p1f1
26,Mar,2017,288.01593229844127,286.26563455336736,K,ssp370,INM-CM5-0,r1i1p1f1
27,Apr,2017,288.8156470472697,287.42455403902017,K,ssp370,INM-CM5-0,r1i1p1f1
28,May,2017,289.3896073469753,288.3978925004257,K,ssp370,INM-CM5-0,r1i1p1f1
29,Jun,2017,289.6386858592759,288.9547896415587,K,ssp370,INM-CM5-0,r1i1p1f1
30,Jul,2017,289.97705880414605,289.37169658729675,K,ssp370,INM-CM5-0,r1i1p1f1
31,Aug,2017,289.77462410492785,289.1313595005065,K,ssp370,INM-CM5-0,r1i1p1f1
32,Sep,2017,289.1526028287682,288.2648951367411,K,ssp370,INM-CM5-0,r1i1p1f1
33,Oct,2017,288.60570197551544,287.3604103360431,K,ssp370,INM-CM5-0,r1i1p1f1
34,Nov,2017,288.0146056603641,286.4136326799927,K,ssp370,INM-CM5-0,r1i1p1f1
35,Dec,2017,287.38733827962017,285.56070870055265,K,ssp370,INM-CM5-0,r1i1p1f1
36,Jan,2018,287.27102236326294,285.3735298543299,K,ssp370,INM-CM5-0,r1i1p1f1
37,Feb,2018,287.50224467603795,285.68538420099327,K,ssp370,INM-CM5-0,r1i1p1f1
38,Mar,2018,287.98249260711816,286.3054271184743,K,ssp370,INM-CM5-0,r1i1p1f1
39,Apr,2018,288.82698993262244,287.4413463461826,K,ssp370,INM-CM5-0,r1i1p1f1
40,May,2018,289.3324707614141,288.36193125289384,K,ssp370,INM-CM5-0,r1i1p1f1
41,Jun,2018,289.7979298947384,289.12428144146213,K,ssp370,INM-CM5-0,r1i1p1f1
42,Jul,2018,290.02827596375903,289.4391395979822,K,ssp370,INM-CM5-0,r1i1p1f1
43,Aug,2018,289.9423758598466,289.27953204660037,K,ssp370,INM-CM5-0,r1i1p1f1
44,Sep,2018,289.31864154574566,288.42363531451923,K,ssp370,INM-CM5-0,r1i1p1f1
45,Oct,2018,288.73804851195894,287.53416343848903,K,ssp370,INM-CM5-0,r1i1p1f1
46,Nov,2018,288.09333045292954,286.5787811752513,K,ssp370,INM-CM5-0,r1i1p1f1
47,Dec,2018,287.56457152240586,285.9224645855281,K,ssp370,INM-CM5-0,r1i1p1f1
48,Jan,2019,287.4113907798619,285.57045119157453,K,ssp370,INM-CM5-0,r1i1p1f1
49,Feb,2019,287.391748286516,285.5965059233809,K,ssp370,INM-CM5-0,r1i1p1f1
50,Mar,2019,288.09290973645795,286.45836506004156,K,ssp370,INM-CM5-0,r1i1p1f1
51,Apr,2019,288.8481092231132,287.49345562026537,K,ssp370,INM-CM5-0,r1i1p1f1
52,May,2019,289.3997576107709,288.44278789066163,K,ssp370,INM-CM5-0,r1i1p1f1
