,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,285.7947245845958,283.9204763311465,K,historical,IPSL-CM6A-LR,r6i1p1f1
1,Feb,1850,286.16566530583674,284.3037776998618,K,historical,IPSL-CM6A-LR,r6i1p1f1
2,Mar,1850,286.5916826479381,284.8644351525511,K,historical,IPSL-CM6A-LR,r6i1p1f1
3,Apr,1850,287.2325568778349,285.85390126548754,K,historical,IPSL-CM6A-LR,r6i1p1f1
4,May,1850,287.55620527444603,286.57557243237824,K,historical,IPSL-CM6A-LR,r6i1p1f1
5,Jun,1850,288.0235482732408,287.4082287255005,K,historical,IPSL-CM6A-LR,r6i1p1f1
6,Jul,1850,288.3572197513276,287.8518665230093,K,historical,IPSL-CM6A-LR,r6i1p1f1
7,Aug,1850,288.23678006999586,287.67525084487863,K,historical,IPSL-CM6A-LR,r6i1p1f1
8,Sep,1850,287.96156954251046,287.21870578940377,K,historical,IPSL-CM6A-LR,r6i1p1f1
9,Oct,1850,287.1142292072668,286.0489825207809,K,historical,IPSL-CM6A-LR,r6i1p1f1
10,Nov,1850,286.44343585212295,284.9741151137879,K,historical,IPSL-CM6A-LR,r6i1p1f1
11,Dec,1850,285.86417445504344,284.08223160837974,K,historical,IPSL-CM6A-LR,r6i1p1f1
12,Jan,1851,285.7162808389002,283.8174427353317,K,historical,IPSL-CM6A-LR,r6i1p1f1
13,Feb,1851,286.10352041576493,284.3838295878415,K,historical,IPSL-CM6A-LR,r6i1p1f1
14,Mar,1851,286.5280267607956,284.8206964853611,K,historical,IPSL-CM6A-LR,r6i1p1f1
15,Apr,1851,287.1585639143165,285.7665670470018,K,historical,IPSL-CM6A-LR,r6i1p1f1
16,May,1851,287.71374350182913,286.7521703640237,K,historical,IPSL-CM6A-LR,r6i1p1f1
17,Jun,1851,288.1063429306191,287.49150127375276,K,historical,IPSL-CM6A-LR,r6i1p1f1
18,Jul,1851,288.586578306095,288.0928203825786,K,historical,IPSL-CM6A-LR,r6i1p1f1
19,Aug,1851,288.5884280268959,288.0426651483286,K,historical,IPSL-CM6A-LR,r6i1p1f1
20,Sep,1851,288.16105268168747,287.3998087023011,K,historical,IPSL-CM6A-LR,r6i1p1f1
21,Oct,1851,287.34049117409995,286.16737659713533,K,historical,IPSL-CM6A-LR,r6i1p1f1
22,Nov,1851,286.50982792074984,284.9761395915948,K,historical,IPSL-CM6A-LR,r6i1p1f1
23,Dec,1851,285.78101059753783,284.1658271454895,K,historical,IPSL-CM6A-LR,r6i1p1f1
24,Jan,1852,285.57220367971837,283.6754226281231,K,historical,IPSL-CM6A-LR,r6i1p1f1
25,Feb,1852,286.0720614118114,284.10206767651414,K,historical,IPSL-CM6A-LR,r6i1p1f1
26,Mar,1852,286.8055800563924,285.0172723011094,K,historical,IPSL-CM6A-LR,r6i1p1f1
27,Apr,1852,287.3109046110133,285.88489136738787,K,historical,IPSL-CM6A-LR,r6i1p1f1
28,May,1852,287.80311075663616,286.8727280914714,K,historical,IPSL-CM6A-LR,r6i1p1f1
29,Jun,1852,288.16465277093107,287.53740828651104,K,historical,IPSL-CM6A-LR,r6i1p1f1
30,Jul,1852,288.56619086357256,288.06319771471703,K,historical,IPSL-CM6A-LR,r6i1p1f1
31,Aug,1852,288.5675545967334,288.00026949135497,K,historical,IPSL-CM6A-LR,r6i1p1f1
32,Sep,1852,288.01181206959046,287.2494488868095,K,historical,IPSL-CM6A-LR,r6i1p1f1
33,Oct,1852,287.3609074401235,286.179548839519,K,historical,IPSL-CM6A-LR,r6i1p1f1
34,Nov,1852,286.5502004312771,284.9095184258174,K,historical,IPSL-CM6A-LR,r6i1p1f1
35,Dec,1852,286.08381516850415,284.2286736322161,K,historical,IPSL-CM6A-LR,r6i1p1f1
36,Jan,1853,285.8358854521839,283.93383015836406,K,historical,IPSL-CM6A-LR,r6i1p1f1
37,Feb,1853,286.1713087859738,284.23635105105967,K,historical,IPSL-CM6A-LR,r6i1p1f1
38,Mar,1853,286.7053725625778,284.94530484688664,K,historical,IPSL-CM6A-LR,r6i1p1f1
39,Apr,1853,287.3255237597128,285.95704002365346,K,historical,IPSL-CM6A-LR,r6i1p1f1
