,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,286.77132925790266,285.1218260817541,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
1,Feb,2015,286.83347189465957,285.11862696379313,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
2,Mar,2015,287.54498425494023,285.9276717006263,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
3,Apr,2015,288.35989078819887,287.031113665776,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
4,May,2015,289.01100437084864,288.07885727895075,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
5,Jun,2015,289.50647121323993,288.8586811962452,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
6,Jul,2015,289.84643283469893,289.34102486668104,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
7,Aug,2015,289.68143753380855,289.15518379873834,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
8,Sep,2015,289.35016155182063,288.6815091499461,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
9,Oct,2015,288.4932894214685,287.5184255469083,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
10,Nov,2015,287.69711677275274,286.40227863174744,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
11,Dec,2015,287.1474234773911,285.6201766772216,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
12,Jan,2016,286.8911938952506,285.1141905608789,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
13,Feb,2016,287.09136926754644,285.4225635297303,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
14,Mar,2016,287.6961657651174,286.125662991342,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
15,Apr,2016,288.46340978949013,287.12757126455654,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
16,May,2016,289.04482501866306,288.0948251703296,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
17,Jun,2016,289.4242327684474,288.79788392061045,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
18,Jul,2016,289.6361908600025,289.1700374499973,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
19,Aug,2016,289.738807768682,289.2171601041464,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
20,Sep,2016,289.28854170382454,288.58199445180145,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
21,Oct,2016,288.3825475628135,287.42019736969655,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
22,Nov,2016,287.7349091967347,286.36894797384593,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
23,Dec,2016,286.9633128950713,285.27252703513744,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
24,Jan,2017,286.8595800082782,285.1911172521974,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
25,Feb,2017,287.08500636011104,285.38012205564905,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
26,Mar,2017,287.6124439446202,285.9660383463611,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
27,Apr,2017,288.35881154564026,287.06852313419154,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
28,May,2017,288.7831767873382,287.8535155289685,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
29,Jun,2017,289.2489939309091,288.6241079664646,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
30,Jul,2017,289.52059733227685,289.0272713634797,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
31,Aug,2017,289.74608657906685,289.23530469417983,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
32,Sep,2017,289.231340153256,288.5582693686657,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
33,Oct,2017,288.47826941717875,287.4920572833641,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
34,Nov,2017,287.4312238743572,286.25953600330234,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
35,Dec,2017,286.8546969741401,285.4052994667183,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
36,Jan,2018,286.7522094439753,284.99468752614115,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
37,Feb,2018,286.8362159087697,285.09220919764465,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
38,Mar,2018,287.51560377847494,285.9392324950065,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
39,Apr,2018,288.2222159084702,286.957255876992,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
40,May,2018,288.8792744960445,287.9510570596754,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
41,Jun,2018,289.43219091620756,288.84209662367255,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
42,Jul,2018,289.77066855443934,289.3037336325742,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
43,Aug,2018,289.7918248498067,289.27064770473805,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
44,Sep,2018,289.3267153893,288.6484335496679,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
45,Oct,2018,288.5407248096258,287.6094716229048,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
46,Nov,2018,287.7535526458485,286.5804394112014,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
47,Dec,2018,287.3483665709888,285.8062909967394,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
48,Jan,2019,287.0884414383986,285.5334573723042,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
49,Feb,2019,287.3813924251412,285.6140450360415,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
50,Mar,2019,288.1142199800607,286.4935618194741,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
51,Apr,2019,288.64509213731213,287.3229521225424,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
52,May,2019,289.130229790601,288.19202732027975,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
53,Jun,2019,289.56438693537694,288.96034084534614,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
54,Jul,2019,289.9217255742326,289.43284833067855,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
55,Aug,2019,289.96729248711017,289.4669451378897,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
56,Sep,2019,289.4899951148034,288.8347384636796,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
57,Oct,2019,288.68883138834883,287.79171609270674,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
58,Nov,2019,288.1624770595358,286.96028122636363,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
59,Dec,2019,287.3811731937394,285.92682798831686,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
60,Jan,2020,287.4230133533457,285.64260100762317,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
61,Feb,2020,287.6896657296676,285.97584728627714,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
62,Mar,2020,288.1285957734994,286.6337545636654,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
63,Apr,2020,288.4922962264762,287.1635504515207,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
64,May,2020,289.0631178926288,288.18118374720586,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
65,Jun,2020,289.48342221361327,288.87655272103166,K,ssp370,IPSL-CM6A-LR,r14i1p1f1
