,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.74267190710333,284.55187632552804,K,historical,KACE-1-0-G,r1i1p1f1
1,Feb,1850,286.7967761746374,284.6444484567761,K,historical,KACE-1-0-G,r1i1p1f1
2,Mar,1850,287.58447973356454,285.60297490301815,K,historical,KACE-1-0-G,r1i1p1f1
3,Apr,1850,288.1685195156114,286.6804602363849,K,historical,KACE-1-0-G,r1i1p1f1
4,May,1850,288.7251777683975,287.67718744392545,K,historical,KACE-1-0-G,r1i1p1f1
5,Jun,1850,289.18144575153235,288.4247270216091,K,historical,KACE-1-0-G,r1i1p1f1
6,Jul,1850,289.4605963189396,288.83027239431635,K,historical,KACE-1-0-G,r1i1p1f1
7,Aug,1850,289.4402500685599,288.71805021113994,K,historical,KACE-1-0-G,r1i1p1f1
8,Sep,1850,288.85417247121654,287.94513639705235,K,historical,KACE-1-0-G,r1i1p1f1
9,Oct,1850,288.10066123342506,286.8087038336597,K,historical,KACE-1-0-G,r1i1p1f1
10,Nov,1850,287.2013974374272,285.4698374570676,K,historical,KACE-1-0-G,r1i1p1f1
11,Dec,1850,286.69303365939845,284.74986725901067,K,historical,KACE-1-0-G,r1i1p1f1
12,Jan,1851,286.8537406336085,284.7687032122246,K,historical,KACE-1-0-G,r1i1p1f1
13,Feb,1851,286.89066327987166,284.89118652950964,K,historical,KACE-1-0-G,r1i1p1f1
14,Mar,1851,287.406992220532,285.5137930941646,K,historical,KACE-1-0-G,r1i1p1f1
15,Apr,1851,288.19440855972755,286.5881620198249,K,historical,KACE-1-0-G,r1i1p1f1
16,May,1851,288.6527448787478,287.5625928595043,K,historical,KACE-1-0-G,r1i1p1f1
17,Jun,1851,288.9924739596432,288.25230059782706,K,historical,KACE-1-0-G,r1i1p1f1
18,Jul,1851,289.3426230789336,288.7194880898675,K,historical,KACE-1-0-G,r1i1p1f1
19,Aug,1851,289.32306967889104,288.64960774109556,K,historical,KACE-1-0-G,r1i1p1f1
20,Sep,1851,288.7719318845861,287.8641064378039,K,historical,KACE-1-0-G,r1i1p1f1
21,Oct,1851,288.081123485992,286.7633767462727,K,historical,KACE-1-0-G,r1i1p1f1
22,Nov,1851,287.27109432888534,285.5042770622162,K,historical,KACE-1-0-G,r1i1p1f1
23,Dec,1851,286.61907238535736,284.64490331082436,K,historical,KACE-1-0-G,r1i1p1f1
24,Jan,1852,286.71401596300825,284.60233131011745,K,historical,KACE-1-0-G,r1i1p1f1
25,Feb,1852,286.9728300560176,284.83961335962243,K,historical,KACE-1-0-G,r1i1p1f1
26,Mar,1852,287.6279933488358,285.67405237235613,K,historical,KACE-1-0-G,r1i1p1f1
27,Apr,1852,288.10693449128524,286.60655651200716,K,historical,KACE-1-0-G,r1i1p1f1
28,May,1852,288.5081469600638,287.4476113353673,K,historical,KACE-1-0-G,r1i1p1f1
29,Jun,1852,289.0416615298028,288.30148576166795,K,historical,KACE-1-0-G,r1i1p1f1
30,Jul,1852,289.39153509582314,288.7772080206008,K,historical,KACE-1-0-G,r1i1p1f1
31,Aug,1852,289.31580967926993,288.6252090705209,K,historical,KACE-1-0-G,r1i1p1f1
32,Sep,1852,288.8218616581861,287.8719692152296,K,historical,KACE-1-0-G,r1i1p1f1
33,Oct,1852,288.073223811456,286.7596164206153,K,historical,KACE-1-0-G,r1i1p1f1
34,Nov,1852,287.3293874978953,285.6584829708939,K,historical,KACE-1-0-G,r1i1p1f1
35,Dec,1852,287.1722395547291,285.1701301347188,K,historical,KACE-1-0-G,r1i1p1f1
36,Jan,1853,287.0506842089714,284.87475088982217,K,historical,KACE-1-0-G,r1i1p1f1
37,Feb,1853,287.2153230166067,285.0667147027709,K,historical,KACE-1-0-G,r1i1p1f1
38,Mar,1853,287.69732498506846,285.7492776319957,K,historical,KACE-1-0-G,r1i1p1f1
39,Apr,1853,288.4238604294932,286.78444658249276,K,historical,KACE-1-0-G,r1i1p1f1
40,May,1853,288.7863903296877,287.69124557802786,K,historical,KACE-1-0-G,r1i1p1f1
41,Jun,1853,289.09140814592166,288.3567582379361,K,historical,KACE-1-0-G,r1i1p1f1
42,Jul,1853,289.38226394917683,288.75691593316196,K,historical,KACE-1-0-G,r1i1p1f1
43,Aug,1853,289.2530458059717,288.57715873188664,K,historical,KACE-1-0-G,r1i1p1f1
44,Sep,1853,288.76205404944557,287.849692734637,K,historical,KACE-1-0-G,r1i1p1f1
45,Oct,1853,288.07964058165976,286.8082555546676,K,historical,KACE-1-0-G,r1i1p1f1
46,Nov,1853,287.32535145509064,285.554456829794,K,historical,KACE-1-0-G,r1i1p1f1
47,Dec,1853,286.90954164207733,284.8193450540514,K,historical,KACE-1-0-G,r1i1p1f1
48,Jan,1854,286.67068004913625,284.6445887919419,K,historical,KACE-1-0-G,r1i1p1f1
49,Feb,1854,287.15471586855386,285.0428633187983,K,historical,KACE-1-0-G,r1i1p1f1
50,Mar,1854,287.4977657806654,285.59736206846645,K,historical,KACE-1-0-G,r1i1p1f1
51,Apr,1854,288.14664913881796,286.6439237682273,K,historical,KACE-1-0-G,r1i1p1f1
52,May,1854,288.566046794506,287.53501970724767,K,historical,KACE-1-0-G,r1i1p1f1
53,Jun,1854,289.0635504251278,288.3385522201221,K,historical,KACE-1-0-G,r1i1p1f1
54,Jul,1854,289.299446752277,288.70248867315917,K,historical,KACE-1-0-G,r1i1p1f1
55,Aug,1854,289.3576637874894,288.65730803529567,K,historical,KACE-1-0-G,r1i1p1f1
56,Sep,1854,288.66211058140567,287.75049596827614,K,historical,KACE-1-0-G,r1i1p1f1
57,Oct,1854,288.0211256954087,286.7894992045721,K,historical,KACE-1-0-G,r1i1p1f1
58,Nov,1854,287.1767213713771,285.5105639209514,K,historical,KACE-1-0-G,r1i1p1f1
59,Dec,1854,286.60100125815313,284.69836529223005,K,historical,KACE-1-0-G,r1i1p1f1
60,Jan,1855,286.81404886363293,284.7163348399719,K,historical,KACE-1-0-G,r1i1p1f1
61,Feb,1855,286.91874805898004,284.73001933460534,K,historical,KACE-1-0-G,r1i1p1f1
62,Mar,1855,287.5793301319102,285.5782320479364,K,historical,KACE-1-0-G,r1i1p1f1
63,Apr,1855,288.20550688604084,286.62766510182325,K,historical,KACE-1-0-G,r1i1p1f1
64,May,1855,288.54229217804885,287.4473983020044,K,historical,KACE-1-0-G,r1i1p1f1
65,Jun,1855,289.1678675928309,288.4210932388628,K,historical,KACE-1-0-G,r1i1p1f1
66,Jul,1855,289.5994676850355,288.96406508520107,K,historical,KACE-1-0-G,r1i1p1f1
67,Aug,1855,289.4931630861433,288.79811835812336,K,historical,KACE-1-0-G,r1i1p1f1
68,Sep,1855,289.1647672205481,288.1971495318644,K,historical,KACE-1-0-G,r1i1p1f1
69,Oct,1855,288.1862993018879,286.82299268926863,K,historical,KACE-1-0-G,r1i1p1f1
70,Nov,1855,287.30666114778035,285.57122686420996,K,historical,KACE-1-0-G,r1i1p1f1
71,Dec,1855,286.8843878024606,284.86026012761806,K,historical,KACE-1-0-G,r1i1p1f1
72,Jan,1856,286.78770005806786,284.6788459414113,K,historical,KACE-1-0-G,r1i1p1f1
73,Feb,1856,286.93364835282443,284.75757510416224,K,historical,KACE-1-0-G,r1i1p1f1
74,Mar,1856,287.67871215063695,285.79528902190555,K,historical,KACE-1-0-G,r1i1p1f1
75,Apr,1856,288.1857862953064,286.5083292230515,K,historical,KACE-1-0-G,r1i1p1f1
76,May,1856,288.64786081175464,287.5842731069924,K,historical,KACE-1-0-G,r1i1p1f1
77,Jun,1856,289.13695449851934,288.38545666070695,K,historical,KACE-1-0-G,r1i1p1f1
78,Jul,1856,289.576680137793,288.91919426540767,K,historical,KACE-1-0-G,r1i1p1f1
79,Aug,1856,289.3620924755473,288.6550034687801,K,historical,KACE-1-0-G,r1i1p1f1
80,Sep,1856,288.93597489798333,288.0226490346086,K,historical,KACE-1-0-G,r1i1p1f1
81,Oct,1856,288.20821024029317,286.89258890445507,K,historical,KACE-1-0-G,r1i1p1f1
82,Nov,1856,287.482355625643,285.77771494433057,K,historical,KACE-1-0-G,r1i1p1f1
83,Dec,1856,286.8752284513835,284.916025484294,K,historical,KACE-1-0-G,r1i1p1f1
84,Jan,1857,286.90402424080685,284.78545499006833,K,historical,KACE-1-0-G,r1i1p1f1
85,Feb,1857,287.22842575940564,285.05927572521443,K,historical,KACE-1-0-G,r1i1p1f1
86,Mar,1857,287.69474079427516,285.77437277821065,K,historical,KACE-1-0-G,r1i1p1f1
87,Apr,1857,288.36501596648117,286.77010495864704,K,historical,KACE-1-0-G,r1i1p1f1
88,May,1857,288.6827711423226,287.5951890992758,K,historical,KACE-1-0-G,r1i1p1f1
89,Jun,1857,289.245697164595,288.48911164694135,K,historical,KACE-1-0-G,r1i1p1f1
90,Jul,1857,289.5462980447083,288.887123956322,K,historical,KACE-1-0-G,r1i1p1f1
91,Aug,1857,289.4429174150508,288.7298298103284,K,historical,KACE-1-0-G,r1i1p1f1
92,Sep,1857,288.7041879585932,287.7937759046285,K,historical,KACE-1-0-G,r1i1p1f1
93,Oct,1857,288.0362048044038,286.6975222021986,K,historical,KACE-1-0-G,r1i1p1f1
94,Nov,1857,287.28308885254415,285.510406693243,K,historical,KACE-1-0-G,r1i1p1f1
