,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,288.1163488980598,286.03619927548453,K,ssp370,KACE-1-0-G,r1i1p1f1
1,Feb,2015,288.62017694603287,286.5457087135452,K,ssp370,KACE-1-0-G,r1i1p1f1
2,Mar,2015,289.04243932648757,287.19582761450175,K,ssp370,KACE-1-0-G,r1i1p1f1
3,Apr,2015,289.5353438896996,288.1604740492642,K,ssp370,KACE-1-0-G,r1i1p1f1
4,May,2015,290.00427529558084,288.98669179802215,K,ssp370,KACE-1-0-G,r1i1p1f1
5,Jun,2015,290.55370218814676,289.8086420741927,K,ssp370,KACE-1-0-G,r1i1p1f1
6,Jul,2015,291.1171717430737,290.4631203133441,K,ssp370,KACE-1-0-G,r1i1p1f1
7,Aug,2015,290.87010641884797,290.15880677313334,K,ssp370,KACE-1-0-G,r1i1p1f1
8,Sep,2015,290.22183917883774,289.3463337664065,K,ssp370,KACE-1-0-G,r1i1p1f1
9,Oct,2015,289.44743944145824,288.3532914707297,K,ssp370,KACE-1-0-G,r1i1p1f1
10,Nov,2015,288.63781504488156,287.2135592161491,K,ssp370,KACE-1-0-G,r1i1p1f1
11,Dec,2015,288.19127478955033,286.43557222051686,K,ssp370,KACE-1-0-G,r1i1p1f1
12,Jan,2016,288.01880603054593,286.1223510864153,K,ssp370,KACE-1-0-G,r1i1p1f1
13,Feb,2016,288.3784848869348,286.3702813732731,K,ssp370,KACE-1-0-G,r1i1p1f1
14,Mar,2016,288.9016060302333,287.1156590446449,K,ssp370,KACE-1-0-G,r1i1p1f1
15,Apr,2016,289.4953001132998,288.10918316934755,K,ssp370,KACE-1-0-G,r1i1p1f1
16,May,2016,289.8790775116469,288.88560571204937,K,ssp370,KACE-1-0-G,r1i1p1f1
17,Jun,2016,290.47449308018065,289.7152109880697,K,ssp370,KACE-1-0-G,r1i1p1f1
18,Jul,2016,290.9151330093814,290.27852655592767,K,ssp370,KACE-1-0-G,r1i1p1f1
19,Aug,2016,290.81167935784765,290.1193016489208,K,ssp370,KACE-1-0-G,r1i1p1f1
20,Sep,2016,290.16777484842015,289.30538274255,K,ssp370,KACE-1-0-G,r1i1p1f1
21,Oct,2016,289.4940300898572,288.33471529676,K,ssp370,KACE-1-0-G,r1i1p1f1
22,Nov,2016,288.7394008730846,287.20190572353556,K,ssp370,KACE-1-0-G,r1i1p1f1
23,Dec,2016,288.10443108267873,286.316257428175,K,ssp370,KACE-1-0-G,r1i1p1f1
24,Jan,2017,287.9667557776163,286.03564974074885,K,ssp370,KACE-1-0-G,r1i1p1f1
25,Feb,2017,288.3183605502811,286.35211799989054,K,ssp370,KACE-1-0-G,r1i1p1f1
26,Mar,2017,288.93928996138715,287.1256192965754,K,ssp370,KACE-1-0-G,r1i1p1f1
27,Apr,2017,289.56549948831696,288.0938510256229,K,ssp370,KACE-1-0-G,r1i1p1f1
28,May,2017,290.1275653786155,289.1274901452362,K,ssp370,KACE-1-0-G,r1i1p1f1
29,Jun,2017,290.84896163591515,290.1131424118938,K,ssp370,KACE-1-0-G,r1i1p1f1
30,Jul,2017,291.084821269011,290.4527506681106,K,ssp370,KACE-1-0-G,r1i1p1f1
