,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,288.0450181108994,285.8990056526535,K,historical,MIROC-ES2L,r5i1p1f2
1,Feb,1850,288.3440715529564,286.25606294034907,K,historical,MIROC-ES2L,r5i1p1f2
2,Mar,1850,288.9108720257031,287.0453680541478,K,historical,MIROC-ES2L,r5i1p1f2
3,Apr,1850,289.4260803147455,287.8822135655608,K,historical,MIROC-ES2L,r5i1p1f2
4,May,1850,290.13506382245487,289.0533960963355,K,historical,MIROC-ES2L,r5i1p1f2
5,Jun,1850,290.7381736472944,290.0119063624871,K,historical,MIROC-ES2L,r5i1p1f2
6,Jul,1850,290.9230028897585,290.29321604299975,K,historical,MIROC-ES2L,r5i1p1f2
7,Aug,1850,290.8489749182657,290.1124725148899,K,historical,MIROC-ES2L,r5i1p1f2
8,Sep,1850,290.36149302814977,289.3583573234057,K,historical,MIROC-ES2L,r5i1p1f2
9,Oct,1850,289.64825509490066,288.19349824965894,K,historical,MIROC-ES2L,r5i1p1f2
10,Nov,1850,288.8688877196843,287.0389535481935,K,historical,MIROC-ES2L,r5i1p1f2
11,Dec,1850,288.2324855443066,286.3187926598431,K,historical,MIROC-ES2L,r5i1p1f2
12,Jan,1851,288.1715960554021,286.1041069531211,K,historical,MIROC-ES2L,r5i1p1f2
13,Feb,1851,288.33963952970873,286.30098243751314,K,historical,MIROC-ES2L,r5i1p1f2
14,Mar,1851,289.03033860887166,287.11912407067877,K,historical,MIROC-ES2L,r5i1p1f2
15,Apr,1851,289.70435601623655,288.176518654364,K,historical,MIROC-ES2L,r5i1p1f2
16,May,1851,290.3251483895326,289.2248645672386,K,historical,MIROC-ES2L,r5i1p1f2
17,Jun,1851,290.957737555371,290.23930608549676,K,historical,MIROC-ES2L,r5i1p1f2
18,Jul,1851,291.2991143429852,290.66007429506897,K,historical,MIROC-ES2L,r5i1p1f2
19,Aug,1851,291.0695871450055,290.33304013429984,K,historical,MIROC-ES2L,r5i1p1f2
20,Sep,1851,290.623459179949,289.6254067320204,K,historical,MIROC-ES2L,r5i1p1f2
21,Oct,1851,289.7739424090064,288.38323014051326,K,historical,MIROC-ES2L,r5i1p1f2
22,Nov,1851,288.9964336861075,287.29503279118217,K,historical,MIROC-ES2L,r5i1p1f2
23,Dec,1851,288.5919230459536,286.6004452772885,K,historical,MIROC-ES2L,r5i1p1f2
24,Jan,1852,288.4660567557713,286.3108793827814,K,historical,MIROC-ES2L,r5i1p1f2
25,Feb,1852,288.6156842867967,286.526030677229,K,historical,MIROC-ES2L,r5i1p1f2
26,Mar,1852,289.15705277388156,287.30048911036823,K,historical,MIROC-ES2L,r5i1p1f2
27,Apr,1852,289.95810511400026,288.3736849624197,K,historical,MIROC-ES2L,r5i1p1f2
28,May,1852,290.4643978194085,289.3142968033682,K,historical,MIROC-ES2L,r5i1p1f2
29,Jun,1852,291.0752499783978,290.3331837470923,K,historical,MIROC-ES2L,r5i1p1f2
30,Jul,1852,291.27501063982857,290.6185540834932,K,historical,MIROC-ES2L,r5i1p1f2
31,Aug,1852,291.0465571493751,290.31582636765927,K,historical,MIROC-ES2L,r5i1p1f2
32,Sep,1852,290.4497797581828,289.48409350106897,K,historical,MIROC-ES2L,r5i1p1f2
33,Oct,1852,289.7451183873094,288.4072520451329,K,historical,MIROC-ES2L,r5i1p1f2
34,Nov,1852,288.862910704553,287.1663473746806,K,historical,MIROC-ES2L,r5i1p1f2
35,Dec,1852,288.37986909860376,286.4901558373369,K,historical,MIROC-ES2L,r5i1p1f2
36,Jan,1853,288.06494093698603,286.046517677112,K,historical,MIROC-ES2L,r5i1p1f2
37,Feb,1853,288.5007301644387,286.43925736793034,K,historical,MIROC-ES2L,r5i1p1f2
38,Mar,1853,288.9658381817864,287.026099527972,K,historical,MIROC-ES2L,r5i1p1f2
39,Apr,1853,289.6507544592899,288.10193463486377,K,historical,MIROC-ES2L,r5i1p1f2
40,May,1853,290.1959328892979,289.138410923113,K,historical,MIROC-ES2L,r5i1p1f2
41,Jun,1853,290.86652165889524,290.1410437236604,K,historical,MIROC-ES2L,r5i1p1f2
42,Jul,1853,291.0283702325802,290.41285558584195,K,historical,MIROC-ES2L,r5i1p1f2
43,Aug,1853,290.8240686310181,290.1058033287782,K,historical,MIROC-ES2L,r5i1p1f2
44,Sep,1853,290.3957010751219,289.40956215449995,K,historical,MIROC-ES2L,r5i1p1f2
45,Oct,1853,289.5299449693062,288.1881286342865,K,historical,MIROC-ES2L,r5i1p1f2
46,Nov,1853,288.69030347057435,286.9884208836898,K,historical,MIROC-ES2L,r5i1p1f2
47,Dec,1853,288.12535906161725,286.2002979226344,K,historical,MIROC-ES2L,r5i1p1f2
48,Jan,1854,287.97436435647086,285.9485528299884,K,historical,MIROC-ES2L,r5i1p1f2
49,Feb,1854,288.25788449154845,286.22887886579673,K,historical,MIROC-ES2L,r5i1p1f2
50,Mar,1854,288.8642865261253,287.0054135130756,K,historical,MIROC-ES2L,r5i1p1f2
51,Apr,1854,289.5132677963593,287.91429121227344,K,historical,MIROC-ES2L,r5i1p1f2
52,May,1854,290.1553979923309,289.08767274101314,K,historical,MIROC-ES2L,r5i1p1f2
53,Jun,1854,290.76197244024144,290.0233018910478,K,historical,MIROC-ES2L,r5i1p1f2
54,Jul,1854,290.9410313582873,290.3002605771063,K,historical,MIROC-ES2L,r5i1p1f2
55,Aug,1854,290.80503720324265,290.07867582468793,K,historical,MIROC-ES2L,r5i1p1f2
56,Sep,1854,290.2548169238013,289.2770867147872,K,historical,MIROC-ES2L,r5i1p1f2
57,Oct,1854,289.5759915239794,288.17710959637327,K,historical,MIROC-ES2L,r5i1p1f2
58,Nov,1854,288.8360423747487,287.111555042989,K,historical,MIROC-ES2L,r5i1p1f2
59,Dec,1854,288.1614097214053,286.29107818533606,K,historical,MIROC-ES2L,r5i1p1f2
60,Jan,1855,288.0902240660527,286.13581292226314,K,historical,MIROC-ES2L,r5i1p1f2
61,Feb,1855,288.39762672188493,286.34936563507983,K,historical,MIROC-ES2L,r5i1p1f2
62,Mar,1855,288.97065302615044,287.01271543433825,K,historical,MIROC-ES2L,r5i1p1f2
63,Apr,1855,289.7225418774354,288.1666853032448,K,historical,MIROC-ES2L,r5i1p1f2
64,May,1855,290.39127092959063,289.29470950930386,K,historical,MIROC-ES2L,r5i1p1f2
65,Jun,1855,290.8996143358167,290.1525625748838,K,historical,MIROC-ES2L,r5i1p1f2
66,Jul,1855,291.1635780114223,290.52372920554416,K,historical,MIROC-ES2L,r5i1p1f2
67,Aug,1855,290.9395389997005,290.2191587733819,K,historical,MIROC-ES2L,r5i1p1f2
68,Sep,1855,290.27943942939925,289.31201977663244,K,historical,MIROC-ES2L,r5i1p1f2
69,Oct,1855,289.655736881636,288.27229762169213,K,historical,MIROC-ES2L,r5i1p1f2
70,Nov,1855,288.77918809646195,287.0800047857737,K,historical,MIROC-ES2L,r5i1p1f2
71,Dec,1855,288.2778011333829,286.38474558684976,K,historical,MIROC-ES2L,r5i1p1f2
72,Jan,1856,288.1514168854946,286.10197405937413,K,historical,MIROC-ES2L,r5i1p1f2
73,Feb,1856,288.4788516505865,286.38699476409124,K,historical,MIROC-ES2L,r5i1p1f2
74,Mar,1856,288.80077926662807,286.8247197065272,K,historical,MIROC-ES2L,r5i1p1f2
75,Apr,1856,289.6163613120434,288.05695193946565,K,historical,MIROC-ES2L,r5i1p1f2
