,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.5298930692044,284.62963522113614,K,historical,MPI-ESM1-2-LR,r7i1p1f1
1,Feb,1850,286.9439603468338,285.0754112914459,K,historical,MPI-ESM1-2-LR,r7i1p1f1
2,Mar,1850,287.4056334756135,285.59513271832213,K,historical,MPI-ESM1-2-LR,r7i1p1f1
3,Apr,1850,288.2117596011155,286.77079488773586,K,historical,MPI-ESM1-2-LR,r7i1p1f1
4,May,1850,288.66899249848325,287.6028028685497,K,historical,MPI-ESM1-2-LR,r7i1p1f1
5,Jun,1850,289.0189293968274,288.3773461442178,K,historical,MPI-ESM1-2-LR,r7i1p1f1
6,Jul,1850,289.13791620974877,288.57581580160326,K,historical,MPI-ESM1-2-LR,r7i1p1f1
7,Aug,1850,288.96374725452205,288.2961298069543,K,historical,MPI-ESM1-2-LR,r7i1p1f1
8,Sep,1850,288.5653203057856,287.7003865431701,K,historical,MPI-ESM1-2-LR,r7i1p1f1
9,Oct,1850,287.71869769201925,286.53943289630155,K,historical,MPI-ESM1-2-LR,r7i1p1f1
10,Nov,1850,286.9117558337453,285.3972484581328,K,historical,MPI-ESM1-2-LR,r7i1p1f1
11,Dec,1850,286.5075729579903,284.6498650882568,K,historical,MPI-ESM1-2-LR,r7i1p1f1
12,Jan,1851,286.48800185467826,284.75085174858714,K,historical,MPI-ESM1-2-LR,r7i1p1f1
13,Feb,1851,286.89336407593805,284.9705650390411,K,historical,MPI-ESM1-2-LR,r7i1p1f1
14,Mar,1851,287.38179635639386,285.4996668078214,K,historical,MPI-ESM1-2-LR,r7i1p1f1
15,Apr,1851,288.0614581649238,286.6335846568604,K,historical,MPI-ESM1-2-LR,r7i1p1f1
16,May,1851,288.7468641781259,287.70447015338897,K,historical,MPI-ESM1-2-LR,r7i1p1f1
17,Jun,1851,289.06720730440054,288.39328272595407,K,historical,MPI-ESM1-2-LR,r7i1p1f1
18,Jul,1851,289.2807008031665,288.6619464360023,K,historical,MPI-ESM1-2-LR,r7i1p1f1
19,Aug,1851,289.1234330153913,288.44700908808016,K,historical,MPI-ESM1-2-LR,r7i1p1f1
20,Sep,1851,288.54553134955546,287.6664959523939,K,historical,MPI-ESM1-2-LR,r7i1p1f1
21,Oct,1851,287.76948360491167,286.59514224822806,K,historical,MPI-ESM1-2-LR,r7i1p1f1
22,Nov,1851,287.0546794465431,285.5751729540457,K,historical,MPI-ESM1-2-LR,r7i1p1f1
23,Dec,1851,286.5434412599236,284.7873266443911,K,historical,MPI-ESM1-2-LR,r7i1p1f1
24,Jan,1852,286.3923553138979,284.48561109342813,K,historical,MPI-ESM1-2-LR,r7i1p1f1
25,Feb,1852,286.9364960053625,285.15298757303304,K,historical,MPI-ESM1-2-LR,r7i1p1f1
26,Mar,1852,287.5289969352555,285.8901783455477,K,historical,MPI-ESM1-2-LR,r7i1p1f1
27,Apr,1852,288.0724943298911,286.73449035364683,K,historical,MPI-ESM1-2-LR,r7i1p1f1
28,May,1852,288.54482443133065,287.52922026720313,K,historical,MPI-ESM1-2-LR,r7i1p1f1
29,Jun,1852,289.0319097794256,288.3534086474775,K,historical,MPI-ESM1-2-LR,r7i1p1f1
30,Jul,1852,289.26773765028156,288.69569288848953,K,historical,MPI-ESM1-2-LR,r7i1p1f1
31,Aug,1852,289.0147384404489,288.3593690666619,K,historical,MPI-ESM1-2-LR,r7i1p1f1
32,Sep,1852,288.4105314711992,287.5228771379231,K,historical,MPI-ESM1-2-LR,r7i1p1f1
33,Oct,1852,287.61558084463877,286.52914768601977,K,historical,MPI-ESM1-2-LR,r7i1p1f1
34,Nov,1852,287.01844869842597,285.5108423294515,K,historical,MPI-ESM1-2-LR,r7i1p1f1
35,Dec,1852,286.67589159240566,284.91450693179297,K,historical,MPI-ESM1-2-LR,r7i1p1f1
36,Jan,1853,286.45948278973015,284.6746938149205,K,historical,MPI-ESM1-2-LR,r7i1p1f1
37,Feb,1853,286.9169346715,285.08322435789404,K,historical,MPI-ESM1-2-LR,r7i1p1f1
38,Mar,1853,287.4854937807732,285.78736274126385,K,historical,MPI-ESM1-2-LR,r7i1p1f1
39,Apr,1853,288.126208208855,286.7247363807073,K,historical,MPI-ESM1-2-LR,r7i1p1f1
40,May,1853,288.73905055600096,287.70054521141014,K,historical,MPI-ESM1-2-LR,r7i1p1f1
41,Jun,1853,289.1079618011873,288.41842855010606,K,historical,MPI-ESM1-2-LR,r7i1p1f1
42,Jul,1853,289.11013220088853,288.5338491395474,K,historical,MPI-ESM1-2-LR,r7i1p1f1
43,Aug,1853,289.0755424696243,288.4112578856364,K,historical,MPI-ESM1-2-LR,r7i1p1f1
44,Sep,1853,288.43186341856455,287.5491461821011,K,historical,MPI-ESM1-2-LR,r7i1p1f1
45,Oct,1853,287.58028095709363,286.43006094830076,K,historical,MPI-ESM1-2-LR,r7i1p1f1
46,Nov,1853,287.0367824143579,285.54307876118037,K,historical,MPI-ESM1-2-LR,r7i1p1f1
47,Dec,1853,286.4127507285101,284.5815315868207,K,historical,MPI-ESM1-2-LR,r7i1p1f1
48,Jan,1854,286.4193203218434,284.55937415284905,K,historical,MPI-ESM1-2-LR,r7i1p1f1
49,Feb,1854,286.64711670528527,284.84820966378413,K,historical,MPI-ESM1-2-LR,r7i1p1f1
50,Mar,1854,287.23643539436046,285.4966308345474,K,historical,MPI-ESM1-2-LR,r7i1p1f1
51,Apr,1854,287.92230000889094,286.585601241705,K,historical,MPI-ESM1-2-LR,r7i1p1f1
52,May,1854,288.53881645661846,287.53588558991686,K,historical,MPI-ESM1-2-LR,r7i1p1f1
53,Jun,1854,288.93191848150093,288.23768083916275,K,historical,MPI-ESM1-2-LR,r7i1p1f1
54,Jul,1854,289.0488716077685,288.4799873398558,K,historical,MPI-ESM1-2-LR,r7i1p1f1
55,Aug,1854,288.8716338252373,288.20193070247444,K,historical,MPI-ESM1-2-LR,r7i1p1f1
56,Sep,1854,288.43406011664206,287.51632565305886,K,historical,MPI-ESM1-2-LR,r7i1p1f1
57,Oct,1854,287.71693033083517,286.49977453872015,K,historical,MPI-ESM1-2-LR,r7i1p1f1
58,Nov,1854,287.0048830390306,285.520142497117,K,historical,MPI-ESM1-2-LR,r7i1p1f1
