,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.8321923893702,285.0475795658383,K,historical,MRI-ESM2-0,r2i1p1f1
1,Feb,1850,287.1319881272314,285.4133040903227,K,historical,MRI-ESM2-0,r2i1p1f1
2,Mar,1850,287.47362846814855,285.7851153719677,K,historical,MRI-ESM2-0,r2i1p1f1
3,Apr,1850,288.1837716289739,286.83177944388814,K,historical,MRI-ESM2-0,r2i1p1f1
4,May,1850,288.5633686449713,287.6023112347709,K,historical,MRI-ESM2-0,r2i1p1f1
5,Jun,1850,288.95789551731184,288.2925807749387,K,historical,MRI-ESM2-0,r2i1p1f1
6,Jul,1850,289.3304047585215,288.7895625523364,K,historical,MRI-ESM2-0,r2i1p1f1
7,Aug,1850,289.09999931288377,288.4937391596249,K,historical,MRI-ESM2-0,r2i1p1f1
8,Sep,1850,288.48345144615166,287.74413421188984,K,historical,MRI-ESM2-0,r2i1p1f1
9,Oct,1850,288.0756363996354,287.053415911419,K,historical,MRI-ESM2-0,r2i1p1f1
10,Nov,1850,287.22967897337776,285.7713644152002,K,historical,MRI-ESM2-0,r2i1p1f1
11,Dec,1850,286.93400426171354,285.26709140701513,K,historical,MRI-ESM2-0,r2i1p1f1
12,Jan,1851,286.86670945676303,285.2548216802336,K,historical,MRI-ESM2-0,r2i1p1f1
13,Feb,1851,287.2243771545046,285.47972192938937,K,historical,MRI-ESM2-0,r2i1p1f1
14,Mar,1851,287.74528481074987,286.0190574973465,K,historical,MRI-ESM2-0,r2i1p1f1
15,Apr,1851,288.3670446465816,287.0329858618016,K,historical,MRI-ESM2-0,r2i1p1f1
16,May,1851,288.72051499955484,287.7450457226768,K,historical,MRI-ESM2-0,r2i1p1f1
17,Jun,1851,289.0000657774043,288.339396435506,K,historical,MRI-ESM2-0,r2i1p1f1
18,Jul,1851,289.3064643912195,288.77350412259256,K,historical,MRI-ESM2-0,r2i1p1f1
19,Aug,1851,288.87828091539416,288.31048035954694,K,historical,MRI-ESM2-0,r2i1p1f1
20,Sep,1851,288.6351049365219,287.88071516983695,K,historical,MRI-ESM2-0,r2i1p1f1
21,Oct,1851,288.00119642500385,286.98634907949474,K,historical,MRI-ESM2-0,r2i1p1f1
