,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,287.91397163850934,286.3201075671638,K,ssp370,MRI-ESM2-0,r1i1p1f1
1,Feb,2015,287.9103774074001,286.2248077391959,K,ssp370,MRI-ESM2-0,r1i1p1f1
2,Mar,2015,288.5383448338844,286.92279746056005,K,ssp370,MRI-ESM2-0,r1i1p1f1
3,Apr,2015,289.187563653468,287.9255732538605,K,ssp370,MRI-ESM2-0,r1i1p1f1
4,May,2015,289.54455805000674,288.5879735755823,K,ssp370,MRI-ESM2-0,r1i1p1f1
5,Jun,2015,289.9572566756006,289.26360127243044,K,ssp370,MRI-ESM2-0,r1i1p1f1
6,Jul,2015,290.1905093402696,289.63155675574563,K,ssp370,MRI-ESM2-0,r1i1p1f1
7,Aug,2015,290.0160975563831,289.4236886057225,K,ssp370,MRI-ESM2-0,r1i1p1f1
8,Sep,2015,289.5432911295573,288.8039534314196,K,ssp370,MRI-ESM2-0,r1i1p1f1
9,Oct,2015,288.7867529090094,287.8441399042048,K,ssp370,MRI-ESM2-0,r1i1p1f1
10,Nov,2015,288.36687123111994,287.1272747895033,K,ssp370,MRI-ESM2-0,r1i1p1f1
11,Dec,2015,288.1163427057106,286.5090191452637,K,ssp370,MRI-ESM2-0,r1i1p1f1
12,Jan,2016,287.92238410143307,286.32579767199894,K,ssp370,MRI-ESM2-0,r1i1p1f1
13,Feb,2016,288.0853332756297,286.47420508574993,K,ssp370,MRI-ESM2-0,r1i1p1f1
14,Mar,2016,288.5847658381891,287.0288292683903,K,ssp370,MRI-ESM2-0,r1i1p1f1
15,Apr,2016,289.22745207802643,287.83954878963334,K,ssp370,MRI-ESM2-0,r1i1p1f1
16,May,2016,289.49824357649226,288.57409832435746,K,ssp370,MRI-ESM2-0,r1i1p1f1
17,Jun,2016,290.0605357730535,289.4217383315089,K,ssp370,MRI-ESM2-0,r1i1p1f1
18,Jul,2016,290.23736634702766,289.6922544221474,K,ssp370,MRI-ESM2-0,r1i1p1f1
19,Aug,2016,290.0427312123908,289.4636790724579,K,ssp370,MRI-ESM2-0,r1i1p1f1
20,Sep,2016,289.63922858455066,288.92078873299135,K,ssp370,MRI-ESM2-0,r1i1p1f1
21,Oct,2016,289.00266361783224,288.0431189557758,K,ssp370,MRI-ESM2-0,r1i1p1f1
22,Nov,2016,288.4989291416426,287.191010081866,K,ssp370,MRI-ESM2-0,r1i1p1f1
23,Dec,2016,288.10825860879226,286.53410383789884,K,ssp370,MRI-ESM2-0,r1i1p1f1
24,Jan,2017,288.19117359997546,286.4870417296246,K,ssp370,MRI-ESM2-0,r1i1p1f1
25,Feb,2017,288.5288709811266,286.89351539109595,K,ssp370,MRI-ESM2-0,r1i1p1f1
26,Mar,2017,288.8263833200671,287.27279230734615,K,ssp370,MRI-ESM2-0,r1i1p1f1
27,Apr,2017,289.42983675195103,288.0838695147057,K,ssp370,MRI-ESM2-0,r1i1p1f1
28,May,2017,289.69272652077166,288.759194495557,K,ssp370,MRI-ESM2-0,r1i1p1f1
29,Jun,2017,290.1727183318996,289.4893837192167,K,ssp370,MRI-ESM2-0,r1i1p1f1
30,Jul,2017,290.3919231878304,289.8399990303185,K,ssp370,MRI-ESM2-0,r1i1p1f1
31,Aug,2017,290.2187657286035,289.60807670112416,K,ssp370,MRI-ESM2-0,r1i1p1f1
