,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.7560721218131,285.76664563204537,K,historical,NorESM2-LM,r2i1p1f1
1,Feb,1850,288.0217314967267,286.21854073384725,K,historical,NorESM2-LM,r2i1p1f1
2,Mar,1850,288.5700757836255,286.7532858807559,K,historical,NorESM2-LM,r2i1p1f1
3,Apr,1850,289.11261087574485,287.6566277076691,K,historical,NorESM2-LM,r2i1p1f1
4,May,1850,289.53905068138096,288.510991567877,K,historical,NorESM2-LM,r2i1p1f1
5,Jun,1850,289.73470006800534,288.9599970794808,K,historical,NorESM2-LM,r2i1p1f1
6,Jul,1850,289.9912578525143,289.3153631377788,K,historical,NorESM2-LM,r2i1p1f1
7,Aug,1850,289.85243933264627,289.1563536996456,K,historical,NorESM2-LM,r2i1p1f1
8,Sep,1850,289.5049002351323,288.62833786107143,K,historical,NorESM2-LM,r2i1p1f1
9,Oct,1850,288.9366119446852,287.75967876772773,K,historical,NorESM2-LM,r2i1p1f1
10,Nov,1850,288.29924674308126,286.73187290065516,K,historical,NorESM2-LM,r2i1p1f1
11,Dec,1850,287.97915782120305,286.18575309517496,K,historical,NorESM2-LM,r2i1p1f1
12,Jan,1851,287.6181963019858,285.90157148798784,K,historical,NorESM2-LM,r2i1p1f1
13,Feb,1851,287.8269794032436,285.9963238335492,K,historical,NorESM2-LM,r2i1p1f1
14,Mar,1851,288.3425340580988,286.5304708565077,K,historical,NorESM2-LM,r2i1p1f1
15,Apr,1851,288.9938484251457,287.42438229336705,K,historical,NorESM2-LM,r2i1p1f1
16,May,1851,289.54009016041124,288.42101922294677,K,historical,NorESM2-LM,r2i1p1f1
17,Jun,1851,289.70901224142074,288.9455644808276,K,historical,NorESM2-LM,r2i1p1f1
18,Jul,1851,289.8869494800487,289.2043134464854,K,historical,NorESM2-LM,r2i1p1f1
19,Aug,1851,289.9455989438753,289.213607939689,K,historical,NorESM2-LM,r2i1p1f1
20,Sep,1851,289.5676953530672,288.667626973516,K,historical,NorESM2-LM,r2i1p1f1
21,Oct,1851,288.79210912310305,287.5547785987748,K,historical,NorESM2-LM,r2i1p1f1
22,Nov,1851,288.12224321630754,286.5195126848548,K,historical,NorESM2-LM,r2i1p1f1
23,Dec,1851,287.80999756643126,286.0629916972305,K,historical,NorESM2-LM,r2i1p1f1
24,Jan,1852,287.7922462706516,285.91770081824734,K,historical,NorESM2-LM,r2i1p1f1
25,Feb,1852,288.04960572903013,286.052289095838,K,historical,NorESM2-LM,r2i1p1f1
26,Mar,1852,288.4545905632887,286.5720398756017,K,historical,NorESM2-LM,r2i1p1f1
27,Apr,1852,289.13447338260914,287.6334362594867,K,historical,NorESM2-LM,r2i1p1f1
28,May,1852,289.691970731966,288.64464126787914,K,historical,NorESM2-LM,r2i1p1f1
29,Jun,1852,289.965521556081,289.1760894369623,K,historical,NorESM2-LM,r2i1p1f1
30,Jul,1852,290.1932119953889,289.5033393932589,K,historical,NorESM2-LM,r2i1p1f1
31,Aug,1852,290.0752626237421,289.3737708694327,K,historical,NorESM2-LM,r2i1p1f1
32,Sep,1852,289.68105506280966,288.75399818271666,K,historical,NorESM2-LM,r2i1p1f1
33,Oct,1852,289.0035866246247,287.8006966291436,K,historical,NorESM2-LM,r2i1p1f1
34,Nov,1852,288.37374593817634,286.8653998878505,K,historical,NorESM2-LM,r2i1p1f1
35,Dec,1852,287.95880771683227,286.27460619875626,K,historical,NorESM2-LM,r2i1p1f1
36,Jan,1853,287.98415512215513,286.0748542048484,K,historical,NorESM2-LM,r2i1p1f1
37,Feb,1853,288.13390187729135,286.12462276513827,K,historical,NorESM2-LM,r2i1p1f1
38,Mar,1853,288.6079337610048,286.6774512913819,K,historical,NorESM2-LM,r2i1p1f1
39,Apr,1853,289.23321693684267,287.697260226863,K,historical,NorESM2-LM,r2i1p1f1
40,May,1853,289.6263487718871,288.54924932799065,K,historical,NorESM2-LM,r2i1p1f1
41,Jun,1853,289.9363534238118,289.13224173356997,K,historical,NorESM2-LM,r2i1p1f1
42,Jul,1853,290.20455454564126,289.5054632876053,K,historical,NorESM2-LM,r2i1p1f1
43,Aug,1853,290.1427515770872,289.43464749264484,K,historical,NorESM2-LM,r2i1p1f1
44,Sep,1853,289.7705243596523,288.88460827322655,K,historical,NorESM2-LM,r2i1p1f1
45,Oct,1853,289.09796322910216,287.8860746936339,K,historical,NorESM2-LM,r2i1p1f1
46,Nov,1853,288.58778094958967,286.9270597172628,K,historical,NorESM2-LM,r2i1p1f1
47,Dec,1853,288.1400128722129,286.17107522255645,K,historical,NorESM2-LM,r2i1p1f1
48,Jan,1854,288.1106027007529,286.0986148719552,K,historical,NorESM2-LM,r2i1p1f1
49,Feb,1854,288.25607130051475,286.3271873075717,K,historical,NorESM2-LM,r2i1p1f1
50,Mar,1854,288.5095306433361,286.59378221715633,K,historical,NorESM2-LM,r2i1p1f1
51,Apr,1854,289.133058429717,287.7594072592387,K,historical,NorESM2-LM,r2i1p1f1
52,May,1854,289.7426785407007,288.74541889392356,K,historical,NorESM2-LM,r2i1p1f1
53,Jun,1854,290.33897836896494,289.56490596593386,K,historical,NorESM2-LM,r2i1p1f1
54,Jul,1854,290.5047543604498,289.8291562033542,K,historical,NorESM2-LM,r2i1p1f1
55,Aug,1854,290.4360576025413,289.7073057215665,K,historical,NorESM2-LM,r2i1p1f1
56,Sep,1854,289.94178276286465,289.0667619099641,K,historical,NorESM2-LM,r2i1p1f1
57,Oct,1854,289.31954993802134,288.13656979762686,K,historical,NorESM2-LM,r2i1p1f1
58,Nov,1854,288.58725742169406,287.1245285925347,K,historical,NorESM2-LM,r2i1p1f1
59,Dec,1854,288.3331095386387,286.6676350541062,K,historical,NorESM2-LM,r2i1p1f1
60,Jan,1855,288.20569125847413,286.17026097145686,K,historical,NorESM2-LM,r2i1p1f1
61,Feb,1855,288.4784107773597,286.4765840907098,K,historical,NorESM2-LM,r2i1p1f1
62,Mar,1855,288.72767868487557,286.87678953309245,K,historical,NorESM2-LM,r2i1p1f1
63,Apr,1855,289.3919384453571,287.89996159921014,K,historical,NorESM2-LM,r2i1p1f1
64,May,1855,289.67920697989837,288.6826563498018,K,historical,NorESM2-LM,r2i1p1f1
65,Jun,1855,290.0351768720415,289.2326592753988,K,historical,NorESM2-LM,r2i1p1f1
66,Jul,1855,290.14265502940003,289.4655461378699,K,historical,NorESM2-LM,r2i1p1f1
67,Aug,1855,290.14813469202653,289.42282083670085,K,historical,NorESM2-LM,r2i1p1f1
68,Sep,1855,289.6321930227946,288.77021332698865,K,historical,NorESM2-LM,r2i1p1f1
69,Oct,1855,288.8970904989049,287.7261031491235,K,historical,NorESM2-LM,r2i1p1f1
70,Nov,1855,288.33999843163485,286.9093633291157,K,historical,NorESM2-LM,r2i1p1f1
71,Dec,1855,287.93949698853044,286.1901750943311,K,historical,NorESM2-LM,r2i1p1f1
72,Jan,1856,288.00432475912265,286.0934774217817,K,historical,NorESM2-LM,r2i1p1f1
73,Feb,1856,288.2629792086922,286.28928228299156,K,historical,NorESM2-LM,r2i1p1f1
74,Mar,1856,288.70272104179196,286.83700397037467,K,historical,NorESM2-LM,r2i1p1f1
75,Apr,1856,289.3312829933577,287.8976814623674,K,historical,NorESM2-LM,r2i1p1f1
76,May,1856,289.8752228202947,288.8402748688691,K,historical,NorESM2-LM,r2i1p1f1
77,Jun,1856,290.05172307612145,289.2559275545512,K,historical,NorESM2-LM,r2i1p1f1
78,Jul,1856,290.2175829723054,289.50312987995136,K,historical,NorESM2-LM,r2i1p1f1
79,Aug,1856,290.06458389946926,289.3672772677256,K,historical,NorESM2-LM,r2i1p1f1
80,Sep,1856,289.8341472999025,288.9580243580858,K,historical,NorESM2-LM,r2i1p1f1
81,Oct,1856,289.0611091093074,287.8766954717037,K,historical,NorESM2-LM,r2i1p1f1
82,Nov,1856,288.67681867426734,287.15751815970873,K,historical,NorESM2-LM,r2i1p1f1
83,Dec,1856,288.35738088176925,286.48956336452414,K,historical,NorESM2-LM,r2i1p1f1
84,Jan,1857,287.9691268986455,285.8732629236126,K,historical,NorESM2-LM,r2i1p1f1
85,Feb,1857,288.05613767662436,286.2084388225931,K,historical,NorESM2-LM,r2i1p1f1
86,Mar,1857,288.73146595542204,286.8642134861258,K,historical,NorESM2-LM,r2i1p1f1
87,Apr,1857,289.24999777794267,287.7785943073968,K,historical,NorESM2-LM,r2i1p1f1
88,May,1857,289.9341634683311,288.87537175864946,K,historical,NorESM2-LM,r2i1p1f1
89,Jun,1857,290.1165640962493,289.35119885159,K,historical,NorESM2-LM,r2i1p1f1
90,Jul,1857,290.19477254784124,289.5292369866094,K,historical,NorESM2-LM,r2i1p1f1
91,Aug,1857,290.27878879360156,289.5897570194158,K,historical,NorESM2-LM,r2i1p1f1
92,Sep,1857,289.7075551180901,288.83779188744825,K,historical,NorESM2-LM,r2i1p1f1
93,Oct,1857,289.2196197691002,288.0401272080295,K,historical,NorESM2-LM,r2i1p1f1
94,Nov,1857,288.57785204792987,287.04883360188427,K,historical,NorESM2-LM,r2i1p1f1
95,Dec,1857,288.170529655837,286.29771903947574,K,historical,NorESM2-LM,r2i1p1f1
96,Jan,1858,288.1219764568831,286.1394476057776,K,historical,NorESM2-LM,r2i1p1f1
97,Feb,1858,288.38816047821126,286.3472712823044,K,historical,NorESM2-LM,r2i1p1f1
98,Mar,1858,288.6699303621215,286.8279346119562,K,historical,NorESM2-LM,r2i1p1f1
99,Apr,1858,289.3330935748797,287.7234407975325,K,historical,NorESM2-LM,r2i1p1f1
100,May,1858,289.74359855081605,288.68177184025006,K,historical,NorESM2-LM,r2i1p1f1
101,Jun,1858,289.87221471869736,289.07767745692644,K,historical,NorESM2-LM,r2i1p1f1
102,Jul,1858,290.1181199653183,289.4420197767207,K,historical,NorESM2-LM,r2i1p1f1
103,Aug,1858,289.9795777410383,289.28927283622136,K,historical,NorESM2-LM,r2i1p1f1
104,Sep,1858,289.66052278359473,288.7726547016778,K,historical,NorESM2-LM,r2i1p1f1
105,Oct,1858,289.03474495206956,287.8467938031311,K,historical,NorESM2-LM,r2i1p1f1
106,Nov,1858,288.43421999694567,286.9464824389758,K,historical,NorESM2-LM,r2i1p1f1
107,Dec,1858,287.98359554960524,286.1445632716703,K,historical,NorESM2-LM,r2i1p1f1
108,Jan,1859,287.9793389500639,286.0190489055834,K,historical,NorESM2-LM,r2i1p1f1
109,Feb,1859,288.1117003030191,286.0664490877243,K,historical,NorESM2-LM,r2i1p1f1
110,Mar,1859,288.5323143395643,286.6916615782909,K,historical,NorESM2-LM,r2i1p1f1
111,Apr,1859,289.08389712818666,287.6162193858741,K,historical,NorESM2-LM,r2i1p1f1
112,May,1859,289.5459539331381,288.54971441055187,K,historical,NorESM2-LM,r2i1p1f1
113,Jun,1859,289.8731617348876,289.1112452782687,K,historical,NorESM2-LM,r2i1p1f1
114,Jul,1859,290.05991282247396,289.4054960188069,K,historical,NorESM2-LM,r2i1p1f1
115,Aug,1859,290.0376302738839,289.3161608876735,K,historical,NorESM2-LM,r2i1p1f1
116,Sep,1859,289.65903789976716,288.7863388213192,K,historical,NorESM2-LM,r2i1p1f1
117,Oct,1859,289.29465917475704,288.12014367389924,K,historical,NorESM2-LM,r2i1p1f1
118,Nov,1859,288.73438816900847,287.1000028781885,K,historical,NorESM2-LM,r2i1p1f1
119,Dec,1859,288.09553554251033,286.23445399254337,K,historical,NorESM2-LM,r2i1p1f1
120,Jan,1860,287.9324577396023,286.09174984696375,K,historical,NorESM2-LM,r2i1p1f1
121,Feb,1860,288.42846411706324,286.37321913588664,K,historical,NorESM2-LM,r2i1p1f1
122,Mar,1860,288.87903282673244,287.0334351875947,K,historical,NorESM2-LM,r2i1p1f1
123,Apr,1860,289.37845240914174,287.923277550045,K,historical,NorESM2-LM,r2i1p1f1
124,May,1860,289.8381944156264,288.7875922192955,K,historical,NorESM2-LM,r2i1p1f1
125,Jun,1860,290.27831444254593,289.52058077127657,K,historical,NorESM2-LM,r2i1p1f1
126,Jul,1860,290.48745793545584,289.7852046777558,K,historical,NorESM2-LM,r2i1p1f1
127,Aug,1860,290.34675657638314,289.60971242148673,K,historical,NorESM2-LM,r2i1p1f1
128,Sep,1860,289.9616044397066,289.09586333404485,K,historical,NorESM2-LM,r2i1p1f1
129,Oct,1860,289.44696729312903,288.299298925495,K,historical,NorESM2-LM,r2i1p1f1
130,Nov,1860,288.7195121101981,287.263840028798,K,historical,NorESM2-LM,r2i1p1f1
