,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,287.11160459108453,285.24188909930007,K,historical,NorESM2-MM,r1i1p1f1
1,Feb,1850,287.28440519071205,285.3510283273489,K,historical,NorESM2-MM,r1i1p1f1
2,Mar,1850,287.72358063605174,286.0298634166245,K,historical,NorESM2-MM,r1i1p1f1
3,Apr,1850,288.55027824266926,287.11914962326443,K,historical,NorESM2-MM,r1i1p1f1
4,May,1850,289.27798508093775,288.2717814759358,K,historical,NorESM2-MM,r1i1p1f1
5,Jun,1850,289.54348117542406,288.844433322501,K,historical,NorESM2-MM,r1i1p1f1
6,Jul,1850,289.69887312156186,289.0588994810411,K,historical,NorESM2-MM,r1i1p1f1
7,Aug,1850,289.5400636152357,288.87567697139497,K,historical,NorESM2-MM,r1i1p1f1
8,Sep,1850,289.0189153497467,288.1919562463205,K,historical,NorESM2-MM,r1i1p1f1
9,Oct,1850,288.4098883305646,287.2696425535963,K,historical,NorESM2-MM,r1i1p1f1
10,Nov,1850,287.6077963635504,286.131241401163,K,historical,NorESM2-MM,r1i1p1f1
11,Dec,1850,287.0618388275885,285.345004719386,K,historical,NorESM2-MM,r1i1p1f1
12,Jan,1851,286.8872339455275,285.13165212680843,K,historical,NorESM2-MM,r1i1p1f1
13,Feb,1851,287.25260140729097,285.34198844250363,K,historical,NorESM2-MM,r1i1p1f1
14,Mar,1851,287.6013400155998,285.8736843878498,K,historical,NorESM2-MM,r1i1p1f1
15,Apr,1851,288.39756116863646,287.0445703185532,K,historical,NorESM2-MM,r1i1p1f1
16,May,1851,289.186174581086,288.17267020905854,K,historical,NorESM2-MM,r1i1p1f1
17,Jun,1851,289.588709874366,288.88075749639574,K,historical,NorESM2-MM,r1i1p1f1
18,Jul,1851,289.82139002454767,289.18213592042724,K,historical,NorESM2-MM,r1i1p1f1
19,Aug,1851,289.62096865441265,288.95571457023175,K,historical,NorESM2-MM,r1i1p1f1
20,Sep,1851,289.1257631080312,288.2637778430602,K,historical,NorESM2-MM,r1i1p1f1
21,Oct,1851,288.59618245753404,287.4759928539033,K,historical,NorESM2-MM,r1i1p1f1
22,Nov,1851,287.8009445467998,286.2563150770101,K,historical,NorESM2-MM,r1i1p1f1
23,Dec,1851,287.1491497493843,285.3838012970935,K,historical,NorESM2-MM,r1i1p1f1
24,Jan,1852,286.89948187346374,285.0829222888669,K,historical,NorESM2-MM,r1i1p1f1
25,Feb,1852,287.1885333661154,285.25862053813233,K,historical,NorESM2-MM,r1i1p1f1
26,Mar,1852,287.7022687546322,285.861740420896,K,historical,NorESM2-MM,r1i1p1f1
27,Apr,1852,288.6520735768334,287.1616751311163,K,historical,NorESM2-MM,r1i1p1f1
28,May,1852,289.17226775651056,288.22796171540847,K,historical,NorESM2-MM,r1i1p1f1
29,Jun,1852,289.3523807844351,288.66016337471814,K,historical,NorESM2-MM,r1i1p1f1
30,Jul,1852,289.6250834653704,289.00029228966787,K,historical,NorESM2-MM,r1i1p1f1
31,Aug,1852,289.49580243497866,288.82958755718613,K,historical,NorESM2-MM,r1i1p1f1
32,Sep,1852,289.0833561965631,288.2412798766832,K,historical,NorESM2-MM,r1i1p1f1
33,Oct,1852,288.3081001468955,287.12675841080045,K,historical,NorESM2-MM,r1i1p1f1
34,Nov,1852,287.5920391847513,286.01851071809625,K,historical,NorESM2-MM,r1i1p1f1
35,Dec,1852,286.9428848668731,285.2348535442829,K,historical,NorESM2-MM,r1i1p1f1
36,Jan,1853,286.7005411133044,284.9173452126874,K,historical,NorESM2-MM,r1i1p1f1
37,Feb,1853,286.9709798034202,285.08437465534104,K,historical,NorESM2-MM,r1i1p1f1
38,Mar,1853,287.565147221353,285.7978462318175,K,historical,NorESM2-MM,r1i1p1f1
39,Apr,1853,288.3744102750402,286.8639791408605,K,historical,NorESM2-MM,r1i1p1f1
40,May,1853,288.9503833608119,287.9383484067619,K,historical,NorESM2-MM,r1i1p1f1
41,Jun,1853,289.45493984642223,288.7514768151118,K,historical,NorESM2-MM,r1i1p1f1
42,Jul,1853,289.5100135802653,288.8900479089892,K,historical,NorESM2-MM,r1i1p1f1
43,Aug,1853,289.64959239244706,288.97019509659543,K,historical,NorESM2-MM,r1i1p1f1
44,Sep,1853,289.15356495511986,288.31367212395617,K,historical,NorESM2-MM,r1i1p1f1
45,Oct,1853,288.4869257420178,287.2721407211243,K,historical,NorESM2-MM,r1i1p1f1
46,Nov,1853,287.59451587610397,286.0926404808467,K,historical,NorESM2-MM,r1i1p1f1
47,Dec,1853,287.224452497599,285.4521731613692,K,historical,NorESM2-MM,r1i1p1f1
48,Jan,1854,286.90453128916226,285.07199047308694,K,historical,NorESM2-MM,r1i1p1f1
49,Feb,1854,287.1915821896514,285.3912351773085,K,historical,NorESM2-MM,r1i1p1f1
50,Mar,1854,287.91804158405216,286.2140592960582,K,historical,NorESM2-MM,r1i1p1f1
51,Apr,1854,288.6415150656733,287.200221372892,K,historical,NorESM2-MM,r1i1p1f1
52,May,1854,289.2672114870185,288.3271877520199,K,historical,NorESM2-MM,r1i1p1f1
53,Jun,1854,289.7322202562689,289.03368373765056,K,historical,NorESM2-MM,r1i1p1f1
54,Jul,1854,289.81064646667227,289.1583748006194,K,historical,NorESM2-MM,r1i1p1f1
55,Aug,1854,289.6781502100137,289.0205396826255,K,historical,NorESM2-MM,r1i1p1f1
56,Sep,1854,289.33916227534036,288.53862623880644,K,historical,NorESM2-MM,r1i1p1f1
57,Oct,1854,288.7020214752886,287.5598155663034,K,historical,NorESM2-MM,r1i1p1f1
58,Nov,1854,288.0473605974038,286.49046479444553,K,historical,NorESM2-MM,r1i1p1f1
59,Dec,1854,287.249920987283,285.5154868414478,K,historical,NorESM2-MM,r1i1p1f1
60,Jan,1855,287.3296981578743,285.4093141660534,K,historical,NorESM2-MM,r1i1p1f1
61,Feb,1855,287.4393803993806,285.625564979399,K,historical,NorESM2-MM,r1i1p1f1
62,Mar,1855,287.85533812885006,286.15613859885025,K,historical,NorESM2-MM,r1i1p1f1
63,Apr,1855,288.6527822953572,287.2317282771855,K,historical,NorESM2-MM,r1i1p1f1
64,May,1855,289.38784375035743,288.4431298035228,K,historical,NorESM2-MM,r1i1p1f1
65,Jun,1855,289.6499348139102,288.91883413330095,K,historical,NorESM2-MM,r1i1p1f1
66,Jul,1855,289.82846662364244,289.1810735317262,K,historical,NorESM2-MM,r1i1p1f1
67,Aug,1855,289.7252561246796,289.0368920864942,K,historical,NorESM2-MM,r1i1p1f1
68,Sep,1855,289.2655698867253,288.3981428163138,K,historical,NorESM2-MM,r1i1p1f1
69,Oct,1855,288.5407489468792,287.3284363538029,K,historical,NorESM2-MM,r1i1p1f1
70,Nov,1855,287.8673697256154,286.2821073523204,K,historical,NorESM2-MM,r1i1p1f1
71,Dec,1855,287.211308283556,285.4742207203864,K,historical,NorESM2-MM,r1i1p1f1
72,Jan,1856,286.9433596628092,285.1154261666245,K,historical,NorESM2-MM,r1i1p1f1
73,Feb,1856,287.1532367403528,285.2879962035027,K,historical,NorESM2-MM,r1i1p1f1
74,Mar,1856,287.67338285149054,285.89210422230644,K,historical,NorESM2-MM,r1i1p1f1
75,Apr,1856,288.24658390966187,286.77045856360684,K,historical,NorESM2-MM,r1i1p1f1
76,May,1856,288.9221717180538,287.8900992296231,K,historical,NorESM2-MM,r1i1p1f1
77,Jun,1856,289.2224378272262,288.5156209488687,K,historical,NorESM2-MM,r1i1p1f1
78,Jul,1856,289.48713000185285,288.8370214653381,K,historical,NorESM2-MM,r1i1p1f1
79,Aug,1856,289.45847483358904,288.76057403549436,K,historical,NorESM2-MM,r1i1p1f1
80,Sep,1856,288.943709736285,288.04886660645985,K,historical,NorESM2-MM,r1i1p1f1
81,Oct,1856,288.1815022935496,286.8999208237142,K,historical,NorESM2-MM,r1i1p1f1
82,Nov,1856,287.5251139691788,285.9475344236938,K,historical,NorESM2-MM,r1i1p1f1
83,Dec,1856,287.0480376383415,285.30267200836755,K,historical,NorESM2-MM,r1i1p1f1
84,Jan,1857,286.75641328027245,284.8706753672883,K,historical,NorESM2-MM,r1i1p1f1
85,Feb,1857,286.96897121120145,284.992902029216,K,historical,NorESM2-MM,r1i1p1f1
86,Mar,1857,287.5626146634319,285.8429121650037,K,historical,NorESM2-MM,r1i1p1f1
87,Apr,1857,288.3496486944441,286.89475325778204,K,historical,NorESM2-MM,r1i1p1f1
88,May,1857,288.8962339279818,287.8869590606382,K,historical,NorESM2-MM,r1i1p1f1
89,Jun,1857,289.3586506106194,288.623428882748,K,historical,NorESM2-MM,r1i1p1f1
90,Jul,1857,289.52955209167067,288.8803038311243,K,historical,NorESM2-MM,r1i1p1f1
91,Aug,1857,289.35949024488957,288.65501709875144,K,historical,NorESM2-MM,r1i1p1f1
92,Sep,1857,288.8678058174629,287.9897414364101,K,historical,NorESM2-MM,r1i1p1f1
93,Oct,1857,288.3017772860834,287.067449407088,K,historical,NorESM2-MM,r1i1p1f1
94,Nov,1857,287.56042484717744,286.0574527529042,K,historical,NorESM2-MM,r1i1p1f1
95,Dec,1857,286.96966957355073,285.16618145445045,K,historical,NorESM2-MM,r1i1p1f1
96,Jan,1858,286.8674000901574,284.94113481952127,K,historical,NorESM2-MM,r1i1p1f1
97,Feb,1858,286.94571071048654,285.0781130800143,K,historical,NorESM2-MM,r1i1p1f1
98,Mar,1858,287.5722659985025,285.83981109490173,K,historical,NorESM2-MM,r1i1p1f1
99,Apr,1858,288.1454107580636,286.7431400035479,K,historical,NorESM2-MM,r1i1p1f1
100,May,1858,288.8874197692227,287.9226007270751,K,historical,NorESM2-MM,r1i1p1f1
101,Jun,1858,289.24143600719583,288.5366556969451,K,historical,NorESM2-MM,r1i1p1f1
102,Jul,1858,289.47872188844366,288.831548431068,K,historical,NorESM2-MM,r1i1p1f1
103,Aug,1858,289.41926745737277,288.7340804037025,K,historical,NorESM2-MM,r1i1p1f1
104,Sep,1858,288.9662953242034,288.112708730725,K,historical,NorESM2-MM,r1i1p1f1
105,Oct,1858,288.25184805668954,287.0431735739672,K,historical,NorESM2-MM,r1i1p1f1
106,Nov,1858,287.5389101437461,285.96993594582676,K,historical,NorESM2-MM,r1i1p1f1
107,Dec,1858,286.947134922337,285.1203377949912,K,historical,NorESM2-MM,r1i1p1f1
108,Jan,1859,286.77366743023964,284.9431424134915,K,historical,NorESM2-MM,r1i1p1f1
109,Feb,1859,286.99445435609454,285.18208235819833,K,historical,NorESM2-MM,r1i1p1f1
110,Mar,1859,287.6542309484604,285.8448922583864,K,historical,NorESM2-MM,r1i1p1f1
111,Apr,1859,288.2759067073888,286.91370411815416,K,historical,NorESM2-MM,r1i1p1f1
112,May,1859,288.9478458282997,287.9953001548628,K,historical,NorESM2-MM,r1i1p1f1
113,Jun,1859,289.1795509028136,288.50088273198924,K,historical,NorESM2-MM,r1i1p1f1
114,Jul,1859,289.31838799762915,288.68251614060284,K,historical,NorESM2-MM,r1i1p1f1
115,Aug,1859,289.5580533192097,288.8626987314216,K,historical,NorESM2-MM,r1i1p1f1
116,Sep,1859,288.9075086430704,288.04872092351206,K,historical,NorESM2-MM,r1i1p1f1
117,Oct,1859,288.2597656262141,287.0489208807629,K,historical,NorESM2-MM,r1i1p1f1
118,Nov,1859,287.5440978793306,285.9249934603861,K,historical,NorESM2-MM,r1i1p1f1
119,Dec,1859,287.00912936888943,285.25520321991354,K,historical,NorESM2-MM,r1i1p1f1
120,Jan,1860,286.9727615836289,285.0857832859541,K,historical,NorESM2-MM,r1i1p1f1
121,Feb,1860,287.2145411303217,285.3728903636152,K,historical,NorESM2-MM,r1i1p1f1
122,Mar,1860,287.59334858098214,285.9342262790065,K,historical,NorESM2-MM,r1i1p1f1
123,Apr,1860,288.41427424799485,287.0031458974439,K,historical,NorESM2-MM,r1i1p1f1
124,May,1860,288.9838672044781,288.0354642061586,K,historical,NorESM2-MM,r1i1p1f1
125,Jun,1860,289.34254934647885,288.65783957690684,K,historical,NorESM2-MM,r1i1p1f1
126,Jul,1860,289.44752786846476,288.79692218065367,K,historical,NorESM2-MM,r1i1p1f1
127,Aug,1860,289.433704805119,288.7641263671401,K,historical,NorESM2-MM,r1i1p1f1
128,Sep,1860,289.01233121380665,288.1464048678203,K,historical,NorESM2-MM,r1i1p1f1
129,Oct,1860,288.27555854116883,287.1178269896788,K,historical,NorESM2-MM,r1i1p1f1
130,Nov,1860,287.55753657932695,286.00278663797195,K,historical,NorESM2-MM,r1i1p1f1
131,Dec,1860,286.9311387133632,285.1853587624161,K,historical,NorESM2-MM,r1i1p1f1
132,Jan,1861,286.8646042924853,284.99396989872764,K,historical,NorESM2-MM,r1i1p1f1
