,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,287.7215355157639,285.95912359466234,K,ssp370,NorESM2-MM,r1i1p1f1
1,Feb,2015,288.2337177582185,286.42089573673366,K,ssp370,NorESM2-MM,r1i1p1f1
2,Mar,2015,288.7547530922691,287.075006315324,K,ssp370,NorESM2-MM,r1i1p1f1
3,Apr,2015,289.3930269637886,287.97820608694593,K,ssp370,NorESM2-MM,r1i1p1f1
4,May,2015,290.09359634608575,289.15689708880956,K,ssp370,NorESM2-MM,r1i1p1f1
5,Jun,2015,290.5165671749321,289.79332331525495,K,ssp370,NorESM2-MM,r1i1p1f1
6,Jul,2015,290.58312797828404,289.9458329086994,K,ssp370,NorESM2-MM,r1i1p1f1
7,Aug,2015,290.49602475143166,289.8239498095395,K,ssp370,NorESM2-MM,r1i1p1f1
8,Sep,2015,290.0362930280888,289.20276702744775,K,ssp370,NorESM2-MM,r1i1p1f1
9,Oct,2015,289.3984129842353,288.3091570726699,K,ssp370,NorESM2-MM,r1i1p1f1
10,Nov,2015,288.57755625669876,287.08985547675786,K,ssp370,NorESM2-MM,r1i1p1f1
11,Dec,2015,287.85303535003897,286.0991893624761,K,ssp370,NorESM2-MM,r1i1p1f1
12,Jan,2016,287.77326750314586,286.0090014301798,K,ssp370,NorESM2-MM,r1i1p1f1
13,Feb,2016,287.983769290698,286.3001222547732,K,ssp370,NorESM2-MM,r1i1p1f1
14,Mar,2016,288.3710839771526,286.78157630013646,K,ssp370,NorESM2-MM,r1i1p1f1
15,Apr,2016,289.1478370614101,287.7405596951229,K,ssp370,NorESM2-MM,r1i1p1f1
16,May,2016,289.6979913178734,288.70890390122787,K,ssp370,NorESM2-MM,r1i1p1f1
17,Jun,2016,290.0750717372423,289.3419860404461,K,ssp370,NorESM2-MM,r1i1p1f1
18,Jul,2016,290.32361912309847,289.6654346203817,K,ssp370,NorESM2-MM,r1i1p1f1
19,Aug,2016,290.38180591489197,289.69371045506455,K,ssp370,NorESM2-MM,r1i1p1f1
20,Sep,2016,289.84789646164967,289.0059990005492,K,ssp370,NorESM2-MM,r1i1p1f1
21,Oct,2016,289.18799355290776,288.0384553169856,K,ssp370,NorESM2-MM,r1i1p1f1
22,Nov,2016,288.2944518855362,286.76790208786116,K,ssp370,NorESM2-MM,r1i1p1f1
23,Dec,2016,287.6903881932902,285.9047113681931,K,ssp370,NorESM2-MM,r1i1p1f1
24,Jan,2017,287.57424661047827,285.73599649918765,K,ssp370,NorESM2-MM,r1i1p1f1
25,Feb,2017,287.92289148378114,286.1508682829728,K,ssp370,NorESM2-MM,r1i1p1f1
26,Mar,2017,288.46517678494155,286.83405128190225,K,ssp370,NorESM2-MM,r1i1p1f1
27,Apr,2017,289.1053439518762,287.71388896213256,K,ssp370,NorESM2-MM,r1i1p1f1
28,May,2017,289.7002214768605,288.75191611078935,K,ssp370,NorESM2-MM,r1i1p1f1
29,Jun,2017,289.90914457702604,289.20001316245714,K,ssp370,NorESM2-MM,r1i1p1f1
30,Jul,2017,290.46245763599245,289.7824327547175,K,ssp370,NorESM2-MM,r1i1p1f1
31,Aug,2017,290.34512569580556,289.65304858408837,K,ssp370,NorESM2-MM,r1i1p1f1
32,Sep,2017,289.873157529803,289.0524086241619,K,ssp370,NorESM2-MM,r1i1p1f1
33,Oct,2017,289.22381258756883,288.03963333686573,K,ssp370,NorESM2-MM,r1i1p1f1
34,Nov,2017,288.43574997368864,286.97202741249487,K,ssp370,NorESM2-MM,r1i1p1f1
35,Dec,2017,287.7743858431702,286.0148745587584,K,ssp370,NorESM2-MM,r1i1p1f1
36,Jan,2018,287.7606649511752,285.90410146542024,K,ssp370,NorESM2-MM,r1i1p1f1
37,Feb,2018,287.99995361470434,286.0913012874713,K,ssp370,NorESM2-MM,r1i1p1f1
38,Mar,2018,288.49890465474857,286.6711376076098,K,ssp370,NorESM2-MM,r1i1p1f1
39,Apr,2018,289.31821839969575,287.79017683961507,K,ssp370,NorESM2-MM,r1i1p1f1
40,May,2018,289.9426770786124,288.9724393505198,K,ssp370,NorESM2-MM,r1i1p1f1
41,Jun,2018,290.30541650180044,289.58076829718686,K,ssp370,NorESM2-MM,r1i1p1f1
42,Jul,2018,290.5784089768666,289.90471499234076,K,ssp370,NorESM2-MM,r1i1p1f1
43,Aug,2018,290.5659867489012,289.8772067235134,K,ssp370,NorESM2-MM,r1i1p1f1
44,Sep,2018,290.02692156008334,289.1654701518592,K,ssp370,NorESM2-MM,r1i1p1f1
45,Oct,2018,289.4171555166513,288.17121357657066,K,ssp370,NorESM2-MM,r1i1p1f1
46,Nov,2018,288.7293954010658,287.1304631031398,K,ssp370,NorESM2-MM,r1i1p1f1
47,Dec,2018,288.16131709731525,286.42012540880313,K,ssp370,NorESM2-MM,r1i1p1f1
48,Jan,2019,287.93602177238137,286.0861892808141,K,ssp370,NorESM2-MM,r1i1p1f1
49,Feb,2019,288.0779843887047,286.1746940559868,K,ssp370,NorESM2-MM,r1i1p1f1
50,Mar,2019,288.53754025646987,286.82994891365644,K,ssp370,NorESM2-MM,r1i1p1f1
51,Apr,2019,289.4522626315514,288.05965080201884,K,ssp370,NorESM2-MM,r1i1p1f1
52,May,2019,289.9151703189271,288.9176984828735,K,ssp370,NorESM2-MM,r1i1p1f1
53,Jun,2019,290.3423407394586,289.61067918026833,K,ssp370,NorESM2-MM,r1i1p1f1
54,Jul,2019,290.57785732411986,289.9175421466449,K,ssp370,NorESM2-MM,r1i1p1f1
55,Aug,2019,290.4062987462435,289.73714520238127,K,ssp370,NorESM2-MM,r1i1p1f1
56,Sep,2019,289.8305379163869,288.99273625192495,K,ssp370,NorESM2-MM,r1i1p1f1
57,Oct,2019,289.06499127596766,287.8688818063912,K,ssp370,NorESM2-MM,r1i1p1f1
58,Nov,2019,288.35353415986054,286.80331519077157,K,ssp370,NorESM2-MM,r1i1p1f1
59,Dec,2019,287.74043286338105,286.0071223091303,K,ssp370,NorESM2-MM,r1i1p1f1
60,Jan,2020,287.4467210315982,285.6693311261181,K,ssp370,NorESM2-MM,r1i1p1f1
61,Feb,2020,287.49078335361486,285.7270513365868,K,ssp370,NorESM2-MM,r1i1p1f1
62,Mar,2020,288.1467495877763,286.3671268667047,K,ssp370,NorESM2-MM,r1i1p1f1
63,Apr,2020,288.97868673389075,287.5885869142959,K,ssp370,NorESM2-MM,r1i1p1f1
64,May,2020,289.58445148678805,288.5949610342045,K,ssp370,NorESM2-MM,r1i1p1f1
65,Jun,2020,290.0130007288135,289.27787807506326,K,ssp370,NorESM2-MM,r1i1p1f1
66,Jul,2020,290.185508783561,289.5466264397499,K,ssp370,NorESM2-MM,r1i1p1f1
67,Aug,2020,290.15864154162074,289.4642438509271,K,ssp370,NorESM2-MM,r1i1p1f1
68,Sep,2020,289.70475449612707,288.83894471271935,K,ssp370,NorESM2-MM,r1i1p1f1
69,Oct,2020,289.0252962538444,287.8528863185745,K,ssp370,NorESM2-MM,r1i1p1f1
70,Nov,2020,288.2804915100783,286.76402217257726,K,ssp370,NorESM2-MM,r1i1p1f1
71,Dec,2020,287.7649075252392,286.05946567748833,K,ssp370,NorESM2-MM,r1i1p1f1
72,Jan,2021,287.50738563000397,285.74246569532625,K,ssp370,NorESM2-MM,r1i1p1f1
73,Feb,2021,287.7790295924106,285.9614513979695,K,ssp370,NorESM2-MM,r1i1p1f1
74,Mar,2021,288.23930936578233,286.51852042627644,K,ssp370,NorESM2-MM,r1i1p1f1
75,Apr,2021,288.9897954109253,287.6631468362008,K,ssp370,NorESM2-MM,r1i1p1f1
76,May,2021,289.65775169563057,288.69901646124634,K,ssp370,NorESM2-MM,r1i1p1f1
77,Jun,2021,290.03410322007784,289.31707231135005,K,ssp370,NorESM2-MM,r1i1p1f1
78,Jul,2021,290.29009963353104,289.6300651226942,K,ssp370,NorESM2-MM,r1i1p1f1
79,Aug,2021,290.2082664056444,289.53616243904787,K,ssp370,NorESM2-MM,r1i1p1f1
80,Sep,2021,289.5388791081897,288.6936709426902,K,ssp370,NorESM2-MM,r1i1p1f1
81,Oct,2021,288.8921674926818,287.74875108380434,K,ssp370,NorESM2-MM,r1i1p1f1
