,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,1850,286.07249757313946,283.9870072013619,K,historical,UKESM1-0-LL,r11i1p1f2
1,Feb,1850,286.2382187309651,284.15661590814346,K,historical,UKESM1-0-LL,r11i1p1f2
2,Mar,1850,286.8296252402465,284.93763286232206,K,historical,UKESM1-0-LL,r11i1p1f2
3,Apr,1850,287.67039231119946,286.06298497343556,K,historical,UKESM1-0-LL,r11i1p1f2
4,May,1850,288.1633878538883,287.079353882812,K,historical,UKESM1-0-LL,r11i1p1f2
5,Jun,1850,288.6943323773481,287.9431352245538,K,historical,UKESM1-0-LL,r11i1p1f2
6,Jul,1850,288.97562385152736,288.34790651579476,K,historical,UKESM1-0-LL,r11i1p1f2
7,Aug,1850,288.99155774257247,288.29139155419074,K,historical,UKESM1-0-LL,r11i1p1f2
8,Sep,1850,288.63141839850863,287.66306843543515,K,historical,UKESM1-0-LL,r11i1p1f2
9,Oct,1850,288.0513570226892,286.64006583249363,K,historical,UKESM1-0-LL,r11i1p1f2
10,Nov,1850,287.2975855140846,285.43139624266456,K,historical,UKESM1-0-LL,r11i1p1f2
11,Dec,1850,286.57695472143223,284.5827830518485,K,historical,UKESM1-0-LL,r11i1p1f2
12,Jan,1851,286.36828302039805,284.250320787755,K,historical,UKESM1-0-LL,r11i1p1f2
13,Feb,1851,286.4481084400298,284.2871500182092,K,historical,UKESM1-0-LL,r11i1p1f2
14,Mar,1851,286.9613719789614,285.0441423556434,K,historical,UKESM1-0-LL,r11i1p1f2
15,Apr,1851,287.6797165525122,286.15175830362426,K,historical,UKESM1-0-LL,r11i1p1f2
16,May,1851,288.25740580509273,287.2143961797784,K,historical,UKESM1-0-LL,r11i1p1f2
17,Jun,1851,288.7422384123604,287.98432055278647,K,historical,UKESM1-0-LL,r11i1p1f2
18,Jul,1851,288.9066611105815,288.28878141746526,K,historical,UKESM1-0-LL,r11i1p1f2
19,Aug,1851,289.05608549568075,288.36820248089634,K,historical,UKESM1-0-LL,r11i1p1f2
20,Sep,1851,288.60002623296964,287.65792403150715,K,historical,UKESM1-0-LL,r11i1p1f2
21,Oct,1851,288.1155449207874,286.7294088119766,K,historical,UKESM1-0-LL,r11i1p1f2
22,Nov,1851,287.4121001487664,285.6629421896356,K,historical,UKESM1-0-LL,r11i1p1f2
23,Dec,1851,286.6783057863144,284.6069721502904,K,historical,UKESM1-0-LL,r11i1p1f2
24,Jan,1852,286.29715070675286,284.1466050764759,K,historical,UKESM1-0-LL,r11i1p1f2
25,Feb,1852,286.73863686731676,284.5847622588716,K,historical,UKESM1-0-LL,r11i1p1f2
26,Mar,1852,287.28005628292925,285.3003953610612,K,historical,UKESM1-0-LL,r11i1p1f2
