,Month,Year,No_arctic_temp,Global_temp,Units,Experiment,Model,Ensemble_member
0,Jan,2015,287.45857722138,285.4414507855187,K,ssp370,UKESM1-0-LL,r8i1p1f2
1,Feb,2015,287.5673760247359,285.5236064452862,K,ssp370,UKESM1-0-LL,r8i1p1f2
2,Mar,2015,288.36401217767536,286.5121761229839,K,ssp370,UKESM1-0-LL,r8i1p1f2
3,Apr,2015,289.0655763060889,287.61453379854595,K,ssp370,UKESM1-0-LL,r8i1p1f2
4,May,2015,289.63605569967507,288.5766340607277,K,ssp370,UKESM1-0-LL,r8i1p1f2
5,Jun,2015,289.9487805927171,289.1672202212599,K,ssp370,UKESM1-0-LL,r8i1p1f2
6,Jul,2015,290.3986829148032,289.7238766947795,K,ssp370,UKESM1-0-LL,r8i1p1f2
7,Aug,2015,290.4169322942747,289.70407016198646,K,ssp370,UKESM1-0-LL,r8i1p1f2
8,Sep,2015,289.9907840934207,289.09356193123017,K,ssp370,UKESM1-0-LL,r8i1p1f2
9,Oct,2015,289.38873912894474,288.0008556723187,K,ssp370,UKESM1-0-LL,r8i1p1f2
10,Nov,2015,288.5895859284507,286.9057416822609,K,ssp370,UKESM1-0-LL,r8i1p1f2
11,Dec,2015,287.8968126904341,285.94566411044286,K,ssp370,UKESM1-0-LL,r8i1p1f2
12,Jan,2016,287.770930342012,285.7639996973248,K,ssp370,UKESM1-0-LL,r8i1p1f2
13,Feb,2016,288.03730340282266,285.97132667212554,K,ssp370,UKESM1-0-LL,r8i1p1f2
14,Mar,2016,288.5313071917324,286.686751591469,K,ssp370,UKESM1-0-LL,r8i1p1f2
15,Apr,2016,289.3244538715211,287.8009535232598,K,ssp370,UKESM1-0-LL,r8i1p1f2
16,May,2016,289.78670436882277,288.7592849064525,K,ssp370,UKESM1-0-LL,r8i1p1f2
17,Jun,2016,290.3081048502935,289.5388957323192,K,ssp370,UKESM1-0-LL,r8i1p1f2
18,Jul,2016,290.67044864114746,290.0304422247813,K,ssp370,UKESM1-0-LL,r8i1p1f2
19,Aug,2016,290.6223568611325,289.9091099405874,K,ssp370,UKESM1-0-LL,r8i1p1f2
20,Sep,2016,290.2423761998878,289.2989362116254,K,ssp370,UKESM1-0-LL,r8i1p1f2
21,Oct,2016,289.50716549099707,288.1954057349782,K,ssp370,UKESM1-0-LL,r8i1p1f2
22,Nov,2016,288.66933794142255,286.94017324004824,K,ssp370,UKESM1-0-LL,r8i1p1f2
23,Dec,2016,288.1099835901726,286.22215443723667,K,ssp370,UKESM1-0-LL,r8i1p1f2
24,Jan,2017,287.60399746639916,285.6531779200925,K,ssp370,UKESM1-0-LL,r8i1p1f2
25,Feb,2017,288.11416575085093,286.0938811007618,K,ssp370,UKESM1-0-LL,r8i1p1f2
26,Mar,2017,288.60896778576785,286.70080403393996,K,ssp370,UKESM1-0-LL,r8i1p1f2
27,Apr,2017,289.27869965182083,287.74710361027303,K,ssp370,UKESM1-0-LL,r8i1p1f2
28,May,2017,289.7146060341341,288.66317032625614,K,ssp370,UKESM1-0-LL,r8i1p1f2
29,Jun,2017,290.2096202792677,289.43298784487854,K,ssp370,UKESM1-0-LL,r8i1p1f2
30,Jul,2017,290.5558033293227,289.90920546959495,K,ssp370,UKESM1-0-LL,r8i1p1f2
31,Aug,2017,290.5179469462023,289.7990102769808,K,ssp370,UKESM1-0-LL,r8i1p1f2
32,Sep,2017,290.06932331847594,289.18637202613536,K,ssp370,UKESM1-0-LL,r8i1p1f2
33,Oct,2017,289.4568366083496,288.2226925833302,K,ssp370,UKESM1-0-LL,r8i1p1f2
34,Nov,2017,288.493776421482,286.9008183167237,K,ssp370,UKESM1-0-LL,r8i1p1f2
35,Dec,2017,287.6827065402775,285.87485606008704,K,ssp370,UKESM1-0-LL,r8i1p1f2
36,Jan,2018,287.24577395806665,285.29740531057945,K,ssp370,UKESM1-0-LL,r8i1p1f2
37,Feb,2018,287.7013648023062,285.71705679078275,K,ssp370,UKESM1-0-LL,r8i1p1f2
38,Mar,2018,288.4126283685973,286.5501612691855,K,ssp370,UKESM1-0-LL,r8i1p1f2
39,Apr,2018,289.01388141834644,287.5987985106011,K,ssp370,UKESM1-0-LL,r8i1p1f2
40,May,2018,289.42097054304514,288.4010545351116,K,ssp370,UKESM1-0-LL,r8i1p1f2
41,Jun,2018,289.9302415984202,289.2114143063713,K,ssp370,UKESM1-0-LL,r8i1p1f2
42,Jul,2018,290.2912958106385,289.6238611408821,K,ssp370,UKESM1-0-LL,r8i1p1f2
43,Aug,2018,290.45274877840376,289.75120313728104,K,ssp370,UKESM1-0-LL,r8i1p1f2
44,Sep,2018,289.98707497824455,289.10334059651177,K,ssp370,UKESM1-0-LL,r8i1p1f2
45,Oct,2018,289.202183162603,287.96933233121837,K,ssp370,UKESM1-0-LL,r8i1p1f2
46,Nov,2018,288.5058048481263,286.88484987590095,K,ssp370,UKESM1-0-LL,r8i1p1f2
47,Dec,2018,287.9674748222882,286.07779317511734,K,ssp370,UKESM1-0-LL,r8i1p1f2
48,Jan,2019,287.65213874887684,285.64480917624286,K,ssp370,UKESM1-0-LL,r8i1p1f2
49,Feb,2019,287.75094867137676,285.7040813767015,K,ssp370,UKESM1-0-LL,r8i1p1f2
50,Mar,2019,288.45841153974897,286.6759659449994,K,ssp370,UKESM1-0-LL,r8i1p1f2
51,Apr,2019,289.1825629252713,287.6861174145881,K,ssp370,UKESM1-0-LL,r8i1p1f2
52,May,2019,289.61937131656055,288.5812780460619,K,ssp370,UKESM1-0-LL,r8i1p1f2
53,Jun,2019,290.2877557639213,289.5366668135898,K,ssp370,UKESM1-0-LL,r8i1p1f2
54,Jul,2019,290.55780942846013,289.9180634138013,K,ssp370,UKESM1-0-LL,r8i1p1f2
55,Aug,2019,290.5507124476409,289.841866005255,K,ssp370,UKESM1-0-LL,r8i1p1f2
56,Sep,2019,290.19725855463247,289.32583267570146,K,ssp370,UKESM1-0-LL,r8i1p1f2
57,Oct,2019,289.4675093504075,288.1976057117478,K,ssp370,UKESM1-0-LL,r8i1p1f2
58,Nov,2019,288.96392524344924,287.29836828084774,K,ssp370,UKESM1-0-LL,r8i1p1f2
59,Dec,2019,288.1676813033665,286.31218600523044,K,ssp370,UKESM1-0-LL,r8i1p1f2
60,Jan,2020,287.89959236678976,285.9091657587334,K,ssp370,UKESM1-0-LL,r8i1p1f2
61,Feb,2020,287.80245319043075,285.92107737950187,K,ssp370,UKESM1-0-LL,r8i1p1f2
62,Mar,2020,288.63226919512806,286.7782986174087,K,ssp370,UKESM1-0-LL,r8i1p1f2
63,Apr,2020,289.3140328780369,287.81081758092205,K,ssp370,UKESM1-0-LL,r8i1p1f2
64,May,2020,289.86792087537316,288.8452110562957,K,ssp370,UKESM1-0-LL,r8i1p1f2
65,Jun,2020,290.27964726197007,289.5498678744655,K,ssp370,UKESM1-0-LL,r8i1p1f2
66,Jul,2020,290.7539076011223,290.11157174402047,K,ssp370,UKESM1-0-LL,r8i1p1f2
67,Aug,2020,290.629818245725,289.92281838014503,K,ssp370,UKESM1-0-LL,r8i1p1f2
68,Sep,2020,290.22794902854685,289.36616188657234,K,ssp370,UKESM1-0-LL,r8i1p1f2
69,Oct,2020,289.4291305124944,288.2218171225208,K,ssp370,UKESM1-0-LL,r8i1p1f2
70,Nov,2020,288.68311163851945,287.0649982146922,K,ssp370,UKESM1-0-LL,r8i1p1f2
