year,no_arctic_tas,world_tas
1850,-0.39348678387574465,-0.4048002666824414
1851,-0.23510164339769998,-0.22099959457732174
1852,-0.20626019143873195,-0.20991886542020022
1853,-0.2507759424302041,-0.24407973484939463
1854,-0.2836658862218349,-0.27898351444101127
1855,-0.25891958671960696,-0.28055343253961
1856,-0.303851393911129,-0.3218338416870321
1857,-0.45292462697084784,-0.45774669603812085
1858,-0.3725988430745948,-0.3610489193903501
1859,-0.25492795291404674,-0.2642279016859282
1860,-0.3511916026369549,-0.3609492107026882
1861,-0.4354743481666412,-0.4298341551781737
1862,-0.476223980541147,-0.5006335834603506
1863,-0.34055973069818024,-0.35121991896931876
1864,-0.37466807224008414,-0.3791547081699128
1865,-0.2658668122937616,-0.29472702943548
1866,-0.296185159594293,-0.3290616796933742
1867,-0.2849289914402405,-0.32143778606827267
1868,-0.23514087637624598,-0.25252917331483277
1869,-0.28303592769277514,-0.2892823350304395
1870,-0.2814558196125591,-0.29248508854126654
1871,-0.3107456122181966,-0.3344311739309201
1872,-0.3090006174089575,-0.317428136949388
1873,-0.3240228262140967,-0.3354605617610067
1874,-0.39083436589111814,-0.38641731519198175
1875,-0.3259943100505271,-0.338483742502362
1876,-0.3815243616764974,-0.3915332654896849
1877,-0.012228144958289455,-0.03193093784973804
1878,0.023755401848105307,0.021148172553754646
1879,-0.28842517990876804,-0.298056645426906
1880,-0.2848521638249556,-0.29318608011041264
1881,-0.1828488949776631,-0.21583511095207739
1882,-0.25673722116330033,-0.28998753708203884
1883,-0.33858850562547743,-0.32937478658449126
1884,-0.4624999075162826,-0.48613961214902474
1885,-0.4280235390299344,-0.4622979541026938
1886,-0.3969363332007294,-0.4229063280076798
1887,-0.46922866459738743,-0.48732981094299294
1888,-0.3421384059687,-0.36833750442845503
1889,-0.22767648487815817,-0.2313606424578769
1890,-0.4852140443352119,-0.48672121191683193
1891,-0.35432547658152563,-0.37505698358616846
1892,-0.480258618220588,-0.5054406286863797
1893,-0.47242107473286926,-0.4819297041602373
1894,-0.47594082412786487,-0.4731304561330636
1895,-0.39978374071881795,-0.410483643125098
1896,-0.2575026789830987,-0.26533594106083624
1897,-0.2477370904373337,-0.2484719299972667
1898,-0.47491981786872856,-0.47976615216747964
1899,-0.308774016866413,-0.3336786743181349
1900,-0.19617393166917294,-0.21345036136620404
1901,-0.27045266084098946,-0.27980925385479705
1902,-0.40858536147638647,-0.43867152082091915
1903,-0.5385780777385735,-0.5303331051612541
1904,-0.5984416570439496,-0.5899690773807481
1905,-0.4004717879457634,-0.39931360437633856
1906,-0.3140579509422591,-0.30527019931453264
1907,-0.5018292183591859,-0.5031443833085388
1908,-0.5084549624493538,-0.4981704116625539
1909,-0.5324900841995537,-0.5329966788087602
1910,-0.5386846965753955,-0.539160908172876
1911,-0.5586504443928619,-0.5400602155386408
1912,-0.461461331003709,-0.48334438778393984
1913,-0.454508149660338,-0.4656173298271431
1914,-0.2582678180250162,-0.2690160640676971
1915,-0.19189381793323415,-0.20919873317854712
1916,-0.4234578906886978,-0.4302080847604029
1917,-0.5129334724782428,-0.548705191374256
1918,-0.41918667706063506,-0.4438077676902973
1919,-0.3348056304005715,-0.34912085039256074
1920,-0.35441069595377045,-0.3469777109142189
1921,-0.25536224161886834,-0.24662736275272307
1922,-0.3460730542151302,-0.3424456424821169
1923,-0.3405907329024649,-0.3193069885501247
1924,-0.3409082505205193,-0.3179065375946981
1925,-0.29567615477248865,-0.291699677348716
1926,-0.14617066562826195,-0.12680899777981786
1927,-0.24748640910040076,-0.23099564204602133
1928,-0.24187146355337505,-0.208489195235063
1929,-0.4075302569840649,-0.3949781763908742
1930,-0.21354085962888064,-0.1860560011979432
1931,-0.1402217450172764,-0.1142273854911718
1932,-0.18518172478718412,-0.1599476512592347
1933,-0.3590233363109981,-0.34718448038426064
1934,-0.24195214062181852,-0.20022583787312104
1935,-0.24099491484919644,-0.21599388610062203
1936,-0.19436857662787285,-0.1741665125296264
1937,-0.0697518544562413,-0.01296303649241887
1938,-0.07875074629826613,-0.01609254697527495
1939,-0.06841852590024598,-0.03956230017822545
1940,0.03320515599084818,0.07523016252616717
1941,0.013993921555285917,0.013461955639374808
1942,-0.030061581554429298,-0.00705896564483657
1943,-0.007827589948216382,0.04637841094658077
1944,0.08013344137324392,0.12532752105042544
1945,-0.043112182686678706,-0.012905056274269019
1946,-0.13487264654554598,-0.12728061428362628
1947,-0.15104662108460837,-0.09753677899257686
1948,-0.1526096615085735,-0.14137100404561329
1949,-0.16839581361640904,-0.14950609976163104
1950,-0.2603998370010731,-0.23779268153107785
1951,-0.08807379582230022,-0.07654172475767797
1952,-0.013259915814838007,0.0047531413515756755
1953,0.0023282442784625687,0.04278818172504203
1954,-0.16260019337069714,-0.11628108492861666
1955,-0.18513816081900922,-0.1827670202853236
1956,-0.26885183673719687,-0.2513118310616907
1957,-0.05004611406472506,-0.04541043074262608
1958,-0.01413816180819773,-0.01882146542198799
1959,-0.08131120507375027,-0.0528919939786929
1960,-0.14459898427752335,-0.11946326822270358
1961,-0.021854336491892754,-0.02620699622417735
1962,-0.09452484257868837,-0.07193246702239396
1963,-0.03717023363166424,-0.047071032760015764
1964,-0.28818240278442503,-0.3054398931121785
1965,-0.20315268086732782,-0.20351561350342032
1966,-0.12332357442699075,-0.14845425496506026
1967,-0.1364148775232735,-0.11461432741908051
1968,-0.1598522509839318,-0.16405780185070784
1969,-0.03077969939856352,-0.029956488051937298
1970,-0.07991942637504615,-0.08433214144726867
1971,-0.21395773163752915,-0.20635271281900336
1972,-0.09198413538445571,-0.09720909365407386
1973,0.0474434746811118,0.04997715517423565
1974,-0.17224172727823464,-0.17425982004333693
1975,-0.11217140858821484,-0.10741681585596127
1976,-0.22420475608609014,-0.21284791970771463
1977,0.10700291922661438,0.10856458252186567
1978,0.012256371869993286,0.005423380321372647
1979,0.12676446534133462,0.0904842136748319
1980,0.1954947919837338,0.19805962420763878
1981,0.21436803115337177,0.24926895490044182
1982,0.05197658981596243,0.03451776740610059
1983,0.2313879408421633,0.22478540063746738
1984,0.03931875701899616,0.048449806369017315
1985,0.034037706147324674,0.050444043997213944
1986,0.10285979815692867,0.09573689821528367
1987,0.27039697382110606,0.24312058454053198
1988,0.2670649999347347,0.28064821356980496
1989,0.17287481483672532,0.17790084113978058
1990,0.3423907329897923,0.3592031315033583
1991,0.3198301312472494,0.33948989495796456
1992,0.13956126641045816,0.1266767601874273
1993,0.1478742948399449,0.1663070261816997
1994,0.23162522644703817,0.23550023439053572
1995,0.3321685973756082,0.3764289188264485
1996,0.25060192431435385,0.2758165990552583
1997,0.41075096230648767,0.42318776758852084
1998,0.5638265708228027,0.5777782136707409
1999,0.3154192331490791,0.32312321710122444
2000,0.3004832223507838,0.3298299374541134
2001,0.46398760193265387,0.4885751270730824
2002,0.510019254657849,0.5437333391911026
2003,0.504566280514124,0.5444759056884098
2004,0.4636264212858005,0.46753555391956375
2005,0.5453445798767237,0.6069265734001736
2006,0.5150538529596295,0.572306346064607
2007,0.5203812889407154,0.5914585927107912
2008,0.4129149911811951,0.46398540224874174
2009,0.5555557908902315,0.595302889615103
2010,0.6064895451519134,0.6798337385637293
2011,0.45214986693899883,0.5364303103418511
2012,0.4992926403531183,0.5761422365449378
2013,0.5845794856219564,0.6229517788421639
2014,0.6076700374840872,0.6705464522533019
2015,0.767522535513641,0.8239776823217073
2016,0.8278780578265094,0.9314256202869551
2017,0.7706741627691374,0.8444106845081216
2018,0.6950739696597517,0.7605554493816532
2019,0.8070989496215277,0.8902948090065999
2020,0.8315632545498808,0.9217860969441093
2021,0.6993916535479309,0.7590680820366136
2022,0.7497997545762227,0.8150597704477633
