year,no_arctic_tas,world_tas
1850,-0.3866544172970357,-0.3946790246641289
1851,-0.2337582650687858,-0.22898142078455247
1852,-0.26292186997590233,-0.26440643678237685
1853,-0.3195889220282469,-0.32414507524403813
1854,-0.2641242269405749,-0.26686899421923943
1855,-0.25087877266281394,-0.262942968761352
1856,-0.3920983538356188,-0.3934925274528981
1857,-0.48748318778056354,-0.48977544970188747
1858,-0.4277136067088312,-0.42595616858329227
1859,-0.354563765817935,-0.3607700244661309
1860,-0.44916097739772337,-0.4585466858280534
1861,-0.4857976462751078,-0.49251539511353154
1862,-0.5706306187505137,-0.5898344774503511
1863,-0.3771779293115021,-0.3920018810451053
1864,-0.4751459784293046,-0.48151828181077627
1865,-0.3405927702769145,-0.3512626153743523
1866,-0.29972828965188186,-0.3151161517831162
1867,-0.34767461194963245,-0.36607035992351755
1868,-0.2698578653447306,-0.2837215292633358
1869,-0.29953000932120893,-0.3071944564729425
1870,-0.3306658304161304,-0.3437123120456267
1871,-0.34464938074164103,-0.364434253354966
1872,-0.31201642636970567,-0.3176907305657311
1873,-0.2945555930506811,-0.3019396929723408
1874,-0.39371128805578304,-0.38969392648029266
1875,-0.3712358648643162,-0.38067321568154283
1876,-0.3827217529661432,-0.392523256111415
1877,-0.06774799600122684,-0.08503623071078985
1878,-0.0008048269179968593,-0.00011057994834388647
1879,-0.2539155992572275,-0.26443888653613085
1880,-0.2834115675530372,-0.29162416916516365
1881,-0.21255040162880207,-0.2295122963235243
1882,-0.26268689236050763,-0.2894320203087463
1883,-0.3404542525848889,-0.3420290805170074
1884,-0.48984338795080656,-0.5058870932214494
1885,-0.46121855297103864,-0.48532167679134
1886,-0.429438305116057,-0.455589154741966
1887,-0.4700433702439729,-0.4941879695632632
1888,-0.3139299947565848,-0.3416889002732826
1889,-0.19517615425916787,-0.20783058556279183
1890,-0.44250601564022757,-0.4558875518339647
1891,-0.342014775667086,-0.36498642891461947
1892,-0.4471724180212916,-0.4695277278535911
1893,-0.4306006467653563,-0.4394213987380894
1894,-0.40178552869332024,-0.4108486888704325
1895,-0.365569418838752,-0.3785942017211192
1896,-0.19599910153564176,-0.2112774427604033
1897,-0.21461605087198365,-0.21870465576219167
1898,-0.4228802973205719,-0.4432875426149217
1899,-0.2707804378794888,-0.29650913408819124
1900,-0.167335500218,-0.185260014368116
1901,-0.2185197688103198,-0.2320880031997893
1902,-0.3483936778612003,-0.3813880398914132
1903,-0.4624421855115157,-0.46257379845584645
1904,-0.5144142008055147,-0.5103532817840403
1905,-0.3513955610214071,-0.3502066811858273
1906,-0.2590682580792673,-0.2626420025279581
1907,-0.42538496085229593,-0.42584291857146533
1908,-0.4641889224648762,-0.46417009913894663
1909,-0.5075696897077397,-0.5167447576630234
1910,-0.48296944987358026,-0.4926354870939727
1911,-0.5162531665218753,-0.5122691209226415
1912,-0.42597512851712954,-0.4389270044067719
1913,-0.3925520817351939,-0.4036052486527692
