year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.0830330584457,287.8332804367299,ACCESS-CM2,ssp126,r2i1p1f1
2016,289.1540218107208,287.92168654515206,ACCESS-CM2,ssp126,r2i1p1f1
2017,289.1143775021986,287.89573186961195,ACCESS-CM2,ssp126,r2i1p1f1
2018,289.2169393183615,288.01267993627624,ACCESS-CM2,ssp126,r2i1p1f1
2019,289.4260293735165,288.2137160427902,ACCESS-CM2,ssp126,r2i1p1f1
2020,289.4894350118073,288.2930104265384,ACCESS-CM2,ssp126,r2i1p1f1
2021,289.26118639331605,288.06504793702334,ACCESS-CM2,ssp126,r2i1p1f1
2022,289.4846185603907,288.28350963781963,ACCESS-CM2,ssp126,r2i1p1f1
2023,289.5116898434291,288.32275796249627,ACCESS-CM2,ssp126,r2i1p1f1
2024,289.70838556507965,288.5156012832033,ACCESS-CM2,ssp126,r2i1p1f1
2025,289.61334893965324,288.43277218999447,ACCESS-CM2,ssp126,r2i1p1f1
2026,289.5130028967868,288.32349982849536,ACCESS-CM2,ssp126,r2i1p1f1
2027,289.56799240395964,288.3639747828692,ACCESS-CM2,ssp126,r2i1p1f1
2028,289.65311594765274,288.4755090816355,ACCESS-CM2,ssp126,r2i1p1f1
2029,289.5422875522518,288.3464173292431,ACCESS-CM2,ssp126,r2i1p1f1
2030,289.76239808198653,288.551521659794,ACCESS-CM2,ssp126,r2i1p1f1
2031,289.8122244304153,288.57321961861584,ACCESS-CM2,ssp126,r2i1p1f1
2032,289.5586248364183,288.33004443423624,ACCESS-CM2,ssp126,r2i1p1f1
2033,289.7399197600159,288.53158348705307,ACCESS-CM2,ssp126,r2i1p1f1
2034,289.8085397368144,288.5938321740735,ACCESS-CM2,ssp126,r2i1p1f1
2035,289.84911888124293,288.63003217576664,ACCESS-CM2,ssp126,r2i1p1f1
2036,289.9411047876053,288.7156109014635,ACCESS-CM2,ssp126,r2i1p1f1
2037,289.79932435283825,288.60324271627485,ACCESS-CM2,ssp126,r2i1p1f1
2038,289.97735879053096,288.82615379336085,ACCESS-CM2,ssp126,r2i1p1f1
2039,289.928641918656,288.8030151096521,ACCESS-CM2,ssp126,r2i1p1f1
2040,289.99075869674044,288.8820274609005,ACCESS-CM2,ssp126,r2i1p1f1
2041,290.004155104568,288.8612660748262,ACCESS-CM2,ssp126,r2i1p1f1
2042,290.1990658769258,289.0636861730454,ACCESS-CM2,ssp126,r2i1p1f1
2043,290.08909600135365,288.93515876116595,ACCESS-CM2,ssp126,r2i1p1f1
2044,290.1249918927714,289.0187358478894,ACCESS-CM2,ssp126,r2i1p1f1
2045,290.112667994399,288.9783475657677,ACCESS-CM2,ssp126,r2i1p1f1
2046,290.20117628039674,289.06085464047493,ACCESS-CM2,ssp126,r2i1p1f1
2047,290.24142002759976,289.1285582178864,ACCESS-CM2,ssp126,r2i1p1f1
2048,290.2297231255099,289.0935158784451,ACCESS-CM2,ssp126,r2i1p1f1
2049,290.20132791312386,289.0844617226457,ACCESS-CM2,ssp126,r2i1p1f1
2050,290.24927434382903,289.1127569328532,ACCESS-CM2,ssp126,r2i1p1f1
2051,290.28706827095607,289.1485757281705,ACCESS-CM2,ssp126,r2i1p1f1
2052,290.47957555450347,289.3155966700651,ACCESS-CM2,ssp126,r2i1p1f1
2053,290.3594780438353,289.2083688992714,ACCESS-CM2,ssp126,r2i1p1f1
2054,290.26830737896444,289.1329503094154,ACCESS-CM2,ssp126,r2i1p1f1
2055,290.1877323989761,289.0669862561976,ACCESS-CM2,ssp126,r2i1p1f1
2056,290.46614233083415,289.35956494188434,ACCESS-CM2,ssp126,r2i1p1f1
2057,290.27201449666677,289.13708819431287,ACCESS-CM2,ssp126,r2i1p1f1
2058,290.3619973184875,289.2302362781705,ACCESS-CM2,ssp126,r2i1p1f1
2059,290.3540066087358,289.2328513591187,ACCESS-CM2,ssp126,r2i1p1f1
2060,290.4558988872891,289.34382439390475,ACCESS-CM2,ssp126,r2i1p1f1
2061,290.39812259085454,289.3018090901296,ACCESS-CM2,ssp126,r2i1p1f1
2062,290.4435117438691,289.3501701139842,ACCESS-CM2,ssp126,r2i1p1f1
2063,290.4144745957315,289.31781562857043,ACCESS-CM2,ssp126,r2i1p1f1
2064,290.4037478946673,289.32266228991733,ACCESS-CM2,ssp126,r2i1p1f1
2065,290.3998172750627,289.28108384764715,ACCESS-CM2,ssp126,r2i1p1f1
2066,290.5277695443156,289.40832525184027,ACCESS-CM2,ssp126,r2i1p1f1
2067,290.49149827033324,289.3683324060017,ACCESS-CM2,ssp126,r2i1p1f1
2068,290.37035737722215,289.2549786629977,ACCESS-CM2,ssp126,r2i1p1f1
2069,290.50129856952054,289.3962721937526,ACCESS-CM2,ssp126,r2i1p1f1
2070,290.5709100821109,289.4462171251513,ACCESS-CM2,ssp126,r2i1p1f1
2071,290.4807538736707,289.3639311649252,ACCESS-CM2,ssp126,r2i1p1f1
2072,290.56052652317544,289.4406013557938,ACCESS-CM2,ssp126,r2i1p1f1
2073,290.4585779810396,289.35894658096805,ACCESS-CM2,ssp126,r2i1p1f1
2074,290.48068824666075,289.38291645204276,ACCESS-CM2,ssp126,r2i1p1f1
2075,290.4824311236555,289.378876756436,ACCESS-CM2,ssp126,r2i1p1f1
2076,290.46158783217584,289.33643386227294,ACCESS-CM2,ssp126,r2i1p1f1
2077,290.6130000498826,289.4696733535582,ACCESS-CM2,ssp126,r2i1p1f1
2078,290.5471214017555,289.41920168567435,ACCESS-CM2,ssp126,r2i1p1f1
2079,290.55194098592193,289.4253510637996,ACCESS-CM2,ssp126,r2i1p1f1
2080,290.638676700737,289.5242374779281,ACCESS-CM2,ssp126,r2i1p1f1
2081,290.6456576790181,289.5601555041638,ACCESS-CM2,ssp126,r2i1p1f1
2082,290.7634713651945,289.6714890389237,ACCESS-CM2,ssp126,r2i1p1f1
2083,290.52208992569246,289.4014508793492,ACCESS-CM2,ssp126,r2i1p1f1
2084,290.46556071379536,289.3775038843007,ACCESS-CM2,ssp126,r2i1p1f1
2085,290.6268360078209,289.5244760380658,ACCESS-CM2,ssp126,r2i1p1f1
2086,290.42773824700873,289.34077093591185,ACCESS-CM2,ssp126,r2i1p1f1
2087,290.52378893405614,289.42249262564667,ACCESS-CM2,ssp126,r2i1p1f1
2088,290.6941633277967,289.60524276334417,ACCESS-CM2,ssp126,r2i1p1f1
2089,290.5721776753341,289.454837600379,ACCESS-CM2,ssp126,r2i1p1f1
2090,290.5886363926037,289.497344162415,ACCESS-CM2,ssp126,r2i1p1f1
2091,290.54462116625257,289.43108254764826,ACCESS-CM2,ssp126,r2i1p1f1
2092,290.5741006864532,289.4534496024435,ACCESS-CM2,ssp126,r2i1p1f1
2093,290.535722945059,289.4369418364137,ACCESS-CM2,ssp126,r2i1p1f1
2094,290.4873415384863,289.37341668215777,ACCESS-CM2,ssp126,r2i1p1f1
