year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.8143593786834,287.61722228906746,UKESM1-0-LL,ssp245,r5i1p1f2
2016,288.7731086611194,287.57853170527306,UKESM1-0-LL,ssp245,r5i1p1f2
2017,288.94945658513234,287.75818347875685,UKESM1-0-LL,ssp245,r5i1p1f2
2018,289.01545690236975,287.80976944857713,UKESM1-0-LL,ssp245,r5i1p1f2
2019,288.96492423158867,287.77534721292443,UKESM1-0-LL,ssp245,r5i1p1f2
2020,289.04867810431085,287.85211236457235,UKESM1-0-LL,ssp245,r5i1p1f2
2021,288.95073053291236,287.7495345571312,UKESM1-0-LL,ssp245,r5i1p1f2
2022,289.1017610645701,287.8917171102279,UKESM1-0-LL,ssp245,r5i1p1f2
2023,289.3647070186459,288.1741010730423,UKESM1-0-LL,ssp245,r5i1p1f2
2024,289.3994088440955,288.2300615383553,UKESM1-0-LL,ssp245,r5i1p1f2
2025,289.4207158861608,288.25119678896084,UKESM1-0-LL,ssp245,r5i1p1f2
2026,289.3906259540471,288.2056700571832,UKESM1-0-LL,ssp245,r5i1p1f2
2027,289.58639893558865,288.40337408349444,UKESM1-0-LL,ssp245,r5i1p1f2
2028,289.6889168883379,288.5237209968408,UKESM1-0-LL,ssp245,r5i1p1f2
2029,289.5580126934813,288.3975102740241,UKESM1-0-LL,ssp245,r5i1p1f2
2030,289.52107786101243,288.3780332032543,UKESM1-0-LL,ssp245,r5i1p1f2
2031,289.5631839305381,288.42026906866886,UKESM1-0-LL,ssp245,r5i1p1f2
2032,289.58364849886965,288.45371772940297,UKESM1-0-LL,ssp245,r5i1p1f2
2033,289.6778928214306,288.5530785149912,UKESM1-0-LL,ssp245,r5i1p1f2
2034,289.769090653509,288.681032992306,UKESM1-0-LL,ssp245,r5i1p1f2
2035,289.7928723707915,288.6939320263305,UKESM1-0-LL,ssp245,r5i1p1f2
2036,289.9053109096745,288.8045993835667,UKESM1-0-LL,ssp245,r5i1p1f2
2037,290.0983008269273,289.0054979932633,UKESM1-0-LL,ssp245,r5i1p1f2
2038,290.0790467080679,288.99940106314114,UKESM1-0-LL,ssp245,r5i1p1f2
2039,289.9496731784992,288.8746754769593,UKESM1-0-LL,ssp245,r5i1p1f2
2040,290.05512370708584,288.9790733329857,UKESM1-0-LL,ssp245,r5i1p1f2
2041,290.03045624921384,288.94169835827006,UKESM1-0-LL,ssp245,r5i1p1f2
2042,290.16775712697074,289.0870334707922,UKESM1-0-LL,ssp245,r5i1p1f2
2043,290.23023867128023,289.1445311355854,UKESM1-0-LL,ssp245,r5i1p1f2
2044,290.02594062768225,288.9324281744231,UKESM1-0-LL,ssp245,r5i1p1f2
2045,290.16217726816,289.07765143767386,UKESM1-0-LL,ssp245,r5i1p1f2
2046,290.12743563812194,289.05940379085575,UKESM1-0-LL,ssp245,r5i1p1f2
2047,290.0682298835004,289.01660718599845,UKESM1-0-LL,ssp245,r5i1p1f2
2048,290.24712347826056,289.15821359644605,UKESM1-0-LL,ssp245,r5i1p1f2
2049,290.3880505774127,289.33216313526196,UKESM1-0-LL,ssp245,r5i1p1f2
2050,290.57006003868304,289.5210979788713,UKESM1-0-LL,ssp245,r5i1p1f2
2051,290.44055832791383,289.3881815038948,UKESM1-0-LL,ssp245,r5i1p1f2
2052,290.31148845779785,289.2730812540446,UKESM1-0-LL,ssp245,r5i1p1f2
2053,290.43554424903823,289.36468191733866,UKESM1-0-LL,ssp245,r5i1p1f2
2054,290.44947090890327,289.4042778719766,UKESM1-0-LL,ssp245,r5i1p1f2
2055,290.39450869505475,289.3459990176778,UKESM1-0-LL,ssp245,r5i1p1f2
2056,290.5192431886372,289.4817914391025,UKESM1-0-LL,ssp245,r5i1p1f2
2057,290.84087507582365,289.8214241482202,UKESM1-0-LL,ssp245,r5i1p1f2
2058,290.81035521154945,289.79482185635254,UKESM1-0-LL,ssp245,r5i1p1f2
2059,290.74301057932826,289.72539502633447,UKESM1-0-LL,ssp245,r5i1p1f2
2060,290.84085135330855,289.83818316793344,UKESM1-0-LL,ssp245,r5i1p1f2
2061,290.95671770390743,289.9407295583052,UKESM1-0-LL,ssp245,r5i1p1f2
2062,290.78868399884897,289.76709994311904,UKESM1-0-LL,ssp245,r5i1p1f2
2063,290.7774054279842,289.7772917091477,UKESM1-0-LL,ssp245,r5i1p1f2
2064,290.8843220844622,289.9071851801029,UKESM1-0-LL,ssp245,r5i1p1f2
2065,290.9610848402153,289.9542178952829,UKESM1-0-LL,ssp245,r5i1p1f2
2066,290.93972320545316,289.9416369231562,UKESM1-0-LL,ssp245,r5i1p1f2
2067,290.9349393217203,289.9182503164717,UKESM1-0-LL,ssp245,r5i1p1f2
2068,291.0436159107856,290.05857443369047,UKESM1-0-LL,ssp245,r5i1p1f2
2069,291.036135482238,290.1011200563384,UKESM1-0-LL,ssp245,r5i1p1f2
2070,291.08788504833865,290.1145566036805,UKESM1-0-LL,ssp245,r5i1p1f2
2071,291.1094830025758,290.16331757451746,UKESM1-0-LL,ssp245,r5i1p1f2
2072,291.1808700778596,290.22597648297506,UKESM1-0-LL,ssp245,r5i1p1f2
2073,291.1259869400725,290.1858258422945,UKESM1-0-LL,ssp245,r5i1p1f2
2074,291.1093264249987,290.1549128052873,UKESM1-0-LL,ssp245,r5i1p1f2
2075,291.1635157456239,290.21241927462046,UKESM1-0-LL,ssp245,r5i1p1f2
2076,291.2406724378767,290.29090303850506,UKESM1-0-LL,ssp245,r5i1p1f2
2077,291.24389859739523,290.30519729438106,UKESM1-0-LL,ssp245,r5i1p1f2
2078,291.11131349008434,290.16431405675115,UKESM1-0-LL,ssp245,r5i1p1f2
2079,291.1168437169295,290.14807512882527,UKESM1-0-LL,ssp245,r5i1p1f2
2080,291.1306537677114,290.1729523516836,UKESM1-0-LL,ssp245,r5i1p1f2
2081,291.21481568305194,290.25927882224363,UKESM1-0-LL,ssp245,r5i1p1f2
2082,291.44205598166286,290.49965034736516,UKESM1-0-LL,ssp245,r5i1p1f2
2083,291.46792434260954,290.49250358569833,UKESM1-0-LL,ssp245,r5i1p1f2
2084,291.51718075467704,290.53854991434446,UKESM1-0-LL,ssp245,r5i1p1f2
2085,291.3993991793617,290.43850003827527,UKESM1-0-LL,ssp245,r5i1p1f2
2086,291.2817793683535,290.3225271746593,UKESM1-0-LL,ssp245,r5i1p1f2
2087,291.4268910139905,290.5126548172531,UKESM1-0-LL,ssp245,r5i1p1f2
2088,291.51985203122564,290.586775498886,UKESM1-0-LL,ssp245,r5i1p1f2
2089,291.31633824016643,290.38697464165824,UKESM1-0-LL,ssp245,r5i1p1f2
2090,291.38309813867426,290.453456379313,UKESM1-0-LL,ssp245,r5i1p1f2
2091,291.5434437584731,290.6160960952289,UKESM1-0-LL,ssp245,r5i1p1f2
2092,291.6632037731928,290.7508369370602,UKESM1-0-LL,ssp245,r5i1p1f2
2093,291.5808942380501,290.6792350322277,UKESM1-0-LL,ssp245,r5i1p1f2
2094,291.54989767639296,290.64909404305484,UKESM1-0-LL,ssp245,r5i1p1f2
2095,291.7384317584791,290.85249807483586,UKESM1-0-LL,ssp245,r5i1p1f2
2096,291.6820340026881,290.7906134991842,UKESM1-0-LL,ssp245,r5i1p1f2
2097,291.70463857067955,290.8129389643894,UKESM1-0-LL,ssp245,r5i1p1f2
2098,291.6969951058949,290.7768649552198,UKESM1-0-LL,ssp245,r5i1p1f2
2099,291.6151807083625,290.6836738597134,UKESM1-0-LL,ssp245,r5i1p1f2
2100,291.6808929661119,290.77166109629763,UKESM1-0-LL,ssp245,r5i1p1f2
