year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.3969822462031,287.1114429687206,ACCESS-CM2,historical,r2i1p1f1
1851,288.31159028954085,287.04464795269286,ACCESS-CM2,historical,r2i1p1f1
1852,288.11217946129824,286.81725734721215,ACCESS-CM2,historical,r2i1p1f1
1853,288.3175535925384,287.04680946044624,ACCESS-CM2,historical,r2i1p1f1
1854,288.15774758438835,286.8974319368566,ACCESS-CM2,historical,r2i1p1f1
1855,288.2809433627564,287.03790599621647,ACCESS-CM2,historical,r2i1p1f1
1856,288.2498057716874,287.02688713312676,ACCESS-CM2,historical,r2i1p1f1
1857,288.2869643399732,287.0677208320613,ACCESS-CM2,historical,r2i1p1f1
1858,288.39188497617556,287.17106004356435,ACCESS-CM2,historical,r2i1p1f1
1859,288.2842938613549,287.0525296935754,ACCESS-CM2,historical,r2i1p1f1
1860,288.29335127067236,287.0386541200415,ACCESS-CM2,historical,r2i1p1f1
1861,288.2823959680001,287.0088209259913,ACCESS-CM2,historical,r2i1p1f1
1862,288.2826519697497,287.0384698912919,ACCESS-CM2,historical,r2i1p1f1
1863,288.19314664431573,286.9529276456889,ACCESS-CM2,historical,r2i1p1f1
1864,288.16516166313545,286.90904684310004,ACCESS-CM2,historical,r2i1p1f1
1865,288.20793484314214,286.9269595919162,ACCESS-CM2,historical,r2i1p1f1
1866,288.1447973760409,286.8351998113002,ACCESS-CM2,historical,r2i1p1f1
1867,288.3251839159399,287.01164715016154,ACCESS-CM2,historical,r2i1p1f1
1868,288.2826237459924,286.98462027926774,ACCESS-CM2,historical,r2i1p1f1
1869,288.40700313109073,287.1199043695817,ACCESS-CM2,historical,r2i1p1f1
1870,288.37645316068046,287.09051059906614,ACCESS-CM2,historical,r2i1p1f1
1871,288.3403972654028,287.0583498018006,ACCESS-CM2,historical,r2i1p1f1
1872,288.3834369233799,287.110465303882,ACCESS-CM2,historical,r2i1p1f1
1873,288.3815906510848,287.1135224496488,ACCESS-CM2,historical,r2i1p1f1
1874,288.27296553506704,287.0138665060782,ACCESS-CM2,historical,r2i1p1f1
1875,288.14402114152927,286.8711535870587,ACCESS-CM2,historical,r2i1p1f1
1876,288.11126381209743,286.85149659379147,ACCESS-CM2,historical,r2i1p1f1
1877,288.20861937705837,286.9647562167995,ACCESS-CM2,historical,r2i1p1f1
1878,288.3102555101868,287.04039840869825,ACCESS-CM2,historical,r2i1p1f1
1879,288.1793624893145,286.90010023581436,ACCESS-CM2,historical,r2i1p1f1
1880,288.2548352811137,286.978862031044,ACCESS-CM2,historical,r2i1p1f1
1881,288.2113246590246,286.9407509510423,ACCESS-CM2,historical,r2i1p1f1
1882,288.2162224699959,286.96116659523864,ACCESS-CM2,historical,r2i1p1f1
1883,288.13002243166125,286.8596812492154,ACCESS-CM2,historical,r2i1p1f1
1884,287.8266666315045,286.5540675616639,ACCESS-CM2,historical,r2i1p1f1
1885,287.8771010767979,286.60801523155084,ACCESS-CM2,historical,r2i1p1f1
1886,288.07672919206783,286.77487516860674,ACCESS-CM2,historical,r2i1p1f1
1887,288.1723242260652,286.8687044910733,ACCESS-CM2,historical,r2i1p1f1
1888,288.2136366623061,286.91913888156415,ACCESS-CM2,historical,r2i1p1f1
1889,288.13714227740155,286.8201395824729,ACCESS-CM2,historical,r2i1p1f1
1890,288.1735145325504,286.86098994093516,ACCESS-CM2,historical,r2i1p1f1
1891,288.1321981861943,286.78538712136174,ACCESS-CM2,historical,r2i1p1f1
1892,288.23017314016533,286.9139096008315,ACCESS-CM2,historical,r2i1p1f1
1893,288.0578767295943,286.70614524003634,ACCESS-CM2,historical,r2i1p1f1
1894,288.18450823485415,286.8865472332173,ACCESS-CM2,historical,r2i1p1f1
1895,288.2415535148811,286.9241128885733,ACCESS-CM2,historical,r2i1p1f1
1896,288.16353265033115,286.8639390052623,ACCESS-CM2,historical,r2i1p1f1
1897,288.19718367013826,286.8961074355913,ACCESS-CM2,historical,r2i1p1f1
1898,288.1655742701074,286.8487251573207,ACCESS-CM2,historical,r2i1p1f1
1899,288.2729756704244,286.958193637286,ACCESS-CM2,historical,r2i1p1f1
1900,288.1093242956536,286.817991647755,ACCESS-CM2,historical,r2i1p1f1
1901,288.1788237399866,286.8648709259665,ACCESS-CM2,historical,r2i1p1f1
1902,288.2042256889362,286.9259045881023,ACCESS-CM2,historical,r2i1p1f1
1903,288.11976836479585,286.8416480774206,ACCESS-CM2,historical,r2i1p1f1
1904,288.1153238540938,286.82776938858024,ACCESS-CM2,historical,r2i1p1f1
