year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.11331990394416,287.85988284890607,ACCESS-CM2,ssp370,r2i1p1f1
2016,289.32485717754673,288.1041322088404,ACCESS-CM2,ssp370,r2i1p1f1
2017,289.2867791988486,288.09296527480666,ACCESS-CM2,ssp370,r2i1p1f1
2018,289.4620466282466,288.2671179084752,ACCESS-CM2,ssp370,r2i1p1f1
2019,289.3549810292095,288.14927875421773,ACCESS-CM2,ssp370,r2i1p1f1
2020,289.27828142414506,288.0649273065501,ACCESS-CM2,ssp370,r2i1p1f1
2021,289.497923452462,288.288984294079,ACCESS-CM2,ssp370,r2i1p1f1
2022,289.3800364381694,288.150516421928,ACCESS-CM2,ssp370,r2i1p1f1
2023,289.5006171302079,288.30102153436013,ACCESS-CM2,ssp370,r2i1p1f1
2024,289.49730880428433,288.2865124867086,ACCESS-CM2,ssp370,r2i1p1f1
2025,289.5450203148586,288.33518140839493,ACCESS-CM2,ssp370,r2i1p1f1
2026,289.52910824956666,288.3145110737346,ACCESS-CM2,ssp370,r2i1p1f1
2027,289.5479587342298,288.35399423628644,ACCESS-CM2,ssp370,r2i1p1f1
2028,289.56179826886347,288.382570982116,ACCESS-CM2,ssp370,r2i1p1f1
2029,289.67276454322416,288.484182724909,ACCESS-CM2,ssp370,r2i1p1f1
2030,289.64322569835105,288.4567362342527,ACCESS-CM2,ssp370,r2i1p1f1
2031,289.79058039026586,288.5637079541824,ACCESS-CM2,ssp370,r2i1p1f1
2032,289.78707516640713,288.57666873997033,ACCESS-CM2,ssp370,r2i1p1f1
2033,289.8108502755165,288.6265573645036,ACCESS-CM2,ssp370,r2i1p1f1
2034,289.92311563304287,288.74531034223753,ACCESS-CM2,ssp370,r2i1p1f1
2035,289.9260764819041,288.76753191091234,ACCESS-CM2,ssp370,r2i1p1f1
2036,289.9389316109571,288.7891091326337,ACCESS-CM2,ssp370,r2i1p1f1
2037,289.90595859090126,288.77001131569705,ACCESS-CM2,ssp370,r2i1p1f1
2038,289.83243946973516,288.660054211196,ACCESS-CM2,ssp370,r2i1p1f1
2039,290.10492715436317,288.92495520695843,ACCESS-CM2,ssp370,r2i1p1f1
2040,290.1950646306607,289.0183386448763,ACCESS-CM2,ssp370,r2i1p1f1
2041,290.04457973954845,288.865339841665,ACCESS-CM2,ssp370,r2i1p1f1
2042,290.2039881749517,289.08391620685717,ACCESS-CM2,ssp370,r2i1p1f1
2043,290.2659989523712,289.14928522353426,ACCESS-CM2,ssp370,r2i1p1f1
2044,290.39692788314136,289.2722614011559,ACCESS-CM2,ssp370,r2i1p1f1
2045,290.2204850928126,289.1003424514697,ACCESS-CM2,ssp370,r2i1p1f1
2046,290.2966263698045,289.1549153038473,ACCESS-CM2,ssp370,r2i1p1f1
2047,290.27132494186833,289.1381961335693,ACCESS-CM2,ssp370,r2i1p1f1
2048,290.3808552602968,289.24795343469947,ACCESS-CM2,ssp370,r2i1p1f1
2049,290.4500522386384,289.35503100028257,ACCESS-CM2,ssp370,r2i1p1f1
2050,290.59193345703073,289.4963304338718,ACCESS-CM2,ssp370,r2i1p1f1
2051,290.44504335616574,289.355283445026,ACCESS-CM2,ssp370,r2i1p1f1
2052,290.5845031050674,289.4713395902707,ACCESS-CM2,ssp370,r2i1p1f1
2053,290.63346092817574,289.5301806695905,ACCESS-CM2,ssp370,r2i1p1f1
2054,290.71141682896774,289.6232817695305,ACCESS-CM2,ssp370,r2i1p1f1
2055,290.6447421016568,289.5859760549361,ACCESS-CM2,ssp370,r2i1p1f1
2056,290.976935005376,289.8814135060948,ACCESS-CM2,ssp370,r2i1p1f1
2057,290.8102103413048,289.6933095430537,ACCESS-CM2,ssp370,r2i1p1f1
2058,290.8168573635927,289.7448690279437,ACCESS-CM2,ssp370,r2i1p1f1
2059,290.8631682720351,289.76530100271987,ACCESS-CM2,ssp370,r2i1p1f1
2060,291.09450529255685,290.0103287658922,ACCESS-CM2,ssp370,r2i1p1f1
2061,291.11740138041375,290.02350609841164,ACCESS-CM2,ssp370,r2i1p1f1
2062,290.98090325808994,289.8799391692032,ACCESS-CM2,ssp370,r2i1p1f1
2063,291.11379888770995,290.01192441659106,ACCESS-CM2,ssp370,r2i1p1f1
2064,291.07034746211036,289.95600651937235,ACCESS-CM2,ssp370,r2i1p1f1
2065,291.1343358251946,290.0320451560284,ACCESS-CM2,ssp370,r2i1p1f1
2066,291.2971811118143,290.2130649811881,ACCESS-CM2,ssp370,r2i1p1f1
2067,291.391441165199,290.30424221583684,ACCESS-CM2,ssp370,r2i1p1f1
