year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.88811055928954,287.6145011293675,ACCESS-ESM1-5,historical,r2i1p1f1
1851,288.9592825270823,287.71558392494916,ACCESS-ESM1-5,historical,r2i1p1f1
1852,288.7967255668299,287.51253168249775,ACCESS-ESM1-5,historical,r2i1p1f1
1853,288.90977392290534,287.655979397715,ACCESS-ESM1-5,historical,r2i1p1f1
1854,289.02765866961204,287.74235564174404,ACCESS-ESM1-5,historical,r2i1p1f1
1855,288.76138447367936,287.4714861139517,ACCESS-ESM1-5,historical,r2i1p1f1
1856,288.87639374750455,287.6081254893147,ACCESS-ESM1-5,historical,r2i1p1f1
1857,288.8570677209238,287.60273707950284,ACCESS-ESM1-5,historical,r2i1p1f1
1858,289.0396145144191,287.71943004668975,ACCESS-ESM1-5,historical,r2i1p1f1
1859,288.9167967213016,287.6250225572326,ACCESS-ESM1-5,historical,r2i1p1f1
1860,288.74750881444277,287.4839512082082,ACCESS-ESM1-5,historical,r2i1p1f1
1861,288.93352383804114,287.6769201901607,ACCESS-ESM1-5,historical,r2i1p1f1
1862,289.06777104364716,287.8199205696698,ACCESS-ESM1-5,historical,r2i1p1f1
1863,289.0048198812244,287.74385628248797,ACCESS-ESM1-5,historical,r2i1p1f1
1864,288.8754062106497,287.6344559613185,ACCESS-ESM1-5,historical,r2i1p1f1
1865,288.9820603078744,287.75154671881864,ACCESS-ESM1-5,historical,r2i1p1f1
1866,288.9800774735026,287.7107076825552,ACCESS-ESM1-5,historical,r2i1p1f1
1867,288.83673569040366,287.56180346730986,ACCESS-ESM1-5,historical,r2i1p1f1
1868,288.9211028859536,287.671875309723,ACCESS-ESM1-5,historical,r2i1p1f1
1869,288.938689430511,287.6718007997043,ACCESS-ESM1-5,historical,r2i1p1f1
1870,288.89089995733434,287.63739169521824,ACCESS-ESM1-5,historical,r2i1p1f1
1871,288.89266569280267,287.63910384423485,ACCESS-ESM1-5,historical,r2i1p1f1
1872,288.85478379882113,287.5571373110678,ACCESS-ESM1-5,historical,r2i1p1f1
1873,288.82091214186755,287.5275317880672,ACCESS-ESM1-5,historical,r2i1p1f1
1874,288.78002884179085,287.4994227619807,ACCESS-ESM1-5,historical,r2i1p1f1
1875,288.8857644593343,287.6058515191932,ACCESS-ESM1-5,historical,r2i1p1f1
1876,288.9233514001498,287.6673681684562,ACCESS-ESM1-5,historical,r2i1p1f1
1877,288.89414416406316,287.6603163399316,ACCESS-ESM1-5,historical,r2i1p1f1
1878,288.73773422510243,287.5273917507573,ACCESS-ESM1-5,historical,r2i1p1f1
1879,288.8817621757301,287.62100982401086,ACCESS-ESM1-5,historical,r2i1p1f1
1880,288.87420298240585,287.6135040899511,ACCESS-ESM1-5,historical,r2i1p1f1
1881,288.91105981802605,287.64329108118,ACCESS-ESM1-5,historical,r2i1p1f1
1882,289.051065021648,287.77990279033054,ACCESS-ESM1-5,historical,r2i1p1f1
1883,289.0359813902742,287.80014715707335,ACCESS-ESM1-5,historical,r2i1p1f1
1884,288.7380694153491,287.4650494124414,ACCESS-ESM1-5,historical,r2i1p1f1
1885,288.7489754616178,287.4432827428512,ACCESS-ESM1-5,historical,r2i1p1f1
1886,288.8715864875935,287.6048740938135,ACCESS-ESM1-5,historical,r2i1p1f1
1887,288.81520288976026,287.51697408444056,ACCESS-ESM1-5,historical,r2i1p1f1
1888,288.8863114413131,287.5605838810851,ACCESS-ESM1-5,historical,r2i1p1f1
1889,288.88294146837,287.5986890655202,ACCESS-ESM1-5,historical,r2i1p1f1
1890,288.89570806834104,287.64676795582756,ACCESS-ESM1-5,historical,r2i1p1f1
1891,288.7539939127096,287.4589377603914,ACCESS-ESM1-5,historical,r2i1p1f1
1892,288.8346819794241,287.579878274287,ACCESS-ESM1-5,historical,r2i1p1f1
1893,288.85497891241766,287.580295335223,ACCESS-ESM1-5,historical,r2i1p1f1
1894,289.00065783084,287.73884530232334,ACCESS-ESM1-5,historical,r2i1p1f1
1895,288.95037554778776,287.6996317653977,ACCESS-ESM1-5,historical,r2i1p1f1
1896,288.84657481395243,287.58949266748755,ACCESS-ESM1-5,historical,r2i1p1f1
1897,288.70632592882527,287.4184436776124,ACCESS-ESM1-5,historical,r2i1p1f1
1898,288.7374363486836,287.4704951472986,ACCESS-ESM1-5,historical,r2i1p1f1
1899,288.8494629878278,287.58574788691675,ACCESS-ESM1-5,historical,r2i1p1f1
1900,288.9832421653699,287.6927354963987,ACCESS-ESM1-5,historical,r2i1p1f1
1901,288.915818929561,287.6147280171796,ACCESS-ESM1-5,historical,r2i1p1f1
1902,288.95725480061867,287.69307321210584,ACCESS-ESM1-5,historical,r2i1p1f1
1903,288.8504006749104,287.5548221796629,ACCESS-ESM1-5,historical,r2i1p1f1
1904,288.8198262866272,287.49777390082875,ACCESS-ESM1-5,historical,r2i1p1f1
1905,288.8821616163562,287.60359212844685,ACCESS-ESM1-5,historical,r2i1p1f1
1906,288.93317493544885,287.6732887935108,ACCESS-ESM1-5,historical,r2i1p1f1
1907,289.0193236578473,287.74680042110776,ACCESS-ESM1-5,historical,r2i1p1f1
1908,288.9425459138337,287.66938384037485,ACCESS-ESM1-5,historical,r2i1p1f1
1909,289.0736993199683,287.8090583590059,ACCESS-ESM1-5,historical,r2i1p1f1
1910,289.07353339299226,287.7925504980233,ACCESS-ESM1-5,historical,r2i1p1f1
1911,289.1215052678852,287.8730428666767,ACCESS-ESM1-5,historical,r2i1p1f1
1912,289.06761129902236,287.82008693304704,ACCESS-ESM1-5,historical,r2i1p1f1
1913,288.9361807064387,287.6688280480333,ACCESS-ESM1-5,historical,r2i1p1f1
1914,288.9848813832753,287.7164557940259,ACCESS-ESM1-5,historical,r2i1p1f1
1915,288.93527430345273,287.6525555880108,ACCESS-ESM1-5,historical,r2i1p1f1
1916,289.0354271950387,287.7594758710229,ACCESS-ESM1-5,historical,r2i1p1f1
1917,288.91662403439517,287.62370440921126,ACCESS-ESM1-5,historical,r2i1p1f1
1918,288.8397555055643,287.5069602601301,ACCESS-ESM1-5,historical,r2i1p1f1
1919,288.957644537011,287.6198060238939,ACCESS-ESM1-5,historical,r2i1p1f1
1920,288.8930757207782,287.5718873459274,ACCESS-ESM1-5,historical,r2i1p1f1
1921,288.86603286795196,287.58197336086954,ACCESS-ESM1-5,historical,r2i1p1f1
1922,288.9067660974697,287.625533302723,ACCESS-ESM1-5,historical,r2i1p1f1
1923,288.82056358106325,287.5407251082488,ACCESS-ESM1-5,historical,r2i1p1f1
1924,288.8397392422417,287.59193299591203,ACCESS-ESM1-5,historical,r2i1p1f1
1925,289.03915493472425,287.8087921983356,ACCESS-ESM1-5,historical,r2i1p1f1
1926,289.0322681668002,287.7806210066306,ACCESS-ESM1-5,historical,r2i1p1f1
1927,289.08534261142137,287.8217675599565,ACCESS-ESM1-5,historical,r2i1p1f1
1928,289.05776062617605,287.7844093598347,ACCESS-ESM1-5,historical,r2i1p1f1
1929,288.8352554481893,287.5576625788742,ACCESS-ESM1-5,historical,r2i1p1f1
1930,289.05943509520506,287.76357856542296,ACCESS-ESM1-5,historical,r2i1p1f1
1931,288.97570565184657,287.68920217404656,ACCESS-ESM1-5,historical,r2i1p1f1
1932,289.0631043335183,287.78837317554746,ACCESS-ESM1-5,historical,r2i1p1f1
1933,289.1056925115167,287.83122588134006,ACCESS-ESM1-5,historical,r2i1p1f1
1934,289.11959563788866,287.88415534310957,ACCESS-ESM1-5,historical,r2i1p1f1
1935,289.16551570575666,287.9140011487119,ACCESS-ESM1-5,historical,r2i1p1f1
1936,289.0904864868869,287.8060800997885,ACCESS-ESM1-5,historical,r2i1p1f1
1937,289.0275304322797,287.7648216525614,ACCESS-ESM1-5,historical,r2i1p1f1
1938,288.9792813544033,287.72958728430325,ACCESS-ESM1-5,historical,r2i1p1f1
1939,288.9206108383574,287.6655401508775,ACCESS-ESM1-5,historical,r2i1p1f1
1940,288.99600176117656,287.7233609762453,ACCESS-ESM1-5,historical,r2i1p1f1
1941,288.8270103073195,287.57252598981626,ACCESS-ESM1-5,historical,r2i1p1f1
1942,288.77811624549065,287.52577661575515,ACCESS-ESM1-5,historical,r2i1p1f1
1943,288.9936204184786,287.7200455187806,ACCESS-ESM1-5,historical,r2i1p1f1
1944,289.0374013779524,287.75933845160887,ACCESS-ESM1-5,historical,r2i1p1f1
1945,289.0810101989188,287.81369734969246,ACCESS-ESM1-5,historical,r2i1p1f1
1946,289.0150708515144,287.7773842751823,ACCESS-ESM1-5,historical,r2i1p1f1
1947,289.10098247001406,287.7792906199693,ACCESS-ESM1-5,historical,r2i1p1f1
1948,289.0026489907397,287.71600397066135,ACCESS-ESM1-5,historical,r2i1p1f1
1949,289.0020171927332,287.7318698241774,ACCESS-ESM1-5,historical,r2i1p1f1
