year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.95879579813175,288.75679924677564,ACCESS-ESM1-5,ssp370,r1i1p1f1
2016,289.97638182379126,288.78367757620015,ACCESS-ESM1-5,ssp370,r1i1p1f1
2017,289.89687896763064,288.68721883134594,ACCESS-ESM1-5,ssp370,r1i1p1f1
2018,289.9073820984298,288.7397668733832,ACCESS-ESM1-5,ssp370,r1i1p1f1
2019,289.9657041283697,288.7533946220598,ACCESS-ESM1-5,ssp370,r1i1p1f1
2020,289.94213437819764,288.7346701357866,ACCESS-ESM1-5,ssp370,r1i1p1f1
2021,290.03316162038334,288.86100562005043,ACCESS-ESM1-5,ssp370,r1i1p1f1
2022,289.92915521006415,288.7832362167059,ACCESS-ESM1-5,ssp370,r1i1p1f1
2023,290.10636571493353,288.9582696393511,ACCESS-ESM1-5,ssp370,r1i1p1f1
2024,290.2983935764562,289.1451317919072,ACCESS-ESM1-5,ssp370,r1i1p1f1
2025,290.0631110865037,288.91583566903824,ACCESS-ESM1-5,ssp370,r1i1p1f1
2026,290.09638304291104,288.9251821087987,ACCESS-ESM1-5,ssp370,r1i1p1f1
2027,290.2376350063165,289.05821109057126,ACCESS-ESM1-5,ssp370,r1i1p1f1
2028,290.4311156058314,289.23725000805143,ACCESS-ESM1-5,ssp370,r1i1p1f1
2029,290.3616401059428,289.1800194301462,ACCESS-ESM1-5,ssp370,r1i1p1f1
2030,290.13569924208645,288.95455845220044,ACCESS-ESM1-5,ssp370,r1i1p1f1
2031,290.24299268590363,289.057779003125,ACCESS-ESM1-5,ssp370,r1i1p1f1
2032,290.3565244953641,289.19155555156317,ACCESS-ESM1-5,ssp370,r1i1p1f1
2033,290.3208759766995,289.1282360908815,ACCESS-ESM1-5,ssp370,r1i1p1f1
2034,290.3319041712006,289.17061108079633,ACCESS-ESM1-5,ssp370,r1i1p1f1
2035,290.30610195523485,289.1139901598851,ACCESS-ESM1-5,ssp370,r1i1p1f1
2036,290.4337365055519,289.2343994568594,ACCESS-ESM1-5,ssp370,r1i1p1f1
2037,290.64346828260335,289.4584340096708,ACCESS-ESM1-5,ssp370,r1i1p1f1
2038,290.5747938446419,289.4036000142374,ACCESS-ESM1-5,ssp370,r1i1p1f1
2039,290.43594456824843,289.2825542114889,ACCESS-ESM1-5,ssp370,r1i1p1f1
2040,290.42571436667373,289.2343076209518,ACCESS-ESM1-5,ssp370,r1i1p1f1
2041,290.37839389239514,289.1887120874872,ACCESS-ESM1-5,ssp370,r1i1p1f1
2042,290.5288729067771,289.3444149103407,ACCESS-ESM1-5,ssp370,r1i1p1f1
2043,290.57313269551736,289.3755520889179,ACCESS-ESM1-5,ssp370,r1i1p1f1
2044,290.5574285368116,289.40095763248064,ACCESS-ESM1-5,ssp370,r1i1p1f1
2045,290.4200543944495,289.2801475015101,ACCESS-ESM1-5,ssp370,r1i1p1f1
2046,290.6178638213789,289.423626019775,ACCESS-ESM1-5,ssp370,r1i1p1f1
2047,290.7747727620824,289.62767894096004,ACCESS-ESM1-5,ssp370,r1i1p1f1
2048,290.82287344629884,289.64281056209404,ACCESS-ESM1-5,ssp370,r1i1p1f1
2049,290.8898968041488,289.7097001117763,ACCESS-ESM1-5,ssp370,r1i1p1f1
2050,290.86098744854405,289.69518544010083,ACCESS-ESM1-5,ssp370,r1i1p1f1
2051,290.90158797659257,289.740248951211,ACCESS-ESM1-5,ssp370,r1i1p1f1
