year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.22344340081247,288.15442911185266,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2016,289.22321528997327,288.15739694512274,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2017,289.31821142120754,288.28869971382727,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2018,289.36665400902905,288.2863093744104,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2019,289.1875810631128,288.1348728234267,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2020,289.4526361874839,288.3997278922047,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2021,289.6119231131551,288.5611401742515,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2022,289.43705383863767,288.41871268780307,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2023,289.6071486073675,288.60112287219096,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2024,289.4708941396445,288.45064230091987,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2025,289.4715255040734,288.42608608457937,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2026,289.39830206736247,288.3480851061245,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2027,289.67434322357735,288.608832877114,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2028,289.7687048969185,288.7412740720262,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2029,289.54907429200915,288.5038383707483,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2030,289.5788353181179,288.54472605859246,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2031,289.78250889881724,288.7342983485985,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2032,289.61166801757787,288.5777506983827,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2033,289.7666408341149,288.7518552197076,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2034,289.8838807750706,288.86734972171604,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2035,289.8263530727489,288.81028641920796,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2036,289.81715929772,288.8130016159559,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2037,289.77460609259583,288.75993903447244,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2038,289.89005798234643,288.8794746300086,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2039,289.9710316815544,288.942924408042,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2040,289.98068710364663,288.9557220113879,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2041,290.1709707542307,289.1677517824805,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2042,290.1821497687661,289.15675122074146,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2043,290.12767190818226,289.13208009402473,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2044,290.02027610094814,289.0364284711462,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2045,290.1631226521917,289.1759980894034,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2046,290.2665998003698,289.25481750508686,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2047,290.2735482244415,289.30683570687233,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2048,290.16489118498623,289.192719010978,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2049,290.26131265026265,289.2716163378984,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2050,290.2375621552265,289.27707810275746,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2051,290.36136345127284,289.38283797431285,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2052,290.3286488007762,289.3526962236841,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2053,290.4998314619776,289.47890487562165,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2054,290.48259178426787,289.4955129386764,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2055,290.4984805141613,289.50932718868245,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2056,290.667573669682,289.6832138977423,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2057,290.48055849705486,289.5164381040535,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2058,290.66544030776515,289.7080819295698,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2059,290.6768663858918,289.7322040275922,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2060,290.4636825349694,289.53670221023776,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2061,290.7332977971416,289.7813875056394,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2062,290.8255633851755,289.8385267434307,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2063,290.63256812896765,289.6612134962791,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2064,290.574611511209,289.5919531745851,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2065,290.7786938491173,289.8021204344072,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2066,290.86286619575264,289.90599731143385,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2067,290.69351350443344,289.7504215526347,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2068,290.79855830788955,289.84007476008406,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2069,290.7583975307454,289.77940540161836,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2070,290.7562708030414,289.78553649242764,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2071,290.87071748520776,289.9068242013647,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2072,291.19461023835566,290.2469198418853,AWI-CM-1-1-MR,ssp370,r2i1p1f1
2073,291.3047631714649,290.34203092210436,AWI-CM-1-1-MR,ssp370,r2i1p1f1
