year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.2845087378794,286.04957285623294,AWI-ESM-1-1-LR,historical,r1i1p1f1
1851,287.43948692537424,286.2058612347406,AWI-ESM-1-1-LR,historical,r1i1p1f1
1852,287.53490231925804,286.3349185085309,AWI-ESM-1-1-LR,historical,r1i1p1f1
1853,287.4749523261177,286.25886578693826,AWI-ESM-1-1-LR,historical,r1i1p1f1
1854,287.3740881613277,286.1680711930388,AWI-ESM-1-1-LR,historical,r1i1p1f1
1855,287.3467008871649,286.14929978112275,AWI-ESM-1-1-LR,historical,r1i1p1f1
1856,287.4850480876047,286.248845927322,AWI-ESM-1-1-LR,historical,r1i1p1f1
1857,287.4300431747555,286.1865313628596,AWI-ESM-1-1-LR,historical,r1i1p1f1
1858,287.4780307662771,286.26835970197413,AWI-ESM-1-1-LR,historical,r1i1p1f1
1859,287.42077718912407,286.17728667248025,AWI-ESM-1-1-LR,historical,r1i1p1f1
1860,287.32152756220387,286.11949789979053,AWI-ESM-1-1-LR,historical,r1i1p1f1
1861,287.2627321866594,286.0270198369504,AWI-ESM-1-1-LR,historical,r1i1p1f1
1862,287.2051617809546,285.9850044038677,AWI-ESM-1-1-LR,historical,r1i1p1f1
1863,287.1201590878732,285.9434527196456,AWI-ESM-1-1-LR,historical,r1i1p1f1
1864,287.22302393471375,286.0079207043932,AWI-ESM-1-1-LR,historical,r1i1p1f1
1865,287.42844205564035,286.2113830905749,AWI-ESM-1-1-LR,historical,r1i1p1f1
1866,287.4242145061505,286.2000961207402,AWI-ESM-1-1-LR,historical,r1i1p1f1
1867,287.346409863404,286.1289073681068,AWI-ESM-1-1-LR,historical,r1i1p1f1
1868,287.4910822450576,286.29727073628675,AWI-ESM-1-1-LR,historical,r1i1p1f1
1869,287.44567894351553,286.23295541837444,AWI-ESM-1-1-LR,historical,r1i1p1f1
1870,287.20132975479174,285.9653556176431,AWI-ESM-1-1-LR,historical,r1i1p1f1
1871,287.25629392951,286.04790523193793,AWI-ESM-1-1-LR,historical,r1i1p1f1
1872,287.1547260846537,285.8991385037018,AWI-ESM-1-1-LR,historical,r1i1p1f1
1873,287.2580354345694,286.0459683615656,AWI-ESM-1-1-LR,historical,r1i1p1f1
1874,287.40231887398085,286.17762121487954,AWI-ESM-1-1-LR,historical,r1i1p1f1
1875,287.4077129564259,286.1674779409604,AWI-ESM-1-1-LR,historical,r1i1p1f1
1876,287.45342604251124,286.2000871425434,AWI-ESM-1-1-LR,historical,r1i1p1f1
1877,287.48279573104253,286.2458779054795,AWI-ESM-1-1-LR,historical,r1i1p1f1
1878,287.38107944161874,286.13486829448055,AWI-ESM-1-1-LR,historical,r1i1p1f1
1879,287.3452996909501,286.10135735481,AWI-ESM-1-1-LR,historical,r1i1p1f1
1880,287.2953385170622,286.06737575150487,AWI-ESM-1-1-LR,historical,r1i1p1f1
1881,287.2652297195151,286.0345991205317,AWI-ESM-1-1-LR,historical,r1i1p1f1
