year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.254756634228,287.9783904548396,BCC-CSM2-MR,historical,r3i1p1f1
1851,289.19603546502094,287.9321904822519,BCC-CSM2-MR,historical,r3i1p1f1
1852,289.2406008312525,287.96053860795445,BCC-CSM2-MR,historical,r3i1p1f1
1853,289.2397099061816,287.934927778432,BCC-CSM2-MR,historical,r3i1p1f1
1854,289.2375336636142,287.9695592572275,BCC-CSM2-MR,historical,r3i1p1f1
1855,289.2290293409291,287.9371366801265,BCC-CSM2-MR,historical,r3i1p1f1
1856,289.1730375499817,287.89022938914127,BCC-CSM2-MR,historical,r3i1p1f1
1857,289.18775946292783,287.8975405126776,BCC-CSM2-MR,historical,r3i1p1f1
1858,289.3180373077719,288.0078020454022,BCC-CSM2-MR,historical,r3i1p1f1
1859,289.2401116915157,287.92404245210156,BCC-CSM2-MR,historical,r3i1p1f1
1860,289.2771922990766,287.99839933445963,BCC-CSM2-MR,historical,r3i1p1f1
1861,289.3366789087522,288.0221427115224,BCC-CSM2-MR,historical,r3i1p1f1
1862,289.2104718174563,287.92499826787474,BCC-CSM2-MR,historical,r3i1p1f1
1863,289.17332514142606,287.9058041563995,BCC-CSM2-MR,historical,r3i1p1f1
1864,289.3028069363274,288.05476423385204,BCC-CSM2-MR,historical,r3i1p1f1
1865,289.2850658615725,287.9970650759407,BCC-CSM2-MR,historical,r3i1p1f1
1866,289.3189046259913,288.06131560981794,BCC-CSM2-MR,historical,r3i1p1f1
1867,289.25704100757457,287.9730047634073,BCC-CSM2-MR,historical,r3i1p1f1
1868,289.1941383329978,287.9268161908115,BCC-CSM2-MR,historical,r3i1p1f1
1869,289.31265630059556,288.00986304534183,BCC-CSM2-MR,historical,r3i1p1f1
1870,289.2398140136514,287.95622285268115,BCC-CSM2-MR,historical,r3i1p1f1
1871,289.3593548370211,288.0622384388705,BCC-CSM2-MR,historical,r3i1p1f1
1872,289.2266657196141,287.97788090560897,BCC-CSM2-MR,historical,r3i1p1f1
1873,289.16451056798763,287.89779975067273,BCC-CSM2-MR,historical,r3i1p1f1
1874,289.3009582983313,288.04779279811066,BCC-CSM2-MR,historical,r3i1p1f1
1875,289.2387883283006,287.9847335401161,BCC-CSM2-MR,historical,r3i1p1f1
1876,289.1949373818652,287.9390033695028,BCC-CSM2-MR,historical,r3i1p1f1
1877,289.085231430441,287.82000449900585,BCC-CSM2-MR,historical,r3i1p1f1
1878,289.09762920803234,287.86460185576993,BCC-CSM2-MR,historical,r3i1p1f1
1879,289.2024285417575,287.9299957799458,BCC-CSM2-MR,historical,r3i1p1f1
1880,289.0492486849973,287.7601524684304,BCC-CSM2-MR,historical,r3i1p1f1
1881,289.1560932333179,287.85232652936566,BCC-CSM2-MR,historical,r3i1p1f1
