year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.3969527040816,288.18997717807355,BCC-ESM1,historical,r2i1p1f1
1851,289.2428083697432,287.9993733053189,BCC-ESM1,historical,r2i1p1f1
1852,289.3846573010943,288.16046284398476,BCC-ESM1,historical,r2i1p1f1
1853,289.2687107799733,288.04359936517096,BCC-ESM1,historical,r2i1p1f1
1854,289.3002275252274,288.1010431070838,BCC-ESM1,historical,r2i1p1f1
1855,289.3657346930075,288.15079713483135,BCC-ESM1,historical,r2i1p1f1
1856,289.35169097379406,288.12242801000247,BCC-ESM1,historical,r2i1p1f1
1857,289.3310189091403,288.08034331837285,BCC-ESM1,historical,r2i1p1f1
1858,289.2539392979419,288.0221154908186,BCC-ESM1,historical,r2i1p1f1
1859,289.36654387084553,288.12246777965515,BCC-ESM1,historical,r2i1p1f1
1860,289.2459660430546,288.01609520547856,BCC-ESM1,historical,r2i1p1f1
1861,289.21883238863524,287.99654034141497,BCC-ESM1,historical,r2i1p1f1
1862,289.17535714252364,287.95230985052797,BCC-ESM1,historical,r2i1p1f1
1863,289.2257808936883,287.9921088631393,BCC-ESM1,historical,r2i1p1f1
1864,289.2456472662039,287.99730222773337,BCC-ESM1,historical,r2i1p1f1
1865,289.3457335068047,288.0982606155553,BCC-ESM1,historical,r2i1p1f1
1866,289.37689407242084,288.16509497367576,BCC-ESM1,historical,r2i1p1f1
1867,289.29439379951725,288.0717368550197,BCC-ESM1,historical,r2i1p1f1
1868,289.4298700469234,288.2105703678952,BCC-ESM1,historical,r2i1p1f1
1869,289.5031933375815,288.285682750913,BCC-ESM1,historical,r2i1p1f1
1870,289.3544504245852,288.12056330065116,BCC-ESM1,historical,r2i1p1f1
1871,289.3940350645584,288.1712432051399,BCC-ESM1,historical,r2i1p1f1
1872,289.3700468813122,288.17020692496317,BCC-ESM1,historical,r2i1p1f1
1873,289.311142719658,288.10127843747574,BCC-ESM1,historical,r2i1p1f1
1874,289.3041382515074,288.08663481730986,BCC-ESM1,historical,r2i1p1f1
1875,289.2091688724242,287.9656065219868,BCC-ESM1,historical,r2i1p1f1
1876,289.29072522497535,288.0353737803612,BCC-ESM1,historical,r2i1p1f1
1877,289.20520559417895,287.97930631275875,BCC-ESM1,historical,r2i1p1f1
1878,289.30646780062114,288.0827138659516,BCC-ESM1,historical,r2i1p1f1
1879,289.2772824302438,288.02863181227843,BCC-ESM1,historical,r2i1p1f1
1880,289.21852320033713,287.9543271987239,BCC-ESM1,historical,r2i1p1f1
1881,289.18043411840625,287.95424172863363,BCC-ESM1,historical,r2i1p1f1
1882,289.2027226154633,287.96850881960074,BCC-ESM1,historical,r2i1p1f1
1883,289.04816326255366,287.8080260256832,BCC-ESM1,historical,r2i1p1f1
1884,288.69314487484553,287.44269168773917,BCC-ESM1,historical,r2i1p1f1
1885,288.74881122270403,287.533837844375,BCC-ESM1,historical,r2i1p1f1
1886,288.9125816275729,287.65595810981915,BCC-ESM1,historical,r2i1p1f1
1887,288.97340656646213,287.70678899882677,BCC-ESM1,historical,r2i1p1f1
1888,289.0077455463357,287.7585098304211,BCC-ESM1,historical,r2i1p1f1
1889,288.8596838382065,287.6139503709754,BCC-ESM1,historical,r2i1p1f1
1890,288.9647494649019,287.6921889684639,BCC-ESM1,historical,r2i1p1f1
1891,288.9403491143755,287.67574038681477,BCC-ESM1,historical,r2i1p1f1
1892,288.96959058906936,287.7524209226696,BCC-ESM1,historical,r2i1p1f1
1893,289.0373767402266,287.8130723327735,BCC-ESM1,historical,r2i1p1f1
1894,289.0499354011798,287.79884785175125,BCC-ESM1,historical,r2i1p1f1
1895,289.05714177047815,287.8025184997009,BCC-ESM1,historical,r2i1p1f1
1896,289.0737310735514,287.84451440673206,BCC-ESM1,historical,r2i1p1f1
1897,289.1145475107451,287.887435456354,BCC-ESM1,historical,r2i1p1f1
