year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.5053135768852,287.2383179678125,CAMS-CSM1-0,historical,r2i1p1f1
1851,288.4968525304017,287.23695245417855,CAMS-CSM1-0,historical,r2i1p1f1
1852,288.4952806448598,287.2317029194793,CAMS-CSM1-0,historical,r2i1p1f1
1853,288.58477630426086,287.2904535356743,CAMS-CSM1-0,historical,r2i1p1f1
1854,288.4610417803285,287.1895309682222,CAMS-CSM1-0,historical,r2i1p1f1
1855,288.5038082851876,287.2100855083662,CAMS-CSM1-0,historical,r2i1p1f1
1856,288.49194443087384,287.18369099008345,CAMS-CSM1-0,historical,r2i1p1f1
1857,288.2320652620715,286.9231957774068,CAMS-CSM1-0,historical,r2i1p1f1
1858,288.132654821863,286.8870759469933,CAMS-CSM1-0,historical,r2i1p1f1
1859,288.18238832965545,286.8998980377951,CAMS-CSM1-0,historical,r2i1p1f1
1860,288.28122276023413,286.97865974864504,CAMS-CSM1-0,historical,r2i1p1f1
1861,288.29370252568157,287.0161994457247,CAMS-CSM1-0,historical,r2i1p1f1
1862,288.2731314317404,286.96364645015007,CAMS-CSM1-0,historical,r2i1p1f1
1863,288.2110985529975,286.8939276058314,CAMS-CSM1-0,historical,r2i1p1f1
1864,288.1001438424617,286.7854416415764,CAMS-CSM1-0,historical,r2i1p1f1
1865,288.14413196283374,286.8700951862008,CAMS-CSM1-0,historical,r2i1p1f1
1866,288.1744384065663,286.8940319009143,CAMS-CSM1-0,historical,r2i1p1f1
1867,288.2286223239329,286.91008178265565,CAMS-CSM1-0,historical,r2i1p1f1
1868,288.35852329762474,287.0662128985326,CAMS-CSM1-0,historical,r2i1p1f1
1869,288.27245201931566,286.9821638121261,CAMS-CSM1-0,historical,r2i1p1f1
1870,288.08725185183084,286.7477183517979,CAMS-CSM1-0,historical,r2i1p1f1
1871,288.32906308002623,287.0073288599704,CAMS-CSM1-0,historical,r2i1p1f1
1872,288.3731536814801,287.06930661158265,CAMS-CSM1-0,historical,r2i1p1f1
1873,288.39792611746634,287.1149247234621,CAMS-CSM1-0,historical,r2i1p1f1
1874,288.47372431209504,287.16277813558486,CAMS-CSM1-0,historical,r2i1p1f1
1875,288.1968666155011,286.8918544281098,CAMS-CSM1-0,historical,r2i1p1f1
1876,288.2316126693736,286.92339597098857,CAMS-CSM1-0,historical,r2i1p1f1
1877,288.23074001346805,286.9219054252968,CAMS-CSM1-0,historical,r2i1p1f1
1878,288.4815953202523,287.1943795316803,CAMS-CSM1-0,historical,r2i1p1f1
