year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.63120298614996,287.41807978929415,CAS-ESM2-0,historical,r1i1p1f1
1851,288.4726345097171,287.2597299305898,CAS-ESM2-0,historical,r1i1p1f1
1852,288.1454028640311,286.9448466821872,CAS-ESM2-0,historical,r1i1p1f1
1853,288.23167742250433,287.04514163780897,CAS-ESM2-0,historical,r1i1p1f1
1854,288.5935012684789,287.3866838319739,CAS-ESM2-0,historical,r1i1p1f1
1855,288.48648563335564,287.25064500579185,CAS-ESM2-0,historical,r1i1p1f1
1856,288.39258854191286,287.1747441891513,CAS-ESM2-0,historical,r1i1p1f1
1857,288.4321258395167,287.23769334934383,CAS-ESM2-0,historical,r1i1p1f1
1858,288.28848351867606,287.08457708163286,CAS-ESM2-0,historical,r1i1p1f1
1859,288.3627477938295,287.1506466640175,CAS-ESM2-0,historical,r1i1p1f1
1860,288.54367512004166,287.36249152249223,CAS-ESM2-0,historical,r1i1p1f1
1861,288.219484929592,287.030148954916,CAS-ESM2-0,historical,r1i1p1f1
1862,288.07438091641,286.88666800409834,CAS-ESM2-0,historical,r1i1p1f1
1863,288.57516092370713,287.3832984261937,CAS-ESM2-0,historical,r1i1p1f1
1864,288.6463389613344,287.44696880602055,CAS-ESM2-0,historical,r1i1p1f1
1865,288.423729499581,287.23415263492313,CAS-ESM2-0,historical,r1i1p1f1
1866,288.410852671587,287.24344982441124,CAS-ESM2-0,historical,r1i1p1f1
1867,288.41710582843194,287.23663181105513,CAS-ESM2-0,historical,r1i1p1f1
1868,288.48673695411395,287.311694842922,CAS-ESM2-0,historical,r1i1p1f1
1869,288.48343675757945,287.30016480710583,CAS-ESM2-0,historical,r1i1p1f1
1870,288.43624564423385,287.2538683442139,CAS-ESM2-0,historical,r1i1p1f1
1871,288.2586550653646,287.0622145208781,CAS-ESM2-0,historical,r1i1p1f1
1872,288.48664326412,287.3061197637459,CAS-ESM2-0,historical,r1i1p1f1
1873,288.4941695941479,287.3069371228451,CAS-ESM2-0,historical,r1i1p1f1
1874,288.31511059118884,287.1218073755236,CAS-ESM2-0,historical,r1i1p1f1
1875,288.4995893276801,287.302729296856,CAS-ESM2-0,historical,r1i1p1f1
1876,288.5924911140653,287.3877854575048,CAS-ESM2-0,historical,r1i1p1f1
1877,288.447252934609,287.2337187847795,CAS-ESM2-0,historical,r1i1p1f1
1878,288.33189737493745,287.1409346350673,CAS-ESM2-0,historical,r1i1p1f1
1879,288.3924000957574,287.2037953934259,CAS-ESM2-0,historical,r1i1p1f1
1880,288.4942950022302,287.28967691600593,CAS-ESM2-0,historical,r1i1p1f1
1881,288.3174800256182,287.109089751657,CAS-ESM2-0,historical,r1i1p1f1
1882,288.3310919430398,287.13572154281417,CAS-ESM2-0,historical,r1i1p1f1
1883,288.450964247138,287.24548591835173,CAS-ESM2-0,historical,r1i1p1f1
1884,287.85434511980327,286.63284583815874,CAS-ESM2-0,historical,r1i1p1f1
1885,287.91986830563474,286.7082266467029,CAS-ESM2-0,historical,r1i1p1f1
1886,288.0442185255397,286.8656107845508,CAS-ESM2-0,historical,r1i1p1f1
1887,288.36389195879616,287.16588474012985,CAS-ESM2-0,historical,r1i1p1f1
1888,288.5260903986955,287.3398514094552,CAS-ESM2-0,historical,r1i1p1f1
1889,288.4460552593707,287.23205760788954,CAS-ESM2-0,historical,r1i1p1f1
1890,288.4302709650959,287.25567036326026,CAS-ESM2-0,historical,r1i1p1f1
1891,288.20431455862735,287.03646482103903,CAS-ESM2-0,historical,r1i1p1f1
1892,288.267060918119,287.0742890491545,CAS-ESM2-0,historical,r1i1p1f1
1893,288.4921898107742,287.2736347845037,CAS-ESM2-0,historical,r1i1p1f1
1894,288.2126537696085,287.01077472697705,CAS-ESM2-0,historical,r1i1p1f1
1895,288.28215687326696,287.10463285106573,CAS-ESM2-0,historical,r1i1p1f1
1896,288.56805100525474,287.38163992529076,CAS-ESM2-0,historical,r1i1p1f1
