year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.39411439650934,287.21379914282505,CESM2-FV2,historical,r2i1p1f1
1851,288.34737676032296,287.1304737123548,CESM2-FV2,historical,r2i1p1f1
1852,288.3774967859105,287.175124774833,CESM2-FV2,historical,r2i1p1f1
1853,288.2775618364792,287.09026025360185,CESM2-FV2,historical,r2i1p1f1
1854,288.1662234332359,286.9565989090086,CESM2-FV2,historical,r2i1p1f1
1855,288.2024157925847,286.99532892998434,CESM2-FV2,historical,r2i1p1f1
1856,288.12211788103076,286.91262063363655,CESM2-FV2,historical,r2i1p1f1
1857,288.134777838632,286.90414611506225,CESM2-FV2,historical,r2i1p1f1
1858,288.3497949727436,287.1309090052609,CESM2-FV2,historical,r2i1p1f1
1859,288.336759070295,287.1157360871443,CESM2-FV2,historical,r2i1p1f1
1860,288.3786638498191,287.1798987836032,CESM2-FV2,historical,r2i1p1f1
1861,288.40723088230936,287.2269448253113,CESM2-FV2,historical,r2i1p1f1
1862,288.38273997525715,287.1634053322268,CESM2-FV2,historical,r2i1p1f1
1863,288.226572175564,287.0334909206875,CESM2-FV2,historical,r2i1p1f1
1864,288.1498269235032,286.93411587018113,CESM2-FV2,historical,r2i1p1f1
1865,288.2853188197612,287.09996427258835,CESM2-FV2,historical,r2i1p1f1
1866,288.32812818598535,287.0995616599131,CESM2-FV2,historical,r2i1p1f1
1867,288.4013562510539,287.1992742642486,CESM2-FV2,historical,r2i1p1f1
1868,288.44526607139204,287.2253764389524,CESM2-FV2,historical,r2i1p1f1
1869,288.4481734481393,287.22983646947256,CESM2-FV2,historical,r2i1p1f1
1870,288.5377577325556,287.36040158428136,CESM2-FV2,historical,r2i1p1f1
1871,288.2594760434587,287.0791112569545,CESM2-FV2,historical,r2i1p1f1
1872,288.2570727420219,287.02927891157606,CESM2-FV2,historical,r2i1p1f1
1873,288.42159505413554,287.2055519611967,CESM2-FV2,historical,r2i1p1f1
1874,288.26756012378087,287.0543661432558,CESM2-FV2,historical,r2i1p1f1
1875,288.3906010994106,287.1929608253025,CESM2-FV2,historical,r2i1p1f1
1876,288.4037591620653,287.2054949220684,CESM2-FV2,historical,r2i1p1f1
1877,288.506842890836,287.29897820589827,CESM2-FV2,historical,r2i1p1f1
1878,288.3351316949195,287.1768479734367,CESM2-FV2,historical,r2i1p1f1
1879,288.2639695983451,287.0451210713662,CESM2-FV2,historical,r2i1p1f1
1880,288.46056008804027,287.31627415794395,CESM2-FV2,historical,r2i1p1f1
1881,288.45298667617044,287.2993514615477,CESM2-FV2,historical,r2i1p1f1
1882,288.32474558505834,287.14767832133333,CESM2-FV2,historical,r2i1p1f1
1883,288.46623163556796,287.3237354474594,CESM2-FV2,historical,r2i1p1f1
1884,288.37190247184736,287.20732573232544,CESM2-FV2,historical,r2i1p1f1
1885,288.1949793171855,287.0220253516114,CESM2-FV2,historical,r2i1p1f1
1886,288.2769081540942,287.0992170971222,CESM2-FV2,historical,r2i1p1f1
1887,288.22463819634,287.0417363730812,CESM2-FV2,historical,r2i1p1f1
1888,288.23993879822126,287.054650119777,CESM2-FV2,historical,r2i1p1f1
1889,288.392241725295,287.1795572682544,CESM2-FV2,historical,r2i1p1f1
1890,288.4561007293778,287.26143259305803,CESM2-FV2,historical,r2i1p1f1
1891,288.37482724611147,287.16458970671647,CESM2-FV2,historical,r2i1p1f1
1892,288.3070195499941,287.11241233200656,CESM2-FV2,historical,r2i1p1f1
1893,288.25514480631557,287.0564255087198,CESM2-FV2,historical,r2i1p1f1
1894,288.33963095478686,287.1163784015802,CESM2-FV2,historical,r2i1p1f1
1895,288.3966258516904,287.2293668824234,CESM2-FV2,historical,r2i1p1f1
1896,288.4836102708701,287.3122766010564,CESM2-FV2,historical,r2i1p1f1
1897,288.35630006370036,287.14261311402214,CESM2-FV2,historical,r2i1p1f1
1898,288.3805476744437,287.177147179468,CESM2-FV2,historical,r2i1p1f1
1899,288.43479115417557,287.24951237645035,CESM2-FV2,historical,r2i1p1f1
1900,288.37753257646716,287.2225898955911,CESM2-FV2,historical,r2i1p1f1
1901,288.37598727765396,287.1641088276372,CESM2-FV2,historical,r2i1p1f1
1902,288.3772249228248,287.1892128614073,CESM2-FV2,historical,r2i1p1f1
1903,288.2487092026519,287.0601834919306,CESM2-FV2,historical,r2i1p1f1
1904,288.4220482117713,287.25796600386,CESM2-FV2,historical,r2i1p1f1
1905,288.4425160954908,287.28323252966374,CESM2-FV2,historical,r2i1p1f1
1906,288.32114148387006,287.1108686315635,CESM2-FV2,historical,r2i1p1f1
1907,288.22068617116406,286.99560819273677,CESM2-FV2,historical,r2i1p1f1
1908,288.35599505717886,287.1474789871611,CESM2-FV2,historical,r2i1p1f1
1909,288.5181735900245,287.334320977541,CESM2-FV2,historical,r2i1p1f1
1910,288.4709440196734,287.2906663849015,CESM2-FV2,historical,r2i1p1f1
1911,288.33178426988155,287.1324099804161,CESM2-FV2,historical,r2i1p1f1
1912,288.36109014320243,287.180149730801,CESM2-FV2,historical,r2i1p1f1
1913,288.4080773096536,287.24514132249357,CESM2-FV2,historical,r2i1p1f1
1914,288.35313901193206,287.1725722313629,CESM2-FV2,historical,r2i1p1f1
1915,288.3018745586716,287.142957739795,CESM2-FV2,historical,r2i1p1f1
1916,288.2892892956745,287.1481371583708,CESM2-FV2,historical,r2i1p1f1
1917,288.4492049944601,287.29896103096047,CESM2-FV2,historical,r2i1p1f1
1918,288.4694452933245,287.3142335831613,CESM2-FV2,historical,r2i1p1f1
1919,288.614507635224,287.46432223404537,CESM2-FV2,historical,r2i1p1f1
1920,288.5623204124235,287.42627014624696,CESM2-FV2,historical,r2i1p1f1
1921,288.410639313999,287.26802201410516,CESM2-FV2,historical,r2i1p1f1
1922,288.3209234760894,287.14557700490275,CESM2-FV2,historical,r2i1p1f1
1923,288.5992882613187,287.4069352508035,CESM2-FV2,historical,r2i1p1f1
1924,288.4952100036712,287.30635294436144,CESM2-FV2,historical,r2i1p1f1
1925,288.28304037865024,287.0688871926921,CESM2-FV2,historical,r2i1p1f1
1926,288.4774079100648,287.2965863688977,CESM2-FV2,historical,r2i1p1f1
1927,288.531638856835,287.3804546407838,CESM2-FV2,historical,r2i1p1f1
1928,288.39647535274327,287.2376974475812,CESM2-FV2,historical,r2i1p1f1
1929,288.56351814775326,287.4243880897361,CESM2-FV2,historical,r2i1p1f1
1930,288.40562100085947,287.24166693707906,CESM2-FV2,historical,r2i1p1f1
1931,288.2580422171583,287.089274351592,CESM2-FV2,historical,r2i1p1f1
1932,288.46865746758033,287.278370677892,CESM2-FV2,historical,r2i1p1f1
1933,288.44008120521727,287.25556019986146,CESM2-FV2,historical,r2i1p1f1
1934,288.3062007292782,287.1397059421743,CESM2-FV2,historical,r2i1p1f1
1935,288.45713671830697,287.31189058744076,CESM2-FV2,historical,r2i1p1f1
1936,288.48292393021154,287.37049361380804,CESM2-FV2,historical,r2i1p1f1
1937,288.4532446796971,287.29999843228256,CESM2-FV2,historical,r2i1p1f1
1938,288.3690212986146,287.22424042483624,CESM2-FV2,historical,r2i1p1f1
1939,288.3842771631957,287.20360108849786,CESM2-FV2,historical,r2i1p1f1
1940,288.3727100432506,287.2001920223853,CESM2-FV2,historical,r2i1p1f1
1941,288.3548426410312,287.1854897883926,CESM2-FV2,historical,r2i1p1f1
1942,288.34397751853385,287.1684912436331,CESM2-FV2,historical,r2i1p1f1
1943,288.5302010327581,287.40530510637296,CESM2-FV2,historical,r2i1p1f1
1944,288.4739210103586,287.35528490581186,CESM2-FV2,historical,r2i1p1f1
1945,288.4058222251313,287.27775958076086,CESM2-FV2,historical,r2i1p1f1
1946,288.5133503300114,287.40624855780754,CESM2-FV2,historical,r2i1p1f1
1947,288.65258181038456,287.5479385916113,CESM2-FV2,historical,r2i1p1f1
1948,288.57790338437786,287.4704369337075,CESM2-FV2,historical,r2i1p1f1
1949,288.5180083382744,287.38844654192394,CESM2-FV2,historical,r2i1p1f1
1950,288.4450164967388,287.2872113523352,CESM2-FV2,historical,r2i1p1f1
1951,288.3877651979834,287.2725461411342,CESM2-FV2,historical,r2i1p1f1
1952,288.52737240955946,287.38459675780695,CESM2-FV2,historical,r2i1p1f1
1953,288.59434152818164,287.43743436159446,CESM2-FV2,historical,r2i1p1f1
1954,288.405395321311,287.2476235144618,CESM2-FV2,historical,r2i1p1f1
1955,288.56157296063424,287.4228114768644,CESM2-FV2,historical,r2i1p1f1
1956,288.42183843249563,287.26594109316613,CESM2-FV2,historical,r2i1p1f1
1957,288.35626579360144,287.1976993431942,CESM2-FV2,historical,r2i1p1f1
1958,288.5159823191484,287.3777563073196,CESM2-FV2,historical,r2i1p1f1
1959,288.56150039572384,287.39489312582555,CESM2-FV2,historical,r2i1p1f1
1960,288.37232416004207,287.1941592914291,CESM2-FV2,historical,r2i1p1f1
1961,288.4542647219568,287.2909544601356,CESM2-FV2,historical,r2i1p1f1
1962,288.4875952071745,287.34081863035215,CESM2-FV2,historical,r2i1p1f1
1963,288.24059088760356,287.0889675526123,CESM2-FV2,historical,r2i1p1f1
1964,288.34526680429826,287.1633337580134,CESM2-FV2,historical,r2i1p1f1
1965,288.338253961319,287.1567121015863,CESM2-FV2,historical,r2i1p1f1
1966,288.0663791771136,286.89557822503,CESM2-FV2,historical,r2i1p1f1
1967,288.1681397855715,287.03809508188357,CESM2-FV2,historical,r2i1p1f1
1968,288.2775488622675,287.1324908876345,CESM2-FV2,historical,r2i1p1f1
1969,288.3859723373362,287.243118502711,CESM2-FV2,historical,r2i1p1f1
1970,288.483817302272,287.33807973236264,CESM2-FV2,historical,r2i1p1f1
1971,288.35207269436467,287.19250548064196,CESM2-FV2,historical,r2i1p1f1
1972,288.16059896293984,287.0064427926969,CESM2-FV2,historical,r2i1p1f1
1973,288.39720083993285,287.25298846359226,CESM2-FV2,historical,r2i1p1f1
1974,288.4720095580136,287.30504903224914,CESM2-FV2,historical,r2i1p1f1
1975,288.3666768669944,287.2461852285581,CESM2-FV2,historical,r2i1p1f1
1976,288.43129430235587,287.3041023431329,CESM2-FV2,historical,r2i1p1f1
1977,288.5082561692567,287.4082506690441,CESM2-FV2,historical,r2i1p1f1
1978,288.53812622159825,287.4490699885325,CESM2-FV2,historical,r2i1p1f1
1979,288.5725518231008,287.45498113369166,CESM2-FV2,historical,r2i1p1f1
1980,288.504048367128,287.3833268890459,CESM2-FV2,historical,r2i1p1f1
1981,288.6702236075867,287.5756720637393,CESM2-FV2,historical,r2i1p1f1
1982,288.63299352289965,287.5483362262984,CESM2-FV2,historical,r2i1p1f1
1983,288.5591932184732,287.4202936546903,CESM2-FV2,historical,r2i1p1f1
1984,288.41656081603304,287.29321951593454,CESM2-FV2,historical,r2i1p1f1
1985,288.2954929724647,287.1216120580548,CESM2-FV2,historical,r2i1p1f1
1986,288.5328107013563,287.39029857921366,CESM2-FV2,historical,r2i1p1f1
1987,288.5616656158892,287.40866203490594,CESM2-FV2,historical,r2i1p1f1
1988,288.5692747731535,287.40063726750174,CESM2-FV2,historical,r2i1p1f1
1989,288.68929994471125,287.5401710348288,CESM2-FV2,historical,r2i1p1f1
1990,288.86989073308206,287.77096569564924,CESM2-FV2,historical,r2i1p1f1
1991,288.6878214285459,287.50837848412453,CESM2-FV2,historical,r2i1p1f1
1992,288.52035238066856,287.3845437447426,CESM2-FV2,historical,r2i1p1f1
1993,288.74573476649465,287.65025842055803,CESM2-FV2,historical,r2i1p1f1
1994,288.722134545571,287.6053781084073,CESM2-FV2,historical,r2i1p1f1
1995,288.731586210899,287.634152968969,CESM2-FV2,historical,r2i1p1f1
1996,288.73631417587035,287.6620527504041,CESM2-FV2,historical,r2i1p1f1
