year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.41673803815206,287.1814690049736,CESM2-WACCM-FV2,historical,r2i1p1f1
1851,288.419622039359,287.2322053599073,CESM2-WACCM-FV2,historical,r2i1p1f1
1852,288.4809447491592,287.2891016223233,CESM2-WACCM-FV2,historical,r2i1p1f1
1853,288.2708671377659,287.05261766043407,CESM2-WACCM-FV2,historical,r2i1p1f1
1854,288.5618468327072,287.3316316993111,CESM2-WACCM-FV2,historical,r2i1p1f1
1855,288.73458823454297,287.4981451409158,CESM2-WACCM-FV2,historical,r2i1p1f1
1856,288.49855908097277,287.26735389795743,CESM2-WACCM-FV2,historical,r2i1p1f1
1857,288.50769916362066,287.2844346188662,CESM2-WACCM-FV2,historical,r2i1p1f1
1858,288.490612055231,287.28497604553405,CESM2-WACCM-FV2,historical,r2i1p1f1
1859,288.46890108344394,287.26533555412703,CESM2-WACCM-FV2,historical,r2i1p1f1
1860,288.53926895604997,287.34795332689544,CESM2-WACCM-FV2,historical,r2i1p1f1
1861,288.70255897323153,287.5138399613846,CESM2-WACCM-FV2,historical,r2i1p1f1
1862,288.6074672088123,287.38812717634113,CESM2-WACCM-FV2,historical,r2i1p1f1
1863,288.48815845007437,287.25337643185026,CESM2-WACCM-FV2,historical,r2i1p1f1
1864,288.45839100148066,287.25441131858963,CESM2-WACCM-FV2,historical,r2i1p1f1
1865,288.4564949044419,287.26489189144866,CESM2-WACCM-FV2,historical,r2i1p1f1
1866,288.4751446479929,287.25277426427937,CESM2-WACCM-FV2,historical,r2i1p1f1
1867,288.4431044520286,287.2703784409198,CESM2-WACCM-FV2,historical,r2i1p1f1
1868,288.6042856558887,287.4284773814798,CESM2-WACCM-FV2,historical,r2i1p1f1
1869,288.67602936001236,287.4601579711971,CESM2-WACCM-FV2,historical,r2i1p1f1
1870,288.4104033077998,287.1886635187149,CESM2-WACCM-FV2,historical,r2i1p1f1
1871,288.48453164905754,287.2793111704337,CESM2-WACCM-FV2,historical,r2i1p1f1
1872,288.4779568285579,287.30706661687145,CESM2-WACCM-FV2,historical,r2i1p1f1
1873,288.6112097925042,287.4269099806839,CESM2-WACCM-FV2,historical,r2i1p1f1
1874,288.5777647495496,287.40689265471764,CESM2-WACCM-FV2,historical,r2i1p1f1
1875,288.6536478507965,287.5092729680601,CESM2-WACCM-FV2,historical,r2i1p1f1
1876,288.8093922497479,287.6153091728394,CESM2-WACCM-FV2,historical,r2i1p1f1
1877,288.6577090460038,287.51191274002207,CESM2-WACCM-FV2,historical,r2i1p1f1
1878,288.7328841905395,287.55682174016994,CESM2-WACCM-FV2,historical,r2i1p1f1
1879,288.71531395536715,287.5322301176475,CESM2-WACCM-FV2,historical,r2i1p1f1
1880,288.6863365227916,287.49279971167664,CESM2-WACCM-FV2,historical,r2i1p1f1
1881,288.6191263433053,287.4325520142628,CESM2-WACCM-FV2,historical,r2i1p1f1
1882,288.4643440711643,287.2937414438332,CESM2-WACCM-FV2,historical,r2i1p1f1
1883,288.4820002717947,287.270424586549,CESM2-WACCM-FV2,historical,r2i1p1f1
1884,288.4038470677207,287.21093579068474,CESM2-WACCM-FV2,historical,r2i1p1f1
1885,288.48030290604856,287.2712462767214,CESM2-WACCM-FV2,historical,r2i1p1f1
1886,288.29138758977575,287.0903589679367,CESM2-WACCM-FV2,historical,r2i1p1f1
1887,288.3999321383606,287.18188935372643,CESM2-WACCM-FV2,historical,r2i1p1f1
1888,288.5867995822696,287.4216954904642,CESM2-WACCM-FV2,historical,r2i1p1f1
1889,288.7691605754989,287.582315990666,CESM2-WACCM-FV2,historical,r2i1p1f1
1890,288.6593901599195,287.4857419717252,CESM2-WACCM-FV2,historical,r2i1p1f1
1891,288.43452591349666,287.28964453318963,CESM2-WACCM-FV2,historical,r2i1p1f1
1892,288.4150032855198,287.26320723494837,CESM2-WACCM-FV2,historical,r2i1p1f1
1893,288.513288431525,287.3506147964202,CESM2-WACCM-FV2,historical,r2i1p1f1
1894,288.59044054411254,287.429278908385,CESM2-WACCM-FV2,historical,r2i1p1f1
1895,288.5595579142976,287.4046075607468,CESM2-WACCM-FV2,historical,r2i1p1f1
1896,288.35948429132674,287.1732726031221,CESM2-WACCM-FV2,historical,r2i1p1f1
1897,288.35536498140044,287.18225877697677,CESM2-WACCM-FV2,historical,r2i1p1f1
1898,288.5772336423016,287.3977027405692,CESM2-WACCM-FV2,historical,r2i1p1f1
1899,288.5249557747425,287.3523220605589,CESM2-WACCM-FV2,historical,r2i1p1f1
1900,288.60772008984355,287.4456877969445,CESM2-WACCM-FV2,historical,r2i1p1f1
1901,288.5544779471436,287.3642790107255,CESM2-WACCM-FV2,historical,r2i1p1f1
1902,288.54746679381765,287.3850448383648,CESM2-WACCM-FV2,historical,r2i1p1f1
1903,288.3661104075086,287.21652061790604,CESM2-WACCM-FV2,historical,r2i1p1f1
1904,288.36183993816576,287.1563625351229,CESM2-WACCM-FV2,historical,r2i1p1f1
1905,288.42888180247996,287.21710586533123,CESM2-WACCM-FV2,historical,r2i1p1f1
1906,288.51735462530576,287.3360405937427,CESM2-WACCM-FV2,historical,r2i1p1f1
1907,288.39720531974564,287.2232582436642,CESM2-WACCM-FV2,historical,r2i1p1f1
1908,288.31701775808625,287.09144234449576,CESM2-WACCM-FV2,historical,r2i1p1f1
1909,288.53356400442874,287.3423781596262,CESM2-WACCM-FV2,historical,r2i1p1f1
1910,288.6302650112618,287.47434112749323,CESM2-WACCM-FV2,historical,r2i1p1f1
1911,288.4894379718908,287.3235058115734,CESM2-WACCM-FV2,historical,r2i1p1f1
1912,288.5351696906703,287.35388572703795,CESM2-WACCM-FV2,historical,r2i1p1f1
1913,288.39420051540407,287.19574944653186,CESM2-WACCM-FV2,historical,r2i1p1f1
1914,288.4723822419555,287.31580268150395,CESM2-WACCM-FV2,historical,r2i1p1f1
1915,288.4547537402786,287.2602737859795,CESM2-WACCM-FV2,historical,r2i1p1f1
1916,288.29772730451185,287.0994622508238,CESM2-WACCM-FV2,historical,r2i1p1f1
1917,288.53806557436167,287.36777268327785,CESM2-WACCM-FV2,historical,r2i1p1f1
1918,288.5164369300333,287.3362786895224,CESM2-WACCM-FV2,historical,r2i1p1f1
1919,288.3942344566438,287.18796363706497,CESM2-WACCM-FV2,historical,r2i1p1f1
1920,288.44927620103596,287.2725908031653,CESM2-WACCM-FV2,historical,r2i1p1f1
1921,288.4064282378954,287.24697830015094,CESM2-WACCM-FV2,historical,r2i1p1f1
1922,288.48655665602234,287.31407188043374,CESM2-WACCM-FV2,historical,r2i1p1f1
1923,288.83479270140765,287.6772046844246,CESM2-WACCM-FV2,historical,r2i1p1f1
1924,288.73169680160066,287.5285482308083,CESM2-WACCM-FV2,historical,r2i1p1f1
1925,288.3428495528819,287.16091264483265,CESM2-WACCM-FV2,historical,r2i1p1f1
1926,288.67280949648,287.478467014983,CESM2-WACCM-FV2,historical,r2i1p1f1
1927,288.591141666825,287.4115131276541,CESM2-WACCM-FV2,historical,r2i1p1f1
1928,288.402873080552,287.2361703224822,CESM2-WACCM-FV2,historical,r2i1p1f1
1929,288.4618442439296,287.3079926325201,CESM2-WACCM-FV2,historical,r2i1p1f1
1930,288.5745038501377,287.40948944104457,CESM2-WACCM-FV2,historical,r2i1p1f1
1931,288.6996014478338,287.521248384957,CESM2-WACCM-FV2,historical,r2i1p1f1
1932,288.75087372400225,287.5974400356223,CESM2-WACCM-FV2,historical,r2i1p1f1
1933,288.77531587196665,287.6164609434799,CESM2-WACCM-FV2,historical,r2i1p1f1
1934,288.5789077482109,287.44161372478624,CESM2-WACCM-FV2,historical,r2i1p1f1
